
Segment Center Intensity Min Ch=5 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
1,,Segment,5,11,Image 1,7,1,100000001,510000000009,
0,,Segment,5,10,Image 1,6,1,100000001,510000000076,
0,,Segment,5,9,Image 1,5,1,100000001,510000000088,
0,,Segment,5,8,Image 1,4,1,100000001,510000000095,
0,,Segment,5,7,Image 1,4,1,100000001,510000000116,
1,,Segment,5,6,Image 1,3,1,100000001,510000000119,
0,,Segment,5,5,Image 1,3,1,100000001,510000000138,
0,,Segment,5,4,Image 1,3,1,100000001,510000000148,
0,,Segment,5,3,Image 1,3,1,100000001,510000000152,
0,,Segment,5,2,Image 1,2,1,100000001,510000000192,
0,,Segment,5,1,Image 1,1,1,100000001,510000000208,
3,,Segment,5,0,Image 1,1,1,100000001,510000000215,
2,,Segment,5,11,Image 1,6,1,100000001,510000000243,
0,,Segment,5,1,Image 1,2,1,100000000,510000000258,
0,,Segment,5,0,Image 1,1,1,100000000,510000000293,
0,,Segment,5,11,Image 1,7,1,100000001,510000000312,
0,,Segment,5,10,Image 1,7,1,100000001,510000000347,
0,,Segment,5,9,Image 1,6,1,100000001,510000000354,
0,,Segment,5,8,Image 1,5,1,100000001,510000000364,
0,,Segment,5,7,Image 1,5,1,100000001,510000000375,
0,,Segment,5,6,Image 1,4,1,100000001,510000000380,
0,,Segment,5,4,Image 1,3,1,100000001,510000000386,
1,,Segment,5,3,Image 1,2,1,100000001,510000000389,
0,,Segment,5,8,Image 1,4,1,100000001,510000000465,
0,,Segment,5,7,Image 1,4,1,100000001,510000000542,
0,,Segment,5,13,Image 1,8,1,100000001,510000000553,
0,,Segment,5,12,Image 1,7,1,100000001,510000000588,
0,,Segment,5,11,Image 1,7,1,100000001,510000000598,
0,,Segment,5,10,Image 1,6,1,100000001,510000000624,
0,,Segment,5,13,Image 1,7,1,100000001,510000000628,
0,,Segment,5,4,Image 1,4,1,100000000,510000000632,
0,,Segment,5,3,Image 1,3,1,100000000,510000000657,
0,,Segment,5,2,Image 1,2,1,100000000,510000000661,
0,,Segment,5,1,Image 1,2,1,100000000,510000000666,
0,,Segment,5,0,Image 1,1,1,100000000,510000000684,
0,,Segment,5,4,Image 1,3,1,100000000,510000000687,
0,,Segment,5,12,Image 1,8,1,100000001,510000000706,
0,,Segment,5,1,Image 1,2,1,100000002,510000000773,
0,,Segment,5,0,Image 1,1,1,100000002,510000000814,
1,,Segment,5,3,Image 1,2,1,100000001,510000000831,
0,,Segment,5,2,Image 1,2,1,100000001,510000000843,
0,,Segment,5,1,Image 1,1,1,100000001,510000000889,
0,,Segment,5,0,Image 1,1,1,100000001,510000000919,
0,,Segment,5,3,Image 1,3,1,100000001,510000000926,
0,,Segment,5,2,Image 1,1,1,100000001,510000000931,
0,,Segment,5,1,Image 1,2,1,100000001,510000000950,
0,,Segment,5,12,Image 1,9,1,100000001,510000000952,
0,,Segment,5,11,Image 1,8,1,100000001,510000000960,
1,,Segment,5,4,Image 1,4,1,100000002,510000000974,
0,,Segment,5,3,Image 1,4,1,100000002,510000000995,
0,,Segment,5,2,Image 1,3,1,100000002,510000001037,
0,,Segment,5,1,Image 1,2,1,100000002,510000001042,
0,,Segment,5,0,Image 1,1,1,100000002,510000001063,
0,,Segment,5,4,Image 1,5,1,100000002,510000001068,
1,,Segment,5,3,Image 1,3,1,100000002,510000001075,
0,,Segment,5,4,Image 1,4,1,100000002,510000001119,
1,,Segment,5,3,Image 1,3,1,100000002,510000001121,
0,,Segment,5,2,Image 1,3,1,100000002,510000001145,
0,,Segment,5,1,Image 1,2,1,100000002,510000001169,
0,,Segment,5,0,Image 1,1,1,100000002,510000001197,
2,,Segment,5,4,Image 1,3,1,100000002,510000001211,
0,,Segment,5,3,Image 1,4,1,100000002,510000001214,
0,,Segment,5,10,Image 1,5,1,100000001,510000001245,
0,,Segment,5,15,Image 1,7,1,100000001,510000001256,
0,,Segment,5,13,Image 1,6,1,100000001,510000001288,
1,,Segment,5,12,Image 1,6,1,100000001,510000001298,
0,,Segment,5,11,Image 1,6,1,100000001,510000001316,
1,,Segment,5,10,Image 1,5,1,100000001,510000001321,
0,,Segment,5,9,Image 1,5,1,100000001,510000001340,
4,,Segment,5,3,Image 1,2,1,100000002,510000001351,
0,,Segment,5,2,Image 1,2,1,100000002,510000001361,
0,,Segment,5,3,Image 1,3,1,100000002,510000001364,
1,,Segment,5,4,Image 1,2,1,100000002,510000001369,
0,,Segment,5,3,Image 1,2,1,100000002,510000001386,
1,,Segment,5,2,Image 1,1,1,100000002,510000001396,
0,,Segment,5,1,Image 1,1,1,100000002,510000001444,
0,,Segment,5,4,Image 1,3,1,100000002,510000001446,
1,,Segment,5,7,Image 1,5,1,100000000,510000001452,
0,,Segment,5,6,Image 1,4,1,100000000,510000001478,
0,,Segment,5,5,Image 1,4,1,100000000,510000001481,
0,,Segment,5,4,Image 1,4,1,100000000,510000001500,
0,,Segment,5,3,Image 1,4,1,100000000,510000001511,
0,,Segment,5,2,Image 1,3,1,100000000,510000001531,
2,,Segment,5,7,Image 1,4,1,100000000,510000001534,
0,,Segment,5,4,Image 1,3,1,100000002,510000001555,
0,,Segment,5,3,Image 1,3,1,100000002,510000001563,
0,,Segment,5,2,Image 1,2,1,100000002,510000001578,
0,,Segment,5,1,Image 1,1,1,100000002,510000001588,
0,,Segment,5,4,Image 1,4,1,100000002,510000001592,
0,,Segment,5,18,Image 1,10,1,100000001,510000001618,
1,,Segment,5,17,Image 1,9,1,100000001,510000001620,
1,,Segment,5,16,Image 1,8,1,100000001,510000001622,
1,,Segment,5,15,Image 1,8,1,100000001,510000001627,
0,,Segment,5,14,Image 1,8,1,100000001,510000001666,
0,,Segment,5,13,Image 1,7,1,100000001,510000001707,
0,,Segment,5,12,Image 1,6,1,100000001,510000001719,
0,,Segment,5,16,Image 1,9,1,100000001,510000001733,
1,,Segment,5,18,Image 1,9,1,100000001,510000001736,
1,,Segment,5,17,Image 1,8,1,100000001,510000001738,
0,,Segment,5,16,Image 1,10,1,100000001,510000001747,
0,,Segment,5,15,Image 1,9,1,100000001,510000001750,
3,,Segment,5,16,Image 1,9,1,100000001,510000001756,
0,,Segment,5,11,Image 1,6,1,100000001,510000001766,
0,,Segment,5,3,Image 1,2,1,100000002,510000001768,
0,,Segment,5,3,Image 1,1,1,100000002,510000001780,
0,,Segment,5,4,Image 1,3,1,100000002,510000001800,
0,,Segment,5,3,Image 1,2,1,100000002,510000001810,
0,,Segment,5,2,Image 1,1,1,100000002,510000001814,
0,,Segment,5,14,Image 1,7,1,100000001,510000001828,
0,,Segment,5,13,Image 1,6,1,100000001,510000001835,
0,,Segment,5,6,Image 1,5,1,100000000,510000001838,
0,,Segment,5,5,Image 1,5,1,100000000,510000001843,
0,,Segment,5,14,Image 1,7,1,100000001,510000001850,
0,,Segment,5,4,Image 1,2,1,100000002,510000001902,
1,,Segment,5,1,Image 1,1,1,100000000,510000001904,
0,,Segment,5,1,Image 1,1,1,100000002,510000001911,
0,,Segment,5,15,Image 1,6,1,100000001,510000001915,
0,,Segment,5,14,Image 1,7,1,100000001,510000001917,
0,,Segment,5,13,Image 1,7,1,100000001,510000001968,
1,,Segment,5,14,Image 1,6,1,100000001,510000001971,
0,,Segment,5,12,Image 1,7,1,100000001,510000001973,
0,,Segment,5,10,Image 1,6,1,100000001,510000001980,
0,,Segment,5,12,Image 1,5,1,100000001,510000001982,
0,,Segment,5,6,Image 1,4,1,100000000,510000001987,
0,,Segment,5,5,Image 1,4,1,100000000,510000002004,
0,,Segment,5,4,Image 1,3,1,100000000,510000002009,
0,,Segment,5,3,Image 1,2,1,100000000,510000002041,
0,,Segment,5,7,Image 1,3,1,100000002,510000002081,
0,,Segment,5,6,Image 1,2,1,100000002,510000002098,
8,,Segment,5,5,Image 1,2,1,100000002,510000002101,
0,,Segment,5,4,Image 1,2,1,100000002,510000002107,
0,,Segment,5,3,Image 1,1,1,100000002,510000002112,
0,,Segment,5,2,Image 1,1,1,100000002,510000002116,
0,,Segment,5,1,Image 1,1,1,100000002,510000002120,
2,,Segment,5,0,Image 1,1,1,100000002,510000002136,
0,,Segment,5,12,Image 1,7,1,100000000,510000002147,
0,,Segment,5,11,Image 1,6,1,100000000,510000002151,
0,,Segment,5,10,Image 1,6,1,100000000,510000002156,
0,,Segment,5,7,Image 1,4,1,100000000,510000002175,
0,,Segment,5,6,Image 1,3,1,100000000,510000002179,
0,,Segment,5,5,Image 1,2,1,100000000,510000002191,
1,,Segment,5,4,Image 1,1,1,100000000,510000002202,
1,,Segment,5,3,Image 1,1,1,100000000,510000002219,
0,,Segment,5,2,Image 1,1,1,100000000,510000002225,
1,,Segment,5,13,Image 1,7,1,100000000,510000002229,
3,,Segment,5,12,Image 1,6,1,100000000,510000002231,
1,,Segment,5,12,Image 1,7,1,100000000,510000002234,
0,,Segment,5,12,Image 1,7,1,100000000,510000002238,
0,,Segment,5,11,Image 1,7,1,100000000,510000002241,
0,,Segment,5,9,Image 1,5,1,100000000,510000002256,
0,,Segment,5,8,Image 1,5,1,100000000,510000002265,
1,,Segment,5,9,Image 1,6,1,100000000,510000002268,
2,,Segment,5,9,Image 1,3,1,100000002,510000002283,
0,,Segment,5,8,Image 1,3,1,100000002,510000002288,
0,,Segment,5,7,Image 1,3,1,100000002,510000002304,
0,,Segment,5,6,Image 1,3,1,100000002,510000002350,
