
Spine Part Max Diameter
 ==================== 
Spine Part Max Diameter Ground,Spine Part Max Diameter Head,Spine Part Max Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
2.17646,1.34551,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000003526,
2.17646,1.52626,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000003530,
0.914714,1.2982,0.94401,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000003535,
1.13952,1.12414,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000003635,
1.94334,0.702347,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000003644,
1.39888,1.32368,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000003648,
1.39888,1.08969,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000003649,
1.6695,1.30037,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000003650,
1.74608,1.74608,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000003651,
0.637614,0.637614,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000003654,
1.12714,1.08442,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000003667,
1.78465,1.10716,0,µm,Spine,Spine Part Max Diameter,1,1,1,100000001,610000003553,
1.0686,0.763201,0,µm,Spine,Spine Part Max Diameter,1,2,1,100000002,610000003643,
1.35545,0.940787,0,µm,Spine,Spine Part Max Diameter,10,5,1,100000001,610000003559,
1.18391,1.18391,0,µm,Spine,Spine Part Max Diameter,10,5,1,100000001,610000003618,
0.952448,0.952448,0,µm,Spine,Spine Part Max Diameter,10,5,1,100000001,610000003619,
0.551142,0.551142,0,µm,Spine,Spine Part Max Diameter,10,6,1,100000000,610000003611,
1.80651,1.80651,0,µm,Spine,Spine Part Max Diameter,11,7,1,100000001,610000003621,
1.35304,0.807292,0,µm,Spine,Spine Part Max Diameter,12,5,1,100000001,610000003629,
0.7682,0.7682,0,µm,Spine,Spine Part Max Diameter,12,7,1,100000000,610000003610,
1.31925,0.51317,0,µm,Spine,Spine Part Max Diameter,12,7,1,100000001,610000003622,
1.38185,1.38185,0,µm,Spine,Spine Part Max Diameter,13,6,1,100000001,610000003627,
0.728908,0.585938,0,µm,Spine,Spine Part Max Diameter,13,6,1,100000001,610000003628,
0.854971,0.689541,0,µm,Spine,Spine Part Max Diameter,13,7,1,100000001,610000003625,
1.03341,0.751414,0,µm,Spine,Spine Part Max Diameter,14,6,1,100000001,610000003626,
1.02983,0.885594,0,µm,Spine,Spine Part Max Diameter,14,8,1,100000001,610000003556,
0.651116,0.625,0,µm,Spine,Spine Part Max Diameter,18,10,1,100000001,610000003623,
1.16852,0.833333,0,µm,Spine,Spine Part Max Diameter,18,9,1,100000001,610000003624,
1.88887,1.88887,0,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000003541,
2.08114,1.94157,0,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000003634,
0.61849,0.61849,0,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000003639,
1.42993,0.833333,0.833333,µm,Spine,Spine Part Max Diameter,3,1,1,100000000,610000003483,
1.22249,0.493241,0,µm,Spine,Spine Part Max Diameter,3,2,1,100000000,610000003516,
1.09922,0.970481,0,µm,Spine,Spine Part Max Diameter,3,3,1,100000000,610000003609,
0.848219,0.617083,0,µm,Spine,Spine Part Max Diameter,4,2,1,100000002,610000003647,
1.59491,1.04306,0,µm,Spine,Spine Part Max Diameter,4,2,1,100000002,610000003661,
1.59491,1.21257,0,µm,Spine,Spine Part Max Diameter,4,2,1,100000002,610000003662,
0.800838,0.625,0,µm,Spine,Spine Part Max Diameter,4,3,1,100000002,610000003504,
2.83827,1.5873,0,µm,Spine,Spine Part Max Diameter,4,3,1,100000001,610000003571,
0.845899,0.494792,0,µm,Spine,Spine Part Max Diameter,4,3,1,100000000,610000003608,
0.625,0.436279,0,µm,Spine,Spine Part Max Diameter,4,3,1,100000002,610000003645,
0.808256,0.808256,0,µm,Spine,Spine Part Max Diameter,4,3,1,100000002,610000003646,
1.02287,0.811753,0,µm,Spine,Spine Part Max Diameter,4,3,1,100000002,610000003653,
1.5842,0.891927,0,µm,Spine,Spine Part Max Diameter,5,3,1,100000001,610000003522,
1.16931,0.624855,1.04167,µm,Spine,Spine Part Max Diameter,6,2,1,100000002,610000003519,
1.18859,1.81656,1.43526,µm,Spine,Spine Part Max Diameter,6,2,1,100000002,610000003539,
1.16931,1.04167,0,µm,Spine,Spine Part Max Diameter,6,2,1,100000002,610000003548,
1.24906,1.24906,0,µm,Spine,Spine Part Max Diameter,6,2,1,100000002,610000003569,
1.82126,1.82126,0,µm,Spine,Spine Part Max Diameter,6,2,1,100000002,610000003576,
1.85506,2.8673,0,µm,Spine,Spine Part Max Diameter,6,2,1,100000002,610000003585,
0.793174,0.643171,0,µm,Spine,Spine Part Max Diameter,6,2,1,100000000,610000003617,
0.898066,0.891927,0,µm,Spine,Spine Part Max Diameter,6,2,1,100000002,610000003658,
1.08282,1.08282,0,µm,Spine,Spine Part Max Diameter,6,2,1,100000002,610000003659,
1.32191,1.32191,0,µm,Spine,Spine Part Max Diameter,6,2,1,100000002,610000003660,
2.56695,2.56695,0,µm,Spine,Spine Part Max Diameter,6,4,1,100000001,610000003633,
0.95549,0.622784,0.416667,µm,Spine,Spine Part Max Diameter,7,3,1,100000000,610000003490,
0.416667,0.677184,0.669493,µm,Spine,Spine Part Max Diameter,7,3,1,100000002,610000003495,
0.416667,0.677184,0,µm,Spine,Spine Part Max Diameter,7,3,1,100000002,610000003499,
1.10343,0.907078,0,µm,Spine,Spine Part Max Diameter,7,3,1,100000002,610000003565,
0.621959,0.416667,0,µm,Spine,Spine Part Max Diameter,7,4,1,100000000,610000003616,
1.08983,0.655651,0,µm,Spine,Spine Part Max Diameter,7,4,1,100000001,610000003620,
1.00751,0.664062,0,µm,Spine,Spine Part Max Diameter,7,4,1,100000001,610000003632,
1.33719,0.859375,0,µm,Spine,Spine Part Max Diameter,7,4,1,100000002,610000003665,
1.10841,0.716249,0,µm,Spine,Spine Part Max Diameter,8,2,1,100000002,610000003666,
1.13151,0.572917,0,µm,Spine,Spine Part Max Diameter,8,3,1,100000002,610000003663,
0.761202,0.419098,0,µm,Spine,Spine Part Max Diameter,8,4,1,100000000,610000003615,
0.644128,0.552365,0,µm,Spine,Spine Part Max Diameter,8,4,1,100000001,610000003631,
0.841769,0.841769,0,µm,Spine,Spine Part Max Diameter,8,4,1,100000002,610000003664,
0.780555,0.625,0,µm,Spine,Spine Part Max Diameter,9,5,1,100000000,610000003612,
0.840524,0.538528,0,µm,Spine,Spine Part Max Diameter,9,5,1,100000000,610000003613,
0.840524,0.547357,0,µm,Spine,Spine Part Max Diameter,9,5,1,100000000,610000003614,
0.989654,0.984099,0,µm,Spine,Spine Part Max Diameter,9,5,1,100000001,610000003630,
