
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
3.94323,,Surface,1,Image 1,1,0,
4.21998,,Surface,1,Image 1,1,1,
4.82076,,Surface,1,Image 1,1,2,
