
Spine Intensity Median Ch=2 Img=1
 ==================== 
Spine Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
1.00391,,Spine,2,1,Image 1,2,1,100000002,610000006141,
16.0625,,Spine,2,10,Image 1,1,1,100000001,610000006144,
2.03125,,Spine,2,2,Image 1,1,1,100000001,610000006161,
19.0625,,Spine,2,10,Image 1,1,1,100000001,610000006164,
1.00391,,Spine,2,1,Image 1,2,1,100000002,610000006174,
2.00781,,Spine,2,5,Image 1,2,1,100000001,610000006196,
5.01562,,Spine,2,1,Image 1,2,1,100000001,610000006200,
3.01562,,Spine,2,18,Image 1,9,1,100000002,610000006202,
2.00781,,Spine,2,5,Image 1,2,1,100000001,610000006223,
1.00391,,Spine,2,4,Image 1,2,1,100000000,610000006225,
1.00391,,Spine,2,6,Image 1,3,1,100000000,610000006227,
2.03125,,Spine,2,6,Image 1,1,1,100000001,610000006232,
2.00391,,Spine,2,7,Image 1,2,1,100000000,610000006236,
2.00781,,Spine,2,5,Image 1,2,1,100000001,610000006256,
3.00781,,Spine,2,8,Image 1,1,1,100000002,610000006260,
1.00391,,Spine,2,0,Image 1,1,1,100000002,610000006264,
7.01562,,Spine,2,3,Image 1,2,1,100000001,610000006267,
1.00781,,Spine,2,3,Image 1,2,1,100000002,610000006269,
2.00781,,Spine,2,5,Image 1,2,1,100000001,610000006286,
2.00391,,Spine,2,7,Image 1,2,1,100000000,610000006289,
1.00391,,Spine,2,6,Image 1,2,1,100000002,610000006293,
2.125,,Spine,2,12,Image 1,4,1,100000001,610000006297,
1.00391,,Spine,2,5,Image 1,4,1,100000001,610000006299,
2.00391,,Spine,2,0,Image 1,1,1,100000002,610000006301,
5.00781,,Spine,2,17,Image 1,5,1,100000002,610000006303,
3.03125,,Spine,2,7,Image 1,2,1,100000000,610000006307,
3.00781,,Spine,2,2,Image 1,2,1,100000001,610000006309,
1.00781,,Spine,2,2,Image 1,2,1,100000000,610000006311,
1.00391,,Spine,2,0,Image 1,1,1,100000002,610000006314,
4.03125,,Spine,2,1,Image 1,2,1,100000001,610000006316,
18.0625,,Spine,2,3,Image 1,2,1,100000000,610000006320,
1.00781,,Spine,2,1,Image 1,2,1,100000002,610000006322,
23.0625,,Spine,2,9,Image 1,3,1,100000000,610000006324,
9.0625,,Spine,2,4,Image 1,1,1,100000000,610000006326,
1.00391,,Spine,2,0,Image 1,1,1,100000002,610000006330,
0.00390625,,Spine,2,1,Image 1,2,1,100000002,610000006333,
2.03125,,Spine,2,6,Image 1,1,1,100000001,610000006337,
2.00391,,Spine,2,5,Image 1,2,1,100000001,610000006351,
1.50391,,Spine,2,9,Image 1,4,1,100000002,610000006356,
2.00391,,Spine,2,3,Image 1,2,1,100000001,610000006358,
2.00781,,Spine,2,9,Image 1,1,1,100000002,610000006363,
1.00391,,Spine,2,3,Image 1,1,1,100000001,610000006366,
2.00391,,Spine,2,8,Image 1,2,1,100000002,610000006368,
11.0625,,Spine,2,2,Image 1,2,1,100000001,610000006370,
2.00781,,Spine,2,2,Image 1,1,1,100000000,610000006374,
7.03125,,Spine,2,10,Image 1,6,1,100000001,610000006376,
2.00781,,Spine,2,4,Image 1,1,1,100000001,610000006378,
2.00781,,Spine,2,9,Image 1,1,1,100000002,610000006380,
1.00391,,Spine,2,10,Image 1,3,1,100000002,610000006384,
1.00391,,Spine,2,2,Image 1,1,1,100000000,610000006386,
2.03125,,Spine,2,1,Image 1,2,1,100000002,610000006389,
1.00391,,Spine,2,6,Image 1,2,1,100000001,610000006392,
1.00391,,Spine,2,0,Image 1,1,1,100000000,610000006394,
1.00781,,Spine,2,1,Image 1,2,1,100000000,610000006397,
2.00391,,Spine,2,5,Image 1,2,1,100000000,610000006399,
5.03125,,Spine,2,3,Image 1,1,1,100000001,610000006402,
7.5625,,Spine,2,20,Image 1,7,1,100000001,610000006406,
1.00781,,Spine,2,3,Image 1,2,1,100000001,610000006408,
1.00391,,Spine,2,1,Image 1,2,1,100000002,610000006412,
1.00391,,Spine,2,8,Image 1,2,1,100000001,610000006416,
2.03125,,Spine,2,6,Image 1,1,1,100000001,610000006419,
21.0625,,Spine,2,3,Image 1,2,1,100000000,610000006421,
0.00195312,,Spine,2,1,Image 1,2,1,100000002,610000006423,
6.03125,,Spine,2,3,Image 1,1,1,100000001,610000006425,
0.00195312,,Spine,2,1,Image 1,2,1,100000002,610000006428,
2.00781,,Spine,2,0,Image 1,1,1,100000000,610000006431,
1.00391,,Spine,2,0,Image 1,1,1,100000000,610000006434,
8.0625,,Spine,2,4,Image 1,2,1,100000000,610000006436,
2.01562,,Spine,2,0,Image 1,1,1,100000000,610000006439,
1.00781,,Spine,2,0,Image 1,1,1,100000000,610000006442,
5.01562,,Spine,2,17,Image 1,8,1,100000002,610000006445,
4.01562,,Spine,2,12,Image 1,3,1,100000001,610000006448,
1.00391,,Spine,2,1,Image 1,2,1,100000002,610000006450,
1.00391,,Spine,2,0,Image 1,1,1,100000002,610000006452,
1.00391,,Spine,2,10,Image 1,3,1,100000002,610000006456,
2.00781,,Spine,2,9,Image 1,1,1,100000002,610000006459,
18.0625,,Spine,2,0,Image 1,1,1,100000001,610000006461,
1.00391,,Spine,2,3,Image 1,1,1,100000000,610000006463,
10.125,,Spine,2,15,Image 1,2,1,100000001,610000006465,
2.00781,,Spine,2,4,Image 1,4,1,100000001,610000006467,
1.00391,,Spine,2,0,Image 1,1,1,100000002,610000006471,
4.03125,,Spine,2,20,Image 1,6,1,100000001,610000006474,
1.00391,,Spine,2,2,Image 1,2,1,100000000,610000006476,
