
Intensity StdDev Ch=3 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
9.18749,,Surface,3,Image 1,1,0,
10.8436,,Surface,3,Image 1,1,1,
7.36338,,Surface,3,Image 1,1,2,
