
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
196,,Surface,1,Image 1,1,0,
193,,Surface,1,Image 1,1,1,
182,,Surface,1,Image 1,1,2,
