
Segment Orientation Angle
 ==================== 
Segment Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
-130.923,°,Segment,19,8,1,100000001,510000000023,
-79.896,°,Segment,18,8,1,100000001,510000000030,
-64.0535,°,Segment,17,7,1,100000001,510000000033,
-84.4248,°,Segment,16,7,1,100000001,510000000045,
-92.6043,°,Segment,14,7,1,100000001,510000000088,
-134.962,°,Segment,13,7,1,100000001,510000000102,
-139.598,°,Segment,12,7,1,100000001,510000000111,
-90.3888,°,Segment,11,7,1,100000001,510000000120,
-143.766,°,Segment,10,6,1,100000001,510000000146,
-70.594,°,Segment,9,5,1,100000001,510000000154,
-110.709,°,Segment,8,5,1,100000001,510000000156,
-105.451,°,Segment,7,4,1,100000001,510000000183,
-109.799,°,Segment,6,3,1,100000001,510000000185,
-123.205,°,Segment,5,3,1,100000001,510000000193,
-85.4034,°,Segment,4,3,1,100000001,510000000198,
-124.315,°,Segment,3,3,1,100000001,510000000205,
-73.379,°,Segment,2,2,1,100000001,510000000214,
-94.427,°,Segment,1,2,1,100000001,510000000216,
-103.591,°,Segment,0,1,1,100000001,510000000237,
-28.1965,°,Segment,19,9,1,100000001,510000000287,
3.1377,°,Segment,18,7,1,100000001,510000000295,
0,°,Segment,17,8,1,100000001,510000000298,
-40.8473,°,Segment,16,8,1,100000001,510000000301,
7.81529,°,Segment,15,8,1,100000001,510000000304,
-100.024,°,Segment,14,9,1,100000001,510000000308,
-46.5813,°,Segment,13,8,1,100000001,510000000311,
7.9735,°,Segment,12,8,1,100000001,510000000327,
-69.6813,°,Segment,14,8,1,100000001,510000000334,
-60.7512,°,Segment,14,10,1,100000001,510000000339,
6.04409,°,Segment,13,9,1,100000001,510000000347,
-88.8196,°,Segment,14,8,1,100000001,510000000351,
-20.4832,°,Segment,13,8,1,100000001,510000000360,
-6.67482,°,Segment,14,9,1,100000001,510000000364,
-15.0225,°,Segment,14,9,1,100000001,510000000366,
74.0166,°,Segment,11,6,1,100000001,510000000368,
-159.168,°,Segment,16,5,1,100000002,510000000428,
174.035,°,Segment,15,5,1,100000002,510000000445,
136.786,°,Segment,14,5,1,100000002,510000000472,
108.299,°,Segment,13,4,1,100000002,510000000474,
136.013,°,Segment,11,3,1,100000002,510000000488,
123.563,°,Segment,10,2,1,100000002,510000000491,
140.675,°,Segment,8,1,1,100000002,510000000494,
120.367,°,Segment,7,1,1,100000002,510000000502,
135.387,°,Segment,6,1,1,100000002,510000000513,
94.6135,°,Segment,5,1,1,100000002,510000000515,
107.101,°,Segment,4,1,1,100000002,510000000522,
128.36,°,Segment,3,1,1,100000002,510000000532,
116.773,°,Segment,2,1,1,100000002,510000000535,
112.886,°,Segment,0,1,1,100000002,510000000552,
-139.613,°,Segment,16,6,1,100000002,510000000586,
122.005,°,Segment,15,6,1,100000002,510000000588,
151.579,°,Segment,20,7,1,100000001,510000000634,
-173.774,°,Segment,19,7,1,100000001,510000000641,
-166.649,°,Segment,17,6,1,100000001,510000000656,
156.136,°,Segment,15,6,1,100000001,510000000672,
114.235,°,Segment,14,6,1,100000001,510000000701,
74.212,°,Segment,13,5,1,100000001,510000000718,
45.6873,°,Segment,12,5,1,100000001,510000000721,
69.9989,°,Segment,11,4,1,100000001,510000000750,
50.5616,°,Segment,9,3,1,100000001,510000000753,
110.661,°,Segment,8,3,1,100000001,510000000778,
145.216,°,Segment,7,3,1,100000001,510000000782,
160.118,°,Segment,6,3,1,100000001,510000000784,
130.938,°,Segment,5,3,1,100000001,510000000787,
137.414,°,Segment,4,2,1,100000001,510000000799,
98.9351,°,Segment,3,1,1,100000001,510000000818,
90.3956,°,Segment,2,1,1,100000001,510000000835,
86.2978,°,Segment,1,1,1,100000001,510000000837,
75.6874,°,Segment,0,1,1,100000001,510000000873,
-175.117,°,Segment,23,8,1,100000001,510000000913,
-152.025,°,Segment,22,7,1,100000001,510000000922,
136.581,°,Segment,21,7,1,100000001,510000000929,
158.376,°,Segment,20,6,1,100000001,510000000933,
155.57,°,Segment,19,6,1,100000001,510000000936,
138.901,°,Segment,22,8,1,100000001,510000000949,
57.6962,°,Segment,24,8,1,100000001,510000000952,
121.315,°,Segment,23,7,1,100000001,510000000960,
-1.20198,°,Segment,20,8,1,100000001,510000000964,
8.01411,°,Segment,18,9,1,100000001,510000000968,
33.3263,°,Segment,17,8,1,100000001,510000000970,
66.4498,°,Segment,16,7,1,100000001,510000000987,
-150.814,°,Segment,18,7,1,100000001,510000001000,
-149.603,°,Segment,20,7,1,100000001,510000001009,
90.2208,°,Segment,18,8,1,100000001,510000001013,
60.9353,°,Segment,18,7,1,100000001,510000001016,
-164.478,°,Segment,18,8,1,100000001,510000001020,
-171.776,°,Segment,21,6,1,100000001,510000001023,
-176.653,°,Segment,18,7,1,100000001,510000001034,
152.995,°,Segment,17,7,1,100000001,510000001051,
82.0751,°,Segment,18,8,1,100000001,510000001054,
67.6652,°,Segment,16,7,1,100000001,510000001066,
126.437,°,Segment,15,7,1,100000001,510000001081,
106.828,°,Segment,14,7,1,100000001,510000001120,
133.116,°,Segment,13,6,1,100000001,510000001122,
-76.3148,°,Segment,16,8,1,100000001,510000001126,
43.9723,°,Segment,15,7,1,100000001,510000001146,
9.00175,°,Segment,15,8,1,100000001,510000001150,
-17.1743,°,Segment,15,5,1,100000001,510000001161,
3.74357,°,Segment,14,5,1,100000001,510000001164,
68.2323,°,Segment,15,6,1,100000001,510000001168,
-163.477,°,Segment,15,4,1,100000001,510000001180,
-172.417,°,Segment,14,4,1,100000001,510000001186,
169.767,°,Segment,13,4,1,100000001,510000001196,
175.371,°,Segment,12,4,1,100000001,510000001207,
106.499,°,Segment,15,5,1,100000001,510000001212,
6.7393,°,Segment,15,5,1,100000001,510000001215,
71.1178,°,Segment,14,5,1,100000001,510000001220,
-139.743,°,Segment,13,5,1,100000001,510000001224,
70.5279,°,Segment,14,6,1,100000001,510000001226,
-98.1208,°,Segment,8,3,1,100000000,510000001248,
-125.037,°,Segment,7,3,1,100000000,510000001269,
-150.073,°,Segment,6,3,1,100000000,510000001272,
-140.829,°,Segment,5,2,1,100000000,510000001274,
-108.302,°,Segment,4,2,1,100000000,510000001288,
-137.171,°,Segment,3,2,1,100000000,510000001299,
-178.407,°,Segment,2,1,1,100000000,510000001309,
-129.571,°,Segment,1,1,1,100000000,510000001322,
-153.513,°,Segment,0,1,1,100000000,510000001367,
-63.7584,°,Segment,7,4,1,100000000,510000001395,
-125.774,°,Segment,8,4,1,100000000,510000001401,
-67.852,°,Segment,5,3,1,100000000,510000001414,
143.913,°,Segment,6,2,1,100000000,510000001418,
-176.235,°,Segment,4,3,1,100000000,510000001429,
-146.759,°,Segment,3,2,1,100000000,510000001439,
-94.0512,°,Segment,2,2,1,100000000,510000001449,
47.8854,°,Segment,3,1,1,100000000,510000001454,
-156.556,°,Segment,3,3,1,100000000,510000001457,
95.4808,°,Segment,1,2,1,100000000,510000001462,
18.8505,°,Segment,1,1,1,100000002,510000001481,
11.7174,°,Segment,0,1,1,100000002,510000001499,
142.186,°,Segment,9,3,1,100000000,510000001525,
25.6841,°,Segment,8,2,1,100000000,510000001538,
-23.0688,°,Segment,7,2,1,100000000,510000001601,
-34.7291,°,Segment,6,2,1,100000000,510000001630,
13.3522,°,Segment,5,1,1,100000000,510000001658,
1.75062,°,Segment,4,1,1,100000000,510000001672,
-6.2113,°,Segment,3,1,1,100000000,510000001688,
17.4649,°,Segment,2,1,1,100000000,510000001703,
-18.0633,°,Segment,1,1,1,100000000,510000001721,
10.4083,°,Segment,0,1,1,100000000,510000001745,
85.9806,°,Segment,11,2,1,100000000,510000001756,
85.7411,°,Segment,10,2,1,100000000,510000001759,
13.9432,°,Segment,11,3,1,100000000,510000001764,
11.3629,°,Segment,10,3,1,100000000,510000001768,
15.5284,°,Segment,8,3,1,100000000,510000001770,
127.999,°,Segment,7,3,1,100000000,510000001773,
-73.4057,°,Segment,8,2,1,100000000,510000001783,
24.9864,°,Segment,7,2,1,100000000,510000001789,
1.08208,°,Segment,6,1,1,100000000,510000001803,
-41.222,°,Segment,7,1,1,100000000,510000001805,
30.7544,°,Segment,6,2,1,100000000,510000001812,
-72.8567,°,Segment,5,2,1,100000000,510000001846,
7.68607,°,Segment,8,3,1,100000000,510000001850,
-32.0552,°,Segment,6,3,1,100000000,510000001853,
-42.4906,°,Segment,4,2,1,100000000,510000001856,
-126.624,°,Segment,11,5,1,100000001,510000001890,
-100.924,°,Segment,10,4,1,100000001,510000001898,
-67.7354,°,Segment,9,3,1,100000001,510000001903,
-100.953,°,Segment,8,3,1,100000001,510000001921,
-171.402,°,Segment,7,2,1,100000001,510000001952,
-164.709,°,Segment,6,1,1,100000001,510000001983,
-152.235,°,Segment,5,1,1,100000001,510000001995,
-151.774,°,Segment,4,1,1,100000001,510000002000,
-163.889,°,Segment,3,1,1,100000001,510000002047,
171.542,°,Segment,2,1,1,100000001,510000002055,
165.287,°,Segment,1,1,1,100000001,510000002065,
177.109,°,Segment,0,1,1,100000001,510000002069,
79.9082,°,Segment,11,4,1,100000001,510000002104,
95.0827,°,Segment,8,2,1,100000001,510000002176,
166.778,°,Segment,13,4,1,100000001,510000002188,
-134.921,°,Segment,12,3,1,100000001,510000002235,
-137.049,°,Segment,11,2,1,100000001,510000002239,
-131.244,°,Segment,10,1,1,100000001,510000002249,
-128.974,°,Segment,9,1,1,100000001,510000002253,
-110.898,°,Segment,8,1,1,100000001,510000002255,
-95.7948,°,Segment,7,1,1,100000001,510000002258,
-81.6328,°,Segment,6,1,1,100000001,510000002273,
-134.258,°,Segment,5,1,1,100000001,510000002281,
-97.8131,°,Segment,4,1,1,100000001,510000002296,
-103.517,°,Segment,3,1,1,100000001,510000002306,
-148.973,°,Segment,2,1,1,100000001,510000002322,
-132.328,°,Segment,1,1,1,100000001,510000002325,
-141.263,°,Segment,0,1,1,100000001,510000002336,
-122.411,°,Segment,18,7,1,100000002,510000002343,
-21.6401,°,Segment,17,7,1,100000002,510000002362,
-103.955,°,Segment,14,6,1,100000002,510000002376,
-135.107,°,Segment,13,5,1,100000002,510000002378,
29.9699,°,Segment,13,3,1,100000001,510000002380,
15.3684,°,Segment,16,5,1,100000002,510000002436,
94.6724,°,Segment,15,4,1,100000002,510000002439,
-152.073,°,Segment,6,3,1,100000002,510000002469,
-139.597,°,Segment,5,3,1,100000002,510000002473,
0,°,Segment,4,3,1,100000002,510000002498,
25.9762,°,Segment,3,2,1,100000002,510000002505,
-8.81698,°,Segment,2,1,1,100000002,510000002508,
-24.0511,°,Segment,0,1,1,100000002,510000002525,
-77.8802,°,Segment,10,3,1,100000001,510000002543,
161.865,°,Segment,9,6,1,100000001,510000002565,
1.94974,°,Segment,10,2,1,100000000,510000002577,
-16.023,°,Segment,9,1,1,100000000,510000002583,
-26.7611,°,Segment,8,1,1,100000000,510000002594,
-42.836,°,Segment,6,1,1,100000000,510000002627,
52.1685,°,Segment,5,1,1,100000000,510000002643,
56.6446,°,Segment,4,1,1,100000000,510000002648,
37.1303,°,Segment,3,1,1,100000000,510000002650,
