
Spine Center Intensity Min Ch=4 Img=1
 ==================== 
Spine Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Spine,4,23,Image 1,8,1,100000001,610000006540,
26,,Spine,4,1,Image 1,1,1,100000000,610000006542,
0,,Spine,4,15,Image 1,2,1,100000001,610000006544,
22,,Spine,4,0,Image 1,1,1,100000000,610000006547,
39,,Spine,4,7,Image 1,4,1,100000001,610000006551,
11,,Spine,4,2,Image 1,1,1,100000001,610000006553,
36,,Spine,4,0,Image 1,1,1,100000001,610000006555,
50,,Spine,4,6,Image 1,2,1,100000002,610000006557,
46,,Spine,4,7,Image 1,4,1,100000001,610000006562,
0,,Spine,4,12,Image 1,4,1,100000001,610000006564,
60,,Spine,4,20,Image 1,7,1,100000001,610000006566,
0,,Spine,4,18,Image 1,7,1,100000001,610000006568,
0,,Spine,4,1,Image 1,1,1,100000000,610000006570,
49,,Spine,4,10,Image 1,3,1,100000002,610000006572,
36,,Spine,4,9,Image 1,1,1,100000002,610000006575,
21,,Spine,4,0,Image 1,1,1,100000001,610000006577,
47,,Spine,4,3,Image 1,1,1,100000002,610000006579,
0,,Spine,4,2,Image 1,2,1,100000001,610000006584,
23,,Spine,4,0,Image 1,1,1,100000000,610000006586,
23,,Spine,4,11,Image 1,5,1,100000001,610000006588,
46,,Spine,4,0,Image 1,1,1,100000000,610000006592,
0,,Spine,4,12,Image 1,4,1,100000001,610000006598,
60,,Spine,4,0,Image 1,1,1,100000001,610000006600,
27,,Spine,4,6,Image 1,1,1,100000000,610000006603,
60,,Spine,4,0,Image 1,1,1,100000001,610000006608,
58,,Spine,4,0,Image 1,1,1,100000001,610000006612,
0,,Spine,4,2,Image 1,1,1,100000001,610000006614,
49,,Spine,4,2,Image 1,1,1,100000001,610000006619,
43,,Spine,4,7,Image 1,1,1,100000002,610000006623,
27,,Spine,4,8,Image 1,2,1,100000001,610000006628,
52,,Spine,4,5,Image 1,2,1,100000001,610000006630,
26,,Spine,4,20,Image 1,7,1,100000001,610000006633,
57,,Spine,4,11,Image 1,3,1,100000001,610000006637,
51,,Spine,4,11,Image 1,3,1,100000002,610000006640,
47,,Spine,4,3,Image 1,1,1,100000001,610000006642,
31,,Spine,4,4,Image 1,3,1,100000001,610000006645,
46,,Spine,4,1,Image 1,1,1,100000001,610000006649,
0,,Spine,4,1,Image 1,1,1,100000001,610000006652,
61,,Spine,4,10,Image 1,3,1,100000002,610000006655,
39,,Spine,4,0,Image 1,1,1,100000001,610000006660,
34,,Spine,4,0,Image 1,1,1,100000001,610000006662,
40,,Spine,4,12,Image 1,4,1,100000001,610000006666,
44,,Spine,4,20,Image 1,7,1,100000001,610000006676,
76,,Spine,4,0,Image 1,1,1,100000001,610000006681,
34,,Spine,4,1,Image 1,1,1,100000000,610000006684,
46,,Spine,4,0,Image 1,1,1,100000002,610000006691,
26,,Spine,4,0,Image 1,1,1,100000000,610000006694,
62,,Spine,4,7,Image 1,4,1,100000001,610000006697,
82,,Spine,4,0,Image 1,1,1,100000001,610000006701,
21,,Spine,4,2,Image 1,1,1,100000001,610000006703,
18,,Spine,4,1,Image 1,1,1,100000001,610000006708,
71,,Spine,4,2,Image 1,1,1,100000001,610000006714,
0,,Spine,4,5,Image 1,3,1,100000001,610000006719,
45,,Spine,4,7,Image 1,2,1,100000000,610000006722,
78,,Spine,4,2,Image 1,1,1,100000001,610000006725,
51,,Spine,4,0,Image 1,1,1,100000001,610000006730,
43,,Spine,4,10,Image 1,5,1,100000001,610000006744,
70,,Spine,4,0,Image 1,1,1,100000001,610000006750,
76,,Spine,4,0,Image 1,1,1,100000001,610000006765,
53,,Spine,4,5,Image 1,2,1,100000001,610000006774,
33,,Spine,4,3,Image 1,1,1,100000000,610000006782,
36,,Spine,4,8,Image 1,4,1,100000000,610000006819,
59,,Spine,4,7,Image 1,3,1,100000000,610000006820,
21,,Spine,4,7,Image 1,4,1,100000000,610000006821,
0,,Spine,4,4,Image 1,2,1,100000000,610000006822,
32,,Spine,4,0,Image 1,1,1,100000000,610000006823,
50,,Spine,4,0,Image 1,1,1,100000000,610000006824,
0,,Spine,4,4,Image 1,2,1,100000000,610000006825,
17,,Spine,4,4,Image 1,1,1,100000000,610000006826,
18,,Spine,4,2,Image 1,1,1,100000000,610000006827,
34,,Spine,4,2,Image 1,1,1,100000000,610000006828,
44,,Spine,4,2,Image 1,1,1,100000000,610000006829,
52,,Spine,4,1,Image 1,2,1,100000000,610000006830,
41,,Spine,4,1,Image 1,1,1,100000000,610000006831,
30,,Spine,4,7,Image 1,2,1,100000000,610000006832,
55,,Spine,4,7,Image 1,2,1,100000000,610000006833,
40,,Spine,4,5,Image 1,2,1,100000000,610000006834,
20,,Spine,4,2,Image 1,2,1,100000000,610000006835,
48,,Spine,4,1,Image 1,1,1,100000000,610000006836,
37,,Spine,4,4,Image 1,3,1,100000000,610000006837,
110,,Spine,4,4,Image 1,3,1,100000000,610000006838,
40,,Spine,4,3,Image 1,3,1,100000000,610000006839,
43,,Spine,4,3,Image 1,3,1,100000000,610000006840,
56,,Spine,4,2,Image 1,2,1,100000000,610000006841,
0,,Spine,4,2,Image 1,3,1,100000000,610000006842,
61,,Spine,4,0,Image 1,1,1,100000000,610000006843,
21,,Spine,4,0,Image 1,1,1,100000000,610000006844,
26,,Spine,4,10,Image 1,1,1,100000000,610000006846,
44,,Spine,4,10,Image 1,1,1,100000000,610000006847,
19,,Spine,4,6,Image 1,1,1,100000000,610000006848,
27,,Spine,4,5,Image 1,2,1,100000000,610000006849,
14,,Spine,4,4,Image 1,2,1,100000000,610000006850,
15,,Spine,4,3,Image 1,3,1,100000000,610000006851,
48,,Spine,4,2,Image 1,2,1,100000000,610000006852,
46,,Spine,4,2,Image 1,1,1,100000000,610000006853,
44,,Spine,4,2,Image 1,1,1,100000000,610000006854,
15,,Spine,4,2,Image 1,1,1,100000000,610000006855,
24,,Spine,4,1,Image 1,2,1,100000000,610000006856,
75,,Spine,4,0,Image 1,1,1,100000000,610000006857,
17,,Spine,4,19,Image 1,8,1,100000001,610000006858,
0,,Spine,4,13,Image 1,8,1,100000001,610000006859,
93,,Spine,4,12,Image 1,8,1,100000001,610000006860,
31,,Spine,4,10,Image 1,5,1,100000001,610000006861,
