
Soma BoundingBoxAA Length X
 ==================== 
Soma BoundingBoxAA Length X,Unit,Category,Collection,Time,FilamentID,ID,
3.25,µm,Soma,Soma BoundingBoxAA Length,1,100000000,800000000,
3.89996,µm,Soma,Soma BoundingBoxAA Length,1,100000001,800000001,
4.09497,µm,Soma,Soma BoundingBoxAA Length,1,100000002,800000002,
2.79504,µm,Soma,Soma BoundingBoxAA Length,1,100000003,800000003,
