
Spine Part Min Diameter Ground
 ==================== 
Spine Part Min Diameter Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.19231,µm,Spine,Spine Part Min Diameter,2,2,1,100000002,610000001446,
0.162331,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001450,
0.19231,µm,Spine,Spine Part Min Diameter,2,2,1,100000002,610000001461,
0.19231,µm,Spine,Spine Part Min Diameter,2,2,1,100000002,610000001471,
0.235371,µm,Spine,Spine Part Min Diameter,2,1,1,100000002,610000001477,
0.19231,µm,Spine,Spine Part Min Diameter,2,2,1,100000002,610000001485,
0.235371,µm,Spine,Spine Part Min Diameter,2,1,1,100000002,610000001492,
0.319944,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001510,
0.243496,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000001524,
0.333778,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001536,
0.202969,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000001542,
0.187852,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000001551,
0.187852,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000001562,
0.309443,µm,Spine,Spine Part Min Diameter,5,3,1,100000001,610000001565,
0.194886,µm,Spine,Spine Part Min Diameter,2,1,1,100000002,610000001571,
0.187852,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000001580,
0.333778,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001593,
0.259675,µm,Spine,Spine Part Min Diameter,5,2,1,100000003,610000001599,
0.266758,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000001604,
0.431667,µm,Spine,Spine Part Min Diameter,6,3,1,100000001,610000001610,
0.187852,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000001618,
0.23881,µm,Spine,Spine Part Min Diameter,6,4,1,100000001,610000001621,
0.202969,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000001626,
0.351528,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001637,
0.243496,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000001649,
0.351528,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001660,
0.342602,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001664,
0.344573,µm,Spine,Spine Part Min Diameter,6,2,1,100000003,610000001672,
0.201237,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000001685,
0.162331,µm,Spine,Spine Part Min Diameter,2,1,1,100000002,610000001688,
0.202969,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000001695,
0.320371,µm,Spine,Spine Part Min Diameter,6,5,1,100000001,610000001699,
0.235371,µm,Spine,Spine Part Min Diameter,2,1,1,100000002,610000001703,
0.423739,µm,Spine,Spine Part Min Diameter,4,1,1,100000003,610000001708,
0.162331,µm,Spine,Spine Part Min Diameter,6,4,1,100000001,610000001710,
0.251924,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000001714,
0.342949,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000001720,
0.333778,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001733,
0.199539,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000001735,
0.333778,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001749,
0.344573,µm,Spine,Spine Part Min Diameter,6,2,1,100000003,610000001755,
0.232249,µm,Spine,Spine Part Min Diameter,6,2,1,100000003,610000001759,
0.278199,µm,Spine,Spine Part Min Diameter,2,1,1,100000002,610000001761,
0.284722,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000001766,
0.333778,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001779,
0.431667,µm,Spine,Spine Part Min Diameter,6,3,1,100000001,610000001785,
0.173586,µm,Spine,Spine Part Min Diameter,2,2,1,100000002,610000001789,
0.344573,µm,Spine,Spine Part Min Diameter,6,2,1,100000003,610000001796,
0.164709,µm,Spine,Spine Part Min Diameter,4,4,1,100000000,610000001808,
0.302002,µm,Spine,Spine Part Min Diameter,4,4,1,100000000,610000001823,
0.333778,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001835,
0.351528,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001845,
0.280694,µm,Spine,Spine Part Min Diameter,2,2,1,100000002,610000001848,
0.38634,µm,Spine,Spine Part Min Diameter,5,4,1,100000001,610000001852,
0.363623,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001857,
0.162331,µm,Spine,Spine Part Min Diameter,8,3,1,100000003,610000001859,
0.162331,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001864,
0.333778,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001877,
0.431667,µm,Spine,Spine Part Min Diameter,6,3,1,100000001,610000001882,
0.213283,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000001885,
0.177769,µm,Spine,Spine Part Min Diameter,4,4,1,100000000,610000001898,
0.272648,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001900,
0.314163,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000001903,
0.299392,µm,Spine,Spine Part Min Diameter,5,3,1,100000001,610000001905,
0.202969,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000001910,
0.174399,µm,Spine,Spine Part Min Diameter,2,1,1,100000002,610000001914,
0.320371,µm,Spine,Spine Part Min Diameter,6,5,1,100000001,610000001918,
0.243496,µm,Spine,Spine Part Min Diameter,4,4,1,100000000,610000001929,
0.249091,µm,Spine,Spine Part Min Diameter,6,4,1,100000001,610000001931,
0.37539,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001935,
0.431667,µm,Spine,Spine Part Min Diameter,6,3,1,100000001,610000001939,
0.333778,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001951,
0.478197,µm,Spine,Spine Part Min Diameter,5,3,1,100000001,610000001954,
0.341134,µm,Spine,Spine Part Min Diameter,4,4,1,100000000,610000001959,
0.346394,µm,Spine,Spine Part Min Diameter,8,3,1,100000003,610000001961,
0.315334,µm,Spine,Spine Part Min Diameter,2,1,1,100000002,610000001963,
0.249267,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001967,
0.239076,µm,Spine,Spine Part Min Diameter,2,2,1,100000002,610000001969,
0.231448,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000001973,
0.271104,µm,Spine,Spine Part Min Diameter,4,4,1,100000000,610000001984,
0.257731,µm,Spine,Spine Part Min Diameter,7,5,1,100000001,610000001988,
0.243496,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001993,
0.260267,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001996,
0.162331,µm,Spine,Spine Part Min Diameter,4,4,1,100000000,610000002005,
0.415367,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002007,
0.258749,µm,Spine,Spine Part Min Diameter,2,2,1,100000003,610000002010,
0.243896,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002013,
0.367164,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002016,
0.231623,µm,Spine,Spine Part Min Diameter,2,2,1,100000000,610000002018,
