
Spine Attachment Pt Branching Angle
 ==================== 
Spine Attachment Pt Branching Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
75.6823,°,Spine,7,5,1,100000001,610000003310,
56.6482,°,Spine,6,5,1,100000001,610000003311,
77.8441,°,Spine,6,5,1,100000001,610000003312,
77.0904,°,Spine,6,4,1,100000001,610000003315,
70.8388,°,Spine,6,4,1,100000001,610000003316,
75.2519,°,Spine,5,4,1,100000001,610000003318,
66.327,°,Spine,4,3,1,100000001,610000003322,
105.101,°,Spine,4,3,1,100000001,610000003325,
66.4697,°,Spine,4,2,1,100000001,610000003327,
77.4608,°,Spine,3,2,1,100000001,610000003329,
89.3153,°,Spine,3,2,1,100000001,610000003330,
82.9909,°,Spine,6,5,1,100000001,610000003331,
68.7143,°,Spine,6,5,1,100000001,610000003332,
82.0966,°,Spine,5,4,1,100000001,610000003333,
71.0422,°,Spine,5,4,1,100000001,610000003334,
63.1425,°,Spine,5,4,1,100000001,610000003335,
86.7637,°,Spine,5,4,1,100000001,610000003337,
88.3477,°,Spine,5,4,1,100000001,610000003338,
72.4489,°,Spine,1,1,1,100000001,610000003342,
80.1791,°,Spine,1,1,1,100000001,610000003343,
67.1279,°,Spine,1,1,1,100000001,610000003344,
24.2119,°,Spine,0,1,1,100000001,610000003347,
41.9447,°,Spine,6,4,1,100000001,610000003348,
74.7539,°,Spine,3,3,1,100000001,610000003353,
88.3641,°,Spine,3,3,1,100000001,610000003354,
83.2841,°,Spine,3,3,1,100000001,610000003355,
83.8091,°,Spine,3,4,1,100000001,610000003356,
71.3223,°,Spine,3,4,1,100000001,610000003357,
56.9701,°,Spine,3,4,1,100000001,610000003358,
91.7408,°,Spine,2,2,1,100000001,610000003361,
84.1147,°,Spine,1,2,1,100000001,610000003362,
65.2957,°,Spine,2,2,1,100000001,610000003363,
88.9922,°,Spine,0,1,1,100000001,610000003364,
59.7578,°,Spine,0,1,1,100000001,610000003368,
75.2448,°,Spine,0,1,1,100000001,610000003369,
85.243,°,Spine,4,2,1,100000002,610000003378,
93.4829,°,Spine,3,2,1,100000002,610000003380,
82.001,°,Spine,3,2,1,100000002,610000003381,
76.5207,°,Spine,1,1,1,100000002,610000003383,
76.0473,°,Spine,1,2,1,100000002,610000003384,
57.1241,°,Spine,1,2,1,100000002,610000003385,
77.9946,°,Spine,0,1,1,100000002,610000003386,
54.1076,°,Spine,2,1,1,100000002,610000003390,
85.1013,°,Spine,2,2,1,100000002,610000003392,
66.824,°,Spine,1,1,1,100000002,610000003393,
78.3721,°,Spine,1,1,1,100000002,610000003395,
80.3412,°,Spine,1,1,1,100000002,610000003403,
73.4721,°,Spine,1,1,1,100000002,610000003404,
87.1798,°,Spine,1,1,1,100000002,610000003405,
88.8326,°,Spine,1,1,1,100000002,610000003406,
80.7232,°,Spine,1,1,1,100000002,610000003414,
72.5698,°,Spine,1,1,1,100000002,610000003415,
96.5124,°,Spine,1,1,1,100000002,610000003417,
76.014,°,Spine,0,1,1,100000002,610000003419,
75.4488,°,Spine,8,3,1,100000003,610000003425,
84.5785,°,Spine,8,3,1,100000003,610000003426,
85.8396,°,Spine,7,2,1,100000003,610000003427,
75.7033,°,Spine,6,2,1,100000003,610000003428,
88.5789,°,Spine,6,2,1,100000003,610000003431,
52.2713,°,Spine,7,1,1,100000003,610000003434,
118.494,°,Spine,7,2,1,100000003,610000003435,
85.5695,°,Spine,6,1,1,100000003,610000003437,
88.5129,°,Spine,6,1,1,100000003,610000003438,
89.6668,°,Spine,6,1,1,100000003,610000003439,
70.5157,°,Spine,6,2,1,100000003,610000003440,
86.0607,°,Spine,3,2,1,100000003,610000003443,
64.4909,°,Spine,2,1,1,100000003,610000003447,
81.1921,°,Spine,2,1,1,100000003,610000003448,
53.6235,°,Spine,2,2,1,100000003,610000003450,
84.8581,°,Spine,0,1,1,100000003,610000003453,
80.6608,°,Spine,0,1,1,100000003,610000003454,
83.1731,°,Spine,0,1,1,100000003,610000003455,
90.1807,°,Spine,0,1,1,100000003,610000003459,
89.0037,°,Spine,0,1,1,100000003,610000003463,
83.2657,°,Spine,0,1,1,100000003,610000003464,
