
Spine Terminal Pt Position X
 ==================== 
Spine Terminal Pt Position X,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
965.412,µm,Spine,Spine Terminal Pt Position,2,2,1,100000002,610000001446,
969.573,µm,Spine,Spine Terminal Pt Position,0,1,1,100000002,610000001450,
965.607,µm,Spine,Spine Terminal Pt Position,2,2,1,100000002,610000001461,
965.412,µm,Spine,Spine Terminal Pt Position,2,2,1,100000002,610000001471,
965.023,µm,Spine,Spine Terminal Pt Position,2,1,1,100000002,610000001477,
965.347,µm,Spine,Spine Terminal Pt Position,2,2,1,100000002,610000001485,
964.828,µm,Spine,Spine Terminal Pt Position,2,1,1,100000002,610000001492,
986.342,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000001510,
983.277,µm,Spine,Spine Terminal Pt Position,1,2,1,100000001,610000001524,
985.758,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000001536,
983.417,µm,Spine,Spine Terminal Pt Position,1,2,1,100000001,610000001542,
983.547,µm,Spine,Spine Terminal Pt Position,1,2,1,100000001,610000001551,
983.092,µm,Spine,Spine Terminal Pt Position,1,2,1,100000001,610000001562,
981.143,µm,Spine,Spine Terminal Pt Position,5,3,1,100000001,610000001565,
964.828,µm,Spine,Spine Terminal Pt Position,2,1,1,100000002,610000001571,
983.417,µm,Spine,Spine Terminal Pt Position,1,2,1,100000001,610000001580,
985.432,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000001593,
957.482,µm,Spine,Spine Terminal Pt Position,5,2,1,100000003,610000001599,
966.778,µm,Spine,Spine Terminal Pt Position,1,1,1,100000002,610000001604,
992.518,µm,Spine,Spine Terminal Pt Position,6,3,1,100000001,610000001610,
983.482,µm,Spine,Spine Terminal Pt Position,1,2,1,100000001,610000001618,
974.448,µm,Spine,Spine Terminal Pt Position,6,4,1,100000001,610000001621,
983.547,µm,Spine,Spine Terminal Pt Position,1,2,1,100000001,610000001626,
985.758,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000001637,
983.352,µm,Spine,Spine Terminal Pt Position,1,2,1,100000001,610000001649,
985.693,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000001660,
986.083,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000001664,
956.07,µm,Spine,Spine Terminal Pt Position,6,2,1,100000003,610000001672,
973.538,µm,Spine,Spine Terminal Pt Position,1,1,1,100000002,610000001685,
965.785,µm,Spine,Spine Terminal Pt Position,2,1,1,100000002,610000001688,
983.222,µm,Spine,Spine Terminal Pt Position,1,2,1,100000001,610000001695,
982.452,µm,Spine,Spine Terminal Pt Position,6,5,1,100000001,610000001699,
964.958,µm,Spine,Spine Terminal Pt Position,2,1,1,100000002,610000001703,
956.703,µm,Spine,Spine Terminal Pt Position,4,1,1,100000003,610000001708,
973.863,µm,Spine,Spine Terminal Pt Position,6,4,1,100000001,610000001710,
956.508,µm,Spine,Spine Terminal Pt Position,1,1,1,100000000,610000001714,
974.123,µm,Spine,Spine Terminal Pt Position,1,1,1,100000002,610000001720,
986.083,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000001733,
983.027,µm,Spine,Spine Terminal Pt Position,1,2,1,100000001,610000001735,
985.974,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000001749,
956.185,µm,Spine,Spine Terminal Pt Position,6,2,1,100000003,610000001755,
957.407,µm,Spine,Spine Terminal Pt Position,6,2,1,100000003,610000001759,
964.503,µm,Spine,Spine Terminal Pt Position,2,1,1,100000002,610000001761,
964.177,µm,Spine,Spine Terminal Pt Position,0,1,1,100000003,610000001766,
986.018,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000001779,
992.518,µm,Spine,Spine Terminal Pt Position,6,3,1,100000001,610000001785,
966.062,µm,Spine,Spine Terminal Pt Position,2,2,1,100000002,610000001789,
955.922,µm,Spine,Spine Terminal Pt Position,6,2,1,100000003,610000001796,
959.107,µm,Spine,Spine Terminal Pt Position,,,1,,610000001798,
958.848,µm,Spine,Spine Terminal Pt Position,,,1,,610000001810,
985.888,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000001835,
985.367,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000001845,
965.282,µm,Spine,Spine Terminal Pt Position,2,2,1,100000002,610000001848,
992.258,µm,Spine,Spine Terminal Pt Position,5,4,1,100000001,610000001852,
969.053,µm,Spine,Spine Terminal Pt Position,0,1,1,100000002,610000001857,
959.383,µm,Spine,Spine Terminal Pt Position,8,3,1,100000003,610000001859,
985.497,µm,Spine,Spine Terminal Pt Position,,,1,,610000001861,
