
Filament No. Segment Terminal Pts
 ==================== 
Filament No. Segment Terminal Pts,Unit,Category,Time,ID,
6,,Filament,1,100000000,
28,,Filament,1,100000001,
15,,Filament,1,100000002,
12,,Filament,1,100000003,
