
Spine Intensity Max Ch=2 Img=1
 ==================== 
Spine Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
108,,Spine,2,2,Image 1,2,1,100000002,610000001446,
88,,Spine,2,0,Image 1,1,1,100000002,610000001450,
108,,Spine,2,2,Image 1,2,1,100000002,610000001461,
108,,Spine,2,2,Image 1,2,1,100000002,610000001471,
135,,Spine,2,2,Image 1,1,1,100000002,610000001477,
108,,Spine,2,2,Image 1,2,1,100000002,610000001485,
135,,Spine,2,2,Image 1,1,1,100000002,610000001492,
135,,Spine,2,0,Image 1,1,1,100000001,610000001510,
101,,Spine,2,1,Image 1,2,1,100000001,610000001524,
135,,Spine,2,0,Image 1,1,1,100000001,610000001536,
76,,Spine,2,1,Image 1,2,1,100000001,610000001542,
76,,Spine,2,1,Image 1,2,1,100000001,610000001551,
129,,Spine,2,1,Image 1,2,1,100000001,610000001562,
81,,Spine,2,5,Image 1,3,1,100000001,610000001565,
75,,Spine,2,2,Image 1,1,1,100000002,610000001571,
129,,Spine,2,1,Image 1,2,1,100000001,610000001580,
135,,Spine,2,0,Image 1,1,1,100000001,610000001593,
94,,Spine,2,5,Image 1,2,1,100000003,610000001599,
122,,Spine,2,1,Image 1,1,1,100000002,610000001604,
101,,Spine,2,6,Image 1,3,1,100000001,610000001610,
76,,Spine,2,1,Image 1,2,1,100000001,610000001618,
64,,Spine,2,6,Image 1,4,1,100000001,610000001621,
76,,Spine,2,1,Image 1,2,1,100000001,610000001626,
135,,Spine,2,0,Image 1,1,1,100000001,610000001637,
101,,Spine,2,1,Image 1,2,1,100000001,610000001649,
125,,Spine,2,0,Image 1,1,1,100000001,610000001660,
72,,Spine,2,0,Image 1,1,1,100000001,610000001664,
140,,Spine,2,6,Image 1,2,1,100000003,610000001672,
120,,Spine,2,1,Image 1,1,1,100000002,610000001685,
73,,Spine,2,2,Image 1,1,1,100000002,610000001688,
129,,Spine,2,1,Image 1,2,1,100000001,610000001695,
100,,Spine,2,6,Image 1,5,1,100000001,610000001699,
112,,Spine,2,2,Image 1,1,1,100000002,610000001703,
128,,Spine,2,4,Image 1,1,1,100000003,610000001708,
106,,Spine,2,6,Image 1,4,1,100000001,610000001710,
137,,Spine,2,1,Image 1,1,1,100000000,610000001714,
99,,Spine,2,1,Image 1,1,1,100000002,610000001720,
135,,Spine,2,0,Image 1,1,1,100000001,610000001733,
52,,Spine,2,1,Image 1,2,1,100000001,610000001735,
135,,Spine,2,0,Image 1,1,1,100000001,610000001749,
140,,Spine,2,6,Image 1,2,1,100000003,610000001755,
123,,Spine,2,6,Image 1,2,1,100000003,610000001759,
63,,Spine,2,2,Image 1,1,1,100000002,610000001761,
86,,Spine,2,0,Image 1,1,1,100000003,610000001766,
135,,Spine,2,0,Image 1,1,1,100000001,610000001779,
101,,Spine,2,6,Image 1,3,1,100000001,610000001785,
115,,Spine,2,2,Image 1,2,1,100000002,610000001789,
140,,Spine,2,6,Image 1,2,1,100000003,610000001796,
153,,Spine,2,4,Image 1,4,1,100000000,610000001808,
153,,Spine,2,4,Image 1,4,1,100000000,610000001823,
135,,Spine,2,0,Image 1,1,1,100000001,610000001835,
112,,Spine,2,0,Image 1,1,1,100000001,610000001845,
80,,Spine,2,2,Image 1,2,1,100000002,610000001848,
93,,Spine,2,5,Image 1,4,1,100000001,610000001852,
89,,Spine,2,0,Image 1,1,1,100000002,610000001857,
55,,Spine,2,8,Image 1,3,1,100000003,610000001859,
115,,Spine,2,0,Image 1,1,1,100000001,610000001864,
135,,Spine,2,0,Image 1,1,1,100000001,610000001877,
101,,Spine,2,6,Image 1,3,1,100000001,610000001882,
76,,Spine,2,1,Image 1,2,1,100000001,610000001885,
159,,Spine,2,4,Image 1,4,1,100000000,610000001898,
88,,Spine,2,0,Image 1,1,1,100000002,610000001900,
89,,Spine,2,1,Image 1,1,1,100000002,610000001903,
75,,Spine,2,5,Image 1,3,1,100000001,610000001905,
76,,Spine,2,1,Image 1,2,1,100000001,610000001910,
50,,Spine,2,2,Image 1,1,1,100000002,610000001914,
100,,Spine,2,6,Image 1,5,1,100000001,610000001918,
159,,Spine,2,4,Image 1,4,1,100000000,610000001929,
52,,Spine,2,6,Image 1,4,1,100000001,610000001931,
96,,Spine,2,0,Image 1,1,1,100000001,610000001935,
101,,Spine,2,6,Image 1,3,1,100000001,610000001939,
135,,Spine,2,0,Image 1,1,1,100000001,610000001951,
116,,Spine,2,5,Image 1,3,1,100000001,610000001954,
110,,Spine,2,4,Image 1,4,1,100000000,610000001959,
51,,Spine,2,8,Image 1,3,1,100000003,610000001961,
69,,Spine,2,2,Image 1,1,1,100000002,610000001963,
66,,Spine,2,0,Image 1,1,1,100000001,610000001967,
98,,Spine,2,2,Image 1,2,1,100000002,610000001969,
101,,Spine,2,0,Image 1,1,1,100000003,610000001973,
159,,Spine,2,4,Image 1,4,1,100000000,610000001984,
69,,Spine,2,7,Image 1,5,1,100000001,610000001988,
146,,Spine,2,0,Image 1,1,1,100000001,610000001993,
64,,Spine,2,0,Image 1,1,1,100000002,610000001996,
159,,Spine,2,4,Image 1,4,1,100000000,610000002005,
89,,Spine,2,0,Image 1,1,1,100000001,610000002007,
94,,Spine,2,2,Image 1,2,1,100000003,610000002010,
67,,Spine,2,0,Image 1,1,1,100000002,610000002013,
82,,Spine,2,1,Image 1,2,1,100000001,610000002016,
98,,Spine,2,2,Image 1,2,1,100000000,610000002018,
84,,Spine,2,5,Image 1,3,1,100000001,610000002020,
81,,Spine,2,5,Image 1,3,1,100000001,610000002022,
87,,Spine,2,5,Image 1,3,1,100000001,610000002024,
100,,Spine,2,6,Image 1,5,1,100000001,610000002028,
123,,Spine,2,6,Image 1,2,1,100000003,610000002031,
79,,Spine,2,0,Image 1,1,1,100000001,610000002035,
140,,Spine,2,6,Image 1,2,1,100000003,610000002040,
72,,Spine,2,0,Image 1,1,1,100000001,610000002043,
120,,Spine,2,1,Image 1,1,1,100000002,610000002052,
135,,Spine,2,4,Image 1,4,1,100000000,610000002060,
54,,Spine,2,0,Image 1,1,1,100000001,610000002063,
161,,Spine,2,4,Image 1,4,1,100000000,610000002071,
112,,Spine,2,4,Image 1,2,1,100000001,610000002073,
108,,Spine,2,0,Image 1,1,1,100000000,610000002075,
135,,Spine,2,0,Image 1,1,1,100000001,610000002086,
101,,Spine,2,1,Image 1,1,1,100000002,610000002088,
110,,Spine,2,4,Image 1,4,1,100000000,610000002094,
139,,Spine,2,4,Image 1,3,1,100000001,610000002097,
153,,Spine,2,4,Image 1,4,1,100000000,610000002106,
161,,Spine,2,4,Image 1,4,1,100000000,610000002115,
161,,Spine,2,4,Image 1,4,1,100000000,610000002124,
46,,Spine,2,0,Image 1,1,1,100000001,610000002126,
121,,Spine,2,4,Image 1,1,1,100000003,610000002129,
118,,Spine,2,0,Image 1,1,1,100000003,610000002133,
133,,Spine,2,4,Image 1,4,1,100000000,610000002140,
140,,Spine,2,6,Image 1,2,1,100000003,610000002145,
112,,Spine,2,3,Image 1,1,1,100000003,610000002149,
159,,Spine,2,4,Image 1,4,1,100000000,610000002159,
101,,Spine,2,1,Image 1,2,1,100000001,610000002167,
116,,Spine,2,5,Image 1,3,1,100000001,610000002170,
91,,Spine,2,0,Image 1,1,1,100000002,610000002173,
110,,Spine,2,0,Image 1,1,1,100000002,610000002176,
87,,Spine,2,6,Image 1,4,1,100000001,610000002179,
