
Spine Part Min Diameter
 ==================== 
Spine Part Min Diameter Ground,Spine Part Min Diameter Head,Spine Part Min Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.389326,0.390402,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002623,
0.485453,0.631412,0.530795,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002638,
0.403214,0.248227,0.307948,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002655,
0.162331,0.324661,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002662,
0.589053,0.702925,0.649498,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002665,
0.568158,0.368184,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002667,
0.286281,0.313347,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000002670,
0.431075,0.496233,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002672,
0.568158,0.26682,0.35332,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000002689,
0.491116,0.199072,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002712,
0.278778,0.7411,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002724,
0.562391,0.375916,0.577785,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000002736,
0.242779,0.186162,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000002749,
0.270508,0.227259,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002754,
0.190428,0.354064,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000002760,
0.243496,0.162331,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000002763,
0.392676,0.263787,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000002775,
0.162331,0.520596,0.246943,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000002791,
0.275418,0.560763,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000002797,
0.378832,0.354093,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002803,
0.1917,0.374413,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002805,
0.259874,0.197031,0.247225,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002808,
0.344482,0.23339,0.324661,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002811,
0.352061,0.403307,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000002822,
0.324937,0.346236,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000002824,
0.571684,0.250912,0.507235,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000002837,
