
Spine Branch Depth
 ==================== 
Spine Branch Depth,Unit,Category,Depth,Level,Time,FilamentID,ID,
6,,Spine,6,4,1,100000001,610000002228,
-1,,Spine,4,4,1,100000000,610000002238,
-1,,Spine,0,1,1,100000001,610000002243,
-1,,Spine,4,4,1,100000000,610000002250,
5,,Spine,5,2,1,100000003,610000002252,
1,,Spine,1,1,1,100000002,610000002258,
-1,,Spine,4,4,1,100000000,610000002269,
2,,Spine,2,2,1,100000000,610000002271,
4,,Spine,4,3,1,100000001,610000002276,
5,,Spine,5,4,1,100000001,610000002279,
0,,Spine,0,1,1,100000001,610000002283,
6,,Spine,6,1,1,100000003,610000002286,
0,,Spine,0,1,1,100000001,610000002292,
0,,Spine,0,1,1,100000002,610000002295,
-1,,Spine,4,4,1,100000000,610000002303,
6,,Spine,6,4,1,100000001,610000002306,
6,,Spine,6,4,1,100000001,610000002308,
3,,Spine,3,3,1,100000001,610000002310,
2,,Spine,2,2,1,100000000,610000002313,
1,,Spine,1,1,1,100000002,610000002316,
5,,Spine,5,3,1,100000001,610000002319,
4,,Spine,4,1,1,100000003,610000002323,
1,,Spine,1,2,1,100000003,610000002325,
2,,Spine,2,1,1,100000001,610000002329,
-1,,Spine,4,4,1,100000000,610000002338,
1,,Spine,1,1,1,100000001,610000002341,
0,,Spine,0,1,1,100000003,610000002343,
6,,Spine,6,3,1,100000001,610000002347,
5,,Spine,5,1,1,100000003,610000002350,
1,,Spine,1,1,1,100000002,610000002352,
3,,Spine,3,4,1,100000001,610000002356,
1,,Spine,1,1,1,100000002,610000002359,
-1,,Spine,4,4,1,100000000,610000002365,
7,,Spine,7,5,1,100000001,610000002368,
1,,Spine,1,1,1,100000000,610000002371,
-1,,Spine,4,4,1,100000000,610000002379,
1,,Spine,1,1,1,100000002,610000002382,
5,,Spine,5,2,1,100000003,610000002385,
0,,Spine,0,1,1,100000001,610000002394,
-1,,Spine,0,1,1,100000001,610000002400,
1,,Spine,1,2,1,100000001,610000002406,
-1,,Spine,4,4,1,100000000,610000002415,
0,,Spine,0,1,1,100000002,610000002418,
3,,Spine,3,3,1,100000001,610000002420,
1,,Spine,1,1,1,100000001,610000002424,
1,,Spine,1,2,1,100000001,610000002427,
-1,,Spine,0,1,1,100000001,610000002430,
0,,Spine,0,1,1,100000000,610000002432,
2,,Spine,2,1,1,100000003,610000002435,
0,,Spine,0,1,1,100000002,610000002437,
5,,Spine,5,4,1,100000001,610000002441,
1,,Spine,1,1,1,100000000,610000002445,
4,,Spine,4,4,1,100000001,610000002448,
1,,Spine,1,2,1,100000001,610000002450,
6,,Spine,6,2,1,100000003,610000002453,
1,,Spine,1,1,1,100000000,610000002457,
-1,,Spine,0,1,1,100000003,610000002460,
1,,Spine,1,1,1,100000001,610000002463,
0,,Spine,0,1,1,100000001,610000002467,
4,,Spine,4,2,1,100000001,610000002470,
2,,Spine,2,1,1,100000002,610000002472,
3,,Spine,3,2,1,100000002,610000002474,
2,,Spine,2,1,1,100000003,610000002477,
6,,Spine,6,2,1,100000003,610000002480,
5,,Spine,5,1,1,100000003,610000002484,
-1,,Spine,4,4,1,100000000,610000002489,
7,,Spine,7,6,1,100000001,610000002492,
1,,Spine,1,1,1,100000000,610000002495,
1,,Spine,1,2,1,100000002,610000002497,
0,,Spine,0,1,1,100000001,610000002499,
2,,Spine,2,2,1,100000000,610000002501,
-1,,Spine,4,4,1,100000000,610000002507,
4,,Spine,4,2,1,100000001,610000002509,
1,,Spine,1,2,1,100000003,610000002511,
-1,,Spine,4,4,1,100000000,610000002515,
-1,,Spine,4,4,1,100000000,610000002523,
1,,Spine,1,2,1,100000002,610000002526,
-1,,Spine,4,4,1,100000000,610000002533,
5,,Spine,5,3,1,100000001,610000002536,
0,,Spine,0,1,1,100000002,610000002538,
3,,Spine,3,1,1,100000003,610000002541,
-1,,Spine,0,1,1,100000002,610000002544,
3,,Spine,3,2,1,100000003,610000002547,
-1,,Spine,0,1,1,100000001,610000002550,
4,,Spine,4,1,1,100000003,610000002552,
-1,,Spine,4,4,1,100000000,610000002559,
6,,Spine,6,3,1,100000001,610000002561,
0,,Spine,0,1,1,100000001,610000002563,
-1,,Spine,4,4,1,100000000,610000002567,
2,,Spine,2,2,1,100000003,610000002569,
4,,Spine,4,1,1,100000003,610000002571,
0,,Spine,0,1,1,100000001,610000002574,
-1,,Spine,0,1,1,100000001,610000002576,
-1,,Spine,0,1,1,100000001,610000002579,
3,,Spine,3,2,1,100000001,610000002582,
-1,,Spine,0,1,1,100000003,610000002585,
6,,Spine,6,2,1,100000003,610000002589,
5,,Spine,5,4,1,100000001,610000002591,
2,,Spine,2,1,1,100000003,610000002596,
4,,Spine,4,2,1,100000002,610000002598,
-1,,Spine,0,1,1,100000001,610000002603,
0,,Spine,0,1,1,100000002,610000002605,
0,,Spine,0,1,1,100000002,610000002608,
0,,Spine,0,1,1,100000002,610000002612,
0,,Spine,0,1,1,100000002,610000002615,
1,,Spine,1,1,1,100000002,610000002617,
2,,Spine,2,1,1,100000001,610000002620,
-1,,Spine,0,1,1,100000001,610000002623,
5,,Spine,5,1,1,100000003,610000002626,
7,,Spine,7,1,1,100000003,610000002629,
1,,Spine,1,1,1,100000000,610000002633,
-1,,Spine,0,1,1,100000001,610000002638,
1,,Spine,1,1,1,100000000,610000002640,
-1,,Spine,4,4,1,100000000,610000002646,
-1,,Spine,4,4,1,100000000,610000002652,
0,,Spine,0,1,1,100000002,610000002655,
1,,Spine,1,2,1,100000001,610000002659,
-1,,Spine,0,1,1,100000002,610000002662,
0,,Spine,0,1,1,100000001,610000002665,
0,,Spine,0,1,1,100000001,610000002667,
0,,Spine,0,1,1,100000000,610000002670,
0,,Spine,0,1,1,100000001,610000002672,
-1,,Spine,4,4,1,100000000,610000002679,
-1,,Spine,4,4,1,100000000,610000002685,
0,,Spine,0,1,1,100000003,610000002689,
-1,,Spine,4,4,1,100000000,610000002693,
1,,Spine,1,2,1,100000003,610000002695,
3,,Spine,3,1,1,100000003,610000002698,
-1,,Spine,4,4,1,100000000,610000002705,
6,,Spine,6,4,1,100000001,610000002707,
2,,Spine,2,1,1,100000003,610000002710,
0,,Spine,0,1,1,100000001,610000002712,
2,,Spine,2,2,1,100000002,610000002715,
