
Spine Part Mean Diameter Ground
 ==================== 
Spine Part Mean Diameter Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.513523,µm,Spine,Spine Part Mean Diameter,2,3,1,100000000,610000003048,
0.453894,µm,Spine,Spine Part Mean Diameter,2,3,1,100000001,610000003057,
0.462901,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003062,
0.677751,µm,Spine,Spine Part Mean Diameter,3,2,1,100000000,610000003068,
0.684191,µm,Spine,Spine Part Mean Diameter,3,2,1,100000000,610000003073,
0.537648,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003080,
0.712405,µm,Spine,Spine Part Mean Diameter,3,2,1,100000002,610000003085,
0.712405,µm,Spine,Spine Part Mean Diameter,3,2,1,100000002,610000003089,
1.15821,µm,Spine,Spine Part Mean Diameter,3,2,1,100000001,610000003098,
0.712208,µm,Spine,Spine Part Mean Diameter,3,4,1,100000000,610000003107,
0.534736,µm,Spine,Spine Part Mean Diameter,2,3,1,100000000,610000003116,
0.534736,µm,Spine,Spine Part Mean Diameter,2,3,1,100000000,610000003124,
0.93483,µm,Spine,Spine Part Mean Diameter,4,2,1,100000002,610000003131,
0.908902,µm,Spine,Spine Part Mean Diameter,4,2,1,100000002,610000003141,
0.873561,µm,Spine,Spine Part Mean Diameter,4,2,1,100000002,610000003147,
0.885774,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000003157,
0.500105,µm,Spine,Spine Part Mean Diameter,3,2,1,100000001,610000003163,
0.845304,µm,Spine,Spine Part Mean Diameter,2,1,1,100000001,610000003166,
0.914131,µm,Spine,Spine Part Mean Diameter,4,2,1,100000002,610000003171,
0.555556,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000003176,
0.491584,µm,Spine,Spine Part Mean Diameter,3,2,1,100000001,610000003182,
0.896953,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000003190,
0.885947,µm,Spine,Spine Part Mean Diameter,4,2,1,100000002,610000003196,
0.740553,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000003199,
1.97402,µm,Spine,Spine Part Mean Diameter,4,3,1,100000001,610000003202,
0.879536,µm,Spine,Spine Part Mean Diameter,1,1,1,100000001,610000003204,
0.416667,µm,Spine,Spine Part Mean Diameter,4,2,1,100000002,610000003210,
1.31662,µm,Spine,Spine Part Mean Diameter,3,3,1,100000001,610000003213,
0.643723,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000003219,
0.618154,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000003222,
0.646837,µm,Spine,Spine Part Mean Diameter,4,2,1,100000002,610000003226,
1.14474,µm,Spine,Spine Part Mean Diameter,4,2,1,100000002,610000003230,
0.87443,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000003234,
1.17638,µm,Spine,Spine Part Mean Diameter,7,4,1,100000001,610000003237,
