
Soma Sphericity
 ==================== 
Soma Sphericity,Unit,Category,Time,FilamentID,ID,
0.813256,,Soma,1,100000000,800000000,
0.858938,,Soma,1,100000001,800000001,
0.938662,,Soma,1,100000002,800000002,
