
Segment Intensity StdDev Ch=1 Img=1
 ==================== 
Segment Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
26.4366,,Segment,1,7,Image 1,3,1,100000001,510000001733,
47.768,,Segment,1,6,Image 1,3,1,100000001,510000001745,
42.701,,Segment,1,5,Image 1,4,1,100000001,510000001748,
45.0327,,Segment,1,4,Image 1,3,1,100000001,510000001757,
52.2126,,Segment,1,5,Image 1,3,1,100000001,510000001759,
28.6312,,Segment,1,4,Image 1,2,1,100000001,510000001765,
49.0906,,Segment,1,5,Image 1,3,1,100000001,510000001767,
35.4496,,Segment,1,5,Image 1,3,1,100000001,510000001772,
38.0826,,Segment,1,1,Image 1,2,1,100000001,510000001776,
46.4726,,Segment,1,2,Image 1,1,1,100000000,510000001786,
39.9141,,Segment,1,1,Image 1,2,1,100000000,510000001788,
29.4006,,Segment,1,5,Image 1,3,1,100000000,510000001795,
33.817,,Segment,1,4,Image 1,2,1,100000000,510000001797,
49.0874,,Segment,1,3,Image 1,3,1,100000000,510000001799,
26.7794,,Segment,1,1,Image 1,2,1,100000002,510000001844,
25.6091,,Segment,1,0,Image 1,1,1,100000002,510000001879,
21.8853,,Segment,1,4,Image 1,2,1,100000001,510000001894,
37.5988,,Segment,1,3,Image 1,2,1,100000001,510000001920,
40.6799,,Segment,1,2,Image 1,1,1,100000001,510000001928,
45.2669,,Segment,1,1,Image 1,1,1,100000001,510000001946,
34.4307,,Segment,1,0,Image 1,1,1,100000001,510000001973,
40.0344,,Segment,1,5,Image 1,2,1,100000000,510000002017,
38.9911,,Segment,1,4,Image 1,1,1,100000000,510000002019,
43.3262,,Segment,1,3,Image 1,1,1,100000000,510000002029,
42.6313,,Segment,1,2,Image 1,1,1,100000000,510000002031,
32.4679,,Segment,1,5,Image 1,1,1,100000000,510000002034,
27.8588,,Segment,1,4,Image 1,2,1,100000000,510000002037,
46.8314,,Segment,1,3,Image 1,2,1,100000000,510000002045,
35.0553,,Segment,1,1,Image 1,2,1,100000000,510000002050,
34.4221,,Segment,1,1,Image 1,1,1,100000000,510000002061,
28.928,,Segment,1,0,Image 1,1,1,100000000,510000002076,
35.9812,,Segment,1,5,Image 1,2,1,100000001,510000002103,
28.1273,,Segment,1,4,Image 1,1,1,100000001,510000002128,
38.3674,,Segment,1,3,Image 1,1,1,100000001,510000002149,
27.4102,,Segment,1,6,Image 1,2,1,100000001,510000002159,
22.3122,,Segment,1,5,Image 1,1,1,100000001,510000002176,
25.6464,,Segment,1,6,Image 1,1,1,100000001,510000002187,
39.636,,Segment,1,3,Image 1,2,1,100000001,510000002203,
46.997,,Segment,1,2,Image 1,2,1,100000001,510000002219,
28.1298,,Segment,1,4,Image 1,3,1,100000001,510000002221,
36.7998,,Segment,1,4,Image 1,2,1,100000001,510000002226,
38.8714,,Segment,1,3,Image 1,3,1,100000001,510000002230,
24.6144,,Segment,1,1,Image 1,2,1,100000001,510000002234,
39.7377,,Segment,1,1,Image 1,2,1,100000000,510000002236,
40.9642,,Segment,1,1,Image 1,1,1,100000001,510000002247,
42.0731,,Segment,1,7,Image 1,5,1,100000001,510000002265,
42.9177,,Segment,1,6,Image 1,4,1,100000001,510000002287,
41.1594,,Segment,1,7,Image 1,4,1,100000001,510000002343,
27.5777,,Segment,1,10,Image 1,5,1,100000001,510000002363,
43.426,,Segment,1,9,Image 1,4,1,100000001,510000002371,
50.6521,,Segment,1,10,Image 1,4,1,100000001,510000002380,
37.7113,,Segment,1,8,Image 1,4,1,100000001,510000002388,
36.6157,,Segment,1,7,Image 1,4,1,100000001,510000002396,
43.8419,,Segment,1,5,Image 1,4,1,100000001,510000002419,
40.0437,,Segment,1,4,Image 1,1,1,100000002,510000002447,
30.9212,,Segment,1,1,Image 1,1,1,100000000,510000002470,
58.5641,,Segment,1,0,Image 1,1,1,100000000,510000002480,
20.4205,,Segment,1,2,Image 1,1,1,100000002,510000002501,
19.046,,Segment,1,1,Image 1,1,1,100000002,510000002509,
13.4625,,Segment,1,2,Image 1,2,1,100000002,510000002518,
13.0473,,Segment,1,0,Image 1,1,1,100000002,510000002530,
37.7981,,Segment,1,0,Image 1,1,1,100000000,510000002543,
42.4945,,Segment,1,1,Image 1,2,1,100000000,510000002545,
36.7762,,Segment,1,4,Image 1,3,1,100000001,510000002581,
42.0468,,Segment,1,3,Image 1,2,1,100000001,510000002586,
32.3644,,Segment,1,4,Image 1,4,1,100000001,510000002615,
36.7004,,Segment,1,4,Image 1,2,1,100000002,510000002619,
41.2875,,Segment,1,1,Image 1,1,1,100000001,510000002649,
31.9936,,Segment,1,2,Image 1,3,1,100000002,510000002658,
34.0547,,Segment,1,1,Image 1,2,1,100000002,510000002663,
29.5476,,Segment,1,3,Image 1,3,1,100000001,510000002668,
36.0493,,Segment,1,2,Image 1,3,1,100000001,510000002675,
42.2962,,Segment,1,3,Image 1,4,1,100000001,510000002678,
35.9729,,Segment,1,2,Image 1,2,1,100000002,510000002681,
34.1374,,Segment,1,0,Image 1,1,1,100000000,510000002711,
30.8033,,Segment,1,2,Image 1,1,1,100000000,510000002714,
52.0931,,Segment,1,1,Image 1,1,1,100000000,510000002717,
33.5588,,Segment,1,0,Image 1,1,1,100000000,510000002732,
29.4628,,Segment,1,2,Image 1,2,1,100000000,510000002734,
39.2861,,Segment,1,0,Image 1,1,1,100000001,510000002741,
37.4735,,Segment,1,0,Image 1,1,1,100000000,510000002749,
38.6908,,Segment,1,0,Image 1,1,1,100000001,510000002758,
25.9437,,Segment,1,0,Image 1,1,1,100000002,510000002767,
31.9869,,Segment,1,0,Image 1,1,1,100000000,510000002772,
