
Cumulative Volume Inside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Inside,Unit,Collection,Image,Time,ID,
-12.972,21.1389,µm^3,Cumulative Volume Inside,Image 1,1,,
-12.42,84.2917,µm^3,Cumulative Volume Inside,Image 1,1,,
-11.868,217.736,µm^3,Cumulative Volume Inside,Image 1,1,,
-11.316,438.292,µm^3,Cumulative Volume Inside,Image 1,1,,
-10.764,760.389,µm^3,Cumulative Volume Inside,Image 1,1,,
-10.212,1151.92,µm^3,Cumulative Volume Inside,Image 1,1,,
-9.66,1633.89,µm^3,Cumulative Volume Inside,Image 1,1,,
-9.108,2244.93,µm^3,Cumulative Volume Inside,Image 1,1,,
-8.556,3010.74,µm^3,Cumulative Volume Inside,Image 1,1,,
-8.004,3953.25,µm^3,Cumulative Volume Inside,Image 1,1,,
-7.452,5087.58,µm^3,Cumulative Volume Inside,Image 1,1,,
-6.9,6440.33,µm^3,Cumulative Volume Inside,Image 1,1,,
-6.348,8040.42,µm^3,Cumulative Volume Inside,Image 1,1,,
-5.796,9961.21,µm^3,Cumulative Volume Inside,Image 1,1,,
-5.244,12262.6,µm^3,Cumulative Volume Inside,Image 1,1,,
-4.692,14801.1,µm^3,Cumulative Volume Inside,Image 1,1,,
-4.14,17628.1,µm^3,Cumulative Volume Inside,Image 1,1,,
-3.588,20792.6,µm^3,Cumulative Volume Inside,Image 1,1,,
-3.036,24308.7,µm^3,Cumulative Volume Inside,Image 1,1,,
-2.484,28262,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.932,32624.3,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.38,37385.3,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.827999,42424.3,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.276,47699.5,µm^3,Cumulative Volume Inside,Image 1,1,,
