
Soma Ellipsoid Axis Length B
 ==================== 
Soma Ellipsoid Axis Length B,Unit,Category,Time,FilamentID,ID,
3.55701,µm,Soma,1,100000000,800000000,
3.81017,µm,Soma,1,100000001,800000001,
4.18468,µm,Soma,1,100000002,800000002,
