
Soma Intensity Median Ch=3 Img=1
 ==================== 
Soma Intensity Median,Unit,Category,Channel,Image,Time,FilamentID,ID,
94.0625,,Soma,3,Image 1,1,100000000,800000000,
93.0625,,Soma,3,Image 1,1,100000001,800000001,
68.0625,,Soma,3,Image 1,1,100000002,800000002,
