
Intensity Median Ch=5 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
0.0625,,Surface,5,Image 1,1,0,
0.0625,,Surface,5,Image 1,1,1,
0.03125,,Surface,5,Image 1,1,2,
