
Segment Position Y
 ==================== 
Segment Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
-23672.2,µm,Segment,Segment Position,6,7,1,100000000,510000000023,
-23672.3,µm,Segment,Segment Position,5,6,1,100000000,510000000083,
-23672.3,µm,Segment,Segment Position,4,5,1,100000000,510000000100,
-23665.1,µm,Segment,Segment Position,3,4,1,100000000,510000000174,
-23660.3,µm,Segment,Segment Position,2,3,1,100000000,510000000214,
-23662.4,µm,Segment,Segment Position,1,2,1,100000000,510000000236,
-23664,µm,Segment,Segment Position,0,1,1,100000000,510000000239,
-23673.5,µm,Segment,Segment Position,6,6,1,100000000,510000000262,
-23672.1,µm,Segment,Segment Position,8,6,1,100000000,510000000274,
-23670.7,µm,Segment,Segment Position,7,5,1,100000000,510000000314,
-23669.3,µm,Segment,Segment Position,6,5,1,100000000,510000000317,
-23670.3,µm,Segment,Segment Position,5,5,1,100000000,510000000324,
-23672.6,µm,Segment,Segment Position,8,5,1,100000000,510000000329,
-23659.9,µm,Segment,Segment Position,4,2,1,100000000,510000000331,
-23659.4,µm,Segment,Segment Position,3,2,1,100000000,510000000340,
-23659.7,µm,Segment,Segment Position,2,2,1,100000000,510000000348,
-23664,µm,Segment,Segment Position,1,2,1,100000000,510000000388,
-23668.9,µm,Segment,Segment Position,0,1,1,100000000,510000000418,
-23658.9,µm,Segment,Segment Position,3,3,1,100000000,510000000439,
-23660.3,µm,Segment,Segment Position,2,3,1,100000000,510000000444,
-23668,µm,Segment,Segment Position,1,1,1,100000000,510000000463,
-23612.8,µm,Segment,Segment Position,12,4,1,100000001,510000000491,
-23607.9,µm,Segment,Segment Position,11,3,1,100000001,510000000533,
-23603.7,µm,Segment,Segment Position,10,3,1,100000001,510000000538,
-23603,µm,Segment,Segment Position,9,3,1,100000001,510000000542,
-23603,µm,Segment,Segment Position,8,3,1,100000001,510000000552,
-23603.1,µm,Segment,Segment Position,7,3,1,100000001,510000000554,
-23602.9,µm,Segment,Segment Position,6,3,1,100000001,510000000557,
-23601.1,µm,Segment,Segment Position,5,3,1,100000001,510000000576,
-23600.9,µm,Segment,Segment Position,4,3,1,100000001,510000000599,
-23601.6,µm,Segment,Segment Position,3,3,1,100000001,510000000602,
-23601.1,µm,Segment,Segment Position,2,2,1,100000001,510000000606,
-23600,µm,Segment,Segment Position,0,1,1,100000001,510000000623,
-23637.4,µm,Segment,Segment Position,2,2,1,100000002,510000000671,
-23638.6,µm,Segment,Segment Position,1,1,1,100000002,510000000679,
-23637.8,µm,Segment,Segment Position,0,1,1,100000002,510000000700,
-23669.1,µm,Segment,Segment Position,6,6,1,100000000,510000000703,
-23672.1,µm,Segment,Segment Position,2,2,1,100000000,510000000741,
-23667.6,µm,Segment,Segment Position,1,1,1,100000000,510000000761,
-23667.6,µm,Segment,Segment Position,0,1,1,100000000,510000000770,
-23640,µm,Segment,Segment Position,1,2,1,100000002,510000000817,
-23639.5,µm,Segment,Segment Position,0,1,1,100000002,510000000847,
-23591.3,µm,Segment,Segment Position,3,3,1,100000001,510000000859,
-23590.7,µm,Segment,Segment Position,2,2,1,100000001,510000000876,
