
Segment Position
 ==================== 
Segment Position X,Segment Position Y,Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
157.673,20785,1389.97,µm,Segment,Segment Position,10,2,1,100000000,510000001151,
191.412,20815,1390.22,µm,Segment,Segment Position,10,2,1,100000003,510000001600,
186.113,20810,1388.85,µm,Segment,Segment Position,10,2,1,100000003,510000002655,
154.534,20785.2,1388.72,µm,Segment,Segment Position,10,2,1,100000000,510000002674,
160.58,20808.9,1388.69,µm,Segment,Segment Position,10,2,1,100000001,510000006571,
160.333,20809.2,1388.55,µm,Segment,Segment Position,10,3,1,100000001,510000000460,
185.884,20810,1389.16,µm,Segment,Segment Position,10,3,1,100000003,510000001259,
151.834,20785.2,1388.69,µm,Segment,Segment Position,10,3,1,100000000,510000001536,
164.855,20788.3,1389.38,µm,Segment,Segment Position,10,3,1,100000000,510000002124,
190.598,20815,1390.58,µm,Segment,Segment Position,10,3,1,100000003,510000002176,
188.579,20811.2,1389.07,µm,Segment,Segment Position,10,3,1,100000003,510000002938,
187.768,20806.5,1388.86,µm,Segment,Segment Position,10,3,1,100000003,510000003194,
154.249,20785.2,1388.59,µm,Segment,Segment Position,10,3,1,100000000,510000003649,
157.565,20784.9,1389.7,µm,Segment,Segment Position,10,3,1,100000000,510000005097,
152.201,20784,1388.09,µm,Segment,Segment Position,10,4,1,100000000,510000000044,
155.581,20811.2,1390.94,µm,Segment,Segment Position,10,4,1,100000001,510000001778,
167.158,20787,1389.75,µm,Segment,Segment Position,10,4,1,100000000,510000001923,
160.07,20824.9,1391.29,µm,Segment,Segment Position,10,4,1,100000002,510000003116,
188.665,20810.3,1389,µm,Segment,Segment Position,10,4,1,100000003,510000004329,
164.916,20788,1389.44,µm,Segment,Segment Position,10,4,1,100000000,510000005671,
187.793,20806.6,1388.87,µm,Segment,Segment Position,10,4,1,100000003,510000006595,
154.519,20811.2,1391.13,µm,Segment,Segment Position,10,5,1,100000001,510000002027,
160.342,20824.8,1391.25,µm,Segment,Segment Position,10,5,1,100000002,510000003179,
160.059,20825.2,1390.43,µm,Segment,Segment Position,10,5,1,100000002,510000003908,
166.999,20787.1,1389.52,µm,Segment,Segment Position,10,5,1,100000000,510000005106,
159.592,20825.4,1390.68,µm,Segment,Segment Position,10,6,1,100000002,510000002777,
150.298,20808.9,1389.87,µm,Segment,Segment Position,10,6,1,100000001,510000003445,
150.065,20809,1389.54,µm,Segment,Segment Position,10,7,1,100000001,510000003659,
157.539,20785.7,1389.86,µm,Segment,Segment Position,11,2,1,100000000,510000001148,
160.202,20808.9,1389.15,µm,Segment,Segment Position,11,2,1,100000001,510000002316,
185.022,20810.8,1388.19,µm,Segment,Segment Position,11,2,1,100000003,510000002650,
154.587,20785.7,1388.41,µm,Segment,Segment Position,11,2,1,100000000,510000003143,
192.411,20815.2,1389.92,µm,Segment,Segment Position,11,2,1,100000003,510000006597,
160.277,20810.2,1388.29,µm,Segment,Segment Position,11,3,1,100000001,510000000453,
185.377,20810.7,1389.11,µm,Segment,Segment Position,11,3,1,100000003,510000001250,
165.246,20789.7,1389.28,µm,Segment,Segment Position,11,3,1,100000000,510000002114,
192.15,20816,1389.67,µm,Segment,Segment Position,11,3,1,100000003,510000002567,
160.373,20809.1,1388.84,µm,Segment,Segment Position,11,3,1,100000001,510000002597,
155.137,20785.3,1388.92,µm,Segment,Segment Position,11,3,1,100000000,510000002670,
188.891,20813,1389.2,µm,Segment,Segment Position,11,3,1,100000003,510000002915,
185.772,20810,1388.42,µm,Segment,Segment Position,11,3,1,100000003,510000003175,
191.062,20815.5,1390.7,µm,Segment,Segment Position,11,3,1,100000003,510000003247,
187.514,20806.1,1389.11,µm,Segment,Segment Position,11,3,1,100000003,510000003845,
157.135,20785.3,1390.27,µm,Segment,Segment Position,11,3,1,100000000,510000003973,
150.356,20786,1388.81,µm,Segment,Segment Position,11,3,1,100000000,510000006552,
150.894,20783.5,1387.88,µm,Segment,Segment Position,11,4,1,100000000,510000000155,
156.067,20811.8,1391.07,µm,Segment,Segment Position,11,4,1,100000001,510000001769,
167.896,20787,1389.94,µm,Segment,Segment Position,11,4,1,100000000,510000001914,
189.898,20816.2,1391.17,µm,Segment,Segment Position,11,4,1,100000003,510000002170,
149.987,20785.6,1388.61,µm,Segment,Segment Position,11,4,1,100000000,510000002245,
159.928,20809.7,1388.38,µm,Segment,Segment Position,11,4,1,100000001,510000002329,
164.083,20788.7,1389.45,µm,Segment,Segment Position,11,4,1,100000000,510000002723,
187.366,20806.1,1388.8,µm,Segment,Segment Position,11,4,1,100000003,510000003191,
185.291,20810.1,1389.35,µm,Segment,Segment Position,11,4,1,100000003,510000003277,
188.076,20812.6,1388.21,µm,Segment,Segment Position,11,4,1,100000003,510000003576,
188.107,20806.2,1388.45,µm,Segment,Segment Position,11,4,1,100000003,510000004257,
151.188,20783.2,1388.12,µm,Segment,Segment Position,11,5,1,100000000,510000000015,
