
Spine Intensity Min Ch=2 Img=1
 ==================== 
Spine Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
12,,Spine,2,7,Image 1,3,1,100000001,610000007764,
8,,Spine,2,3,Image 1,1,1,100000001,610000007767,
8,,Spine,2,12,Image 1,3,1,100000003,610000007769,
9,,Spine,2,17,Image 1,5,1,100000000,610000007771,
7,,Spine,2,9,Image 1,2,1,100000001,610000007774,
27,,Spine,2,0,Image 1,1,1,100000003,610000007779,
7,,Spine,2,4,Image 1,3,1,100000002,610000007784,
18,,Spine,2,7,Image 1,5,1,100000002,610000007787,
8,,Spine,2,4,Image 1,2,1,100000002,610000007790,
8,,Spine,2,8,Image 1,2,1,100000001,610000007793,
15,,Spine,2,0,Image 1,1,1,100000003,610000007796,
6,,Spine,2,5,Image 1,4,1,100000001,610000007798,
8,,Spine,2,7,Image 1,3,1,100000002,610000007802,
18,,Spine,2,0,Image 1,1,1,100000002,610000007805,
14,,Spine,2,1,Image 1,2,1,100000002,610000007807,
13,,Spine,2,3,Image 1,3,1,100000002,610000007809,
9,,Spine,2,0,Image 1,1,1,100000002,610000007815,
5,,Spine,2,2,Image 1,1,1,100000002,610000007819,
10,,Spine,2,2,Image 1,2,1,100000000,610000007823,
3,,Spine,2,0,Image 1,1,1,100000003,610000007827,
24,,Spine,2,2,Image 1,2,1,100000000,610000007833,
22,,Spine,2,7,Image 1,3,1,100000001,610000007837,
10,,Spine,2,9,Image 1,5,1,100000001,610000007841,
5,,Spine,2,15,Image 1,3,1,100000000,610000007843,
3,,Spine,2,8,Image 1,2,1,100000001,610000007846,
5,,Spine,2,1,Image 1,1,1,100000002,610000007849,
7,,Spine,2,12,Image 1,3,1,100000000,610000007851,
2,,Spine,2,3,Image 1,1,1,100000001,610000007854,
18,,Spine,2,7,Image 1,2,1,100000003,610000007858,
11,,Spine,2,7,Image 1,6,1,100000002,610000007860,
25,,Spine,2,14,Image 1,4,1,100000001,610000007863,
6,,Spine,2,1,Image 1,2,1,100000001,610000007865,
9,,Spine,2,0,Image 1,1,1,100000001,610000007868,
5,,Spine,2,5,Image 1,4,1,100000003,610000007871,
3,,Spine,2,9,Image 1,5,1,100000001,610000007873,
6,,Spine,2,0,Image 1,1,1,100000002,610000007876,
8,,Spine,2,1,Image 1,1,1,100000002,610000007879,
10,,Spine,2,13,Image 1,4,1,100000000,610000007882,
10,,Spine,2,9,Image 1,3,1,100000003,610000007884,
10,,Spine,2,9,Image 1,2,1,100000003,610000007887,
10,,Spine,2,0,Image 1,1,1,100000001,610000007889,
5,,Spine,2,3,Image 1,3,1,100000001,610000007891,
3,,Spine,2,2,Image 1,2,1,100000002,610000007893,
18,,Spine,2,0,Image 1,1,1,100000002,610000007896,
9,,Spine,2,7,Image 1,4,1,100000001,610000007899,
3,,Spine,2,11,Image 1,3,1,100000003,610000007901,
36,,Spine,2,0,Image 1,1,1,100000001,610000007904,
20,,Spine,2,4,Image 1,3,1,100000000,610000007906,
8,,Spine,2,5,Image 1,3,1,100000002,610000007910,
7,,Spine,2,5,Image 1,2,1,100000001,610000007913,
14,,Spine,2,5,Image 1,2,1,100000001,610000007916,
15,,Spine,2,3,Image 1,2,1,100000000,610000007918,
23,,Spine,2,0,Image 1,1,1,100000002,610000007923,
47,,Spine,2,0,Image 1,1,1,100000001,610000007928,
19,,Spine,2,4,Image 1,1,1,100000001,610000007932,
10,,Spine,2,0,Image 1,1,1,100000003,610000007935,
7,,Spine,2,13,Image 1,4,1,100000003,610000007938,
6,,Spine,2,14,Image 1,6,1,100000000,610000007942,
11,,Spine,2,5,Image 1,2,1,100000001,610000007945,
13,,Spine,2,8,Image 1,2,1,100000001,610000007947,
7,,Spine,2,0,Image 1,1,1,100000002,610000007951,
8,,Spine,2,4,Image 1,2,1,100000002,610000007953,
2,,Spine,2,6,Image 1,1,1,100000003,610000007956,
9,,Spine,2,3,Image 1,1,1,100000000,610000007958,
24,,Spine,2,4,Image 1,2,1,100000002,610000007961,
21,,Spine,2,14,Image 1,4,1,100000001,610000007963,
11,,Spine,2,5,Image 1,3,1,100000003,610000007966,
7,,Spine,2,2,Image 1,2,1,100000003,610000007969,
11,,Spine,2,0,Image 1,1,1,100000003,610000007972,
7,,Spine,2,0,Image 1,1,1,100000002,610000007974,
17,,Spine,2,1,Image 1,1,1,100000001,610000007979,
11,,Spine,2,3,Image 1,2,1,100000001,610000007981,
4,,Spine,2,6,Image 1,2,1,100000001,610000007985,
1,,Spine,2,0,Image 1,1,1,100000001,610000007988,
3,,Spine,2,5,Image 1,2,1,100000000,610000007991,
16,,Spine,2,3,Image 1,2,1,100000000,610000007993,
5,,Spine,2,5,Image 1,2,1,100000001,610000007995,
11,,Spine,2,0,Image 1,1,1,100000001,610000007997,
8,,Spine,2,3,Image 1,2,1,100000001,610000008000,
20,,Spine,2,0,Image 1,1,1,100000002,610000008003,
8,,Spine,2,1,Image 1,1,1,100000002,610000008006,
19,,Spine,2,0,Image 1,1,1,100000003,610000008012,
2,,Spine,2,4,Image 1,2,1,100000003,610000008015,
6,,Spine,2,0,Image 1,1,1,100000003,610000008020,
8,,Spine,2,2,Image 1,2,1,100000002,610000008024,
10,,Spine,2,17,Image 1,6,1,100000000,610000008029,
9,,Spine,2,6,Image 1,2,1,100000001,610000008031,
12,,Spine,2,3,Image 1,2,1,100000001,610000008034,
34,,Spine,2,7,Image 1,3,1,100000001,610000008038,
17,,Spine,2,0,Image 1,1,1,100000002,610000008040,
7,,Spine,2,0,Image 1,1,1,100000002,610000008046,
16,,Spine,2,11,Image 1,3,1,100000003,610000008049,
8,,Spine,2,2,Image 1,2,1,100000000,610000008051,
10,,Spine,2,7,Image 1,4,1,100000001,610000008054,
15,,Spine,2,17,Image 1,6,1,100000000,610000008058,
5,,Spine,2,0,Image 1,1,1,100000001,610000008060,
5,,Spine,2,6,Image 1,2,1,100000001,610000008064,
2,,Spine,2,3,Image 1,1,1,100000001,610000008066,
6,,Spine,2,10,Image 1,6,1,100000002,610000008068,
11,,Spine,2,2,Image 1,2,1,100000003,610000008072,
12,,Spine,2,10,Image 1,3,1,100000001,610000008076,
8,,Spine,2,4,Image 1,2,1,100000003,610000008078,
2,,Spine,2,7,Image 1,2,1,100000001,610000008080,
29,,Spine,2,0,Image 1,1,1,100000003,610000008086,
7,,Spine,2,2,Image 1,1,1,100000000,610000008089,
55,,Spine,2,0,Image 1,1,1,100000003,610000008092,
14,,Spine,2,3,Image 1,3,1,100000001,610000008094,
19,,Spine,2,0,Image 1,1,1,100000003,610000008096,
31,,Spine,2,0,Image 1,1,1,100000001,610000008100,
18,,Spine,2,0,Image 1,1,1,100000001,610000008102,
14,,Spine,2,0,Image 1,1,1,100000002,610000008105,
4,,Spine,2,0,Image 1,1,1,100000001,610000008110,
3,,Spine,2,9,Image 1,2,1,100000003,610000008113,
19,,Spine,2,3,Image 1,1,1,100000001,610000008115,
22,,Spine,2,1,Image 1,2,1,100000003,610000008117,
29,,Spine,2,0,Image 1,1,1,100000001,610000008120,
