
Filament No. Segment Terminal Pts
 ==================== 
Filament No. Segment Terminal Pts,Unit,Category,Time,ID,
85,,Filament,1,100000000,
108,,Filament,1,100000001,
52,,Filament,1,100000002,
72,,Filament,1,100000003,
