
Spine Neck Mean Diameter
 ==================== 
Spine Neck Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.25196,µm,Spine,13,2,1,100000003,610000007322,
0.2498,µm,Spine,7,3,1,100000001,610000007339,
0.235099,µm,Spine,13,2,1,100000003,610000007347,
0.237619,µm,Spine,5,3,1,100000003,610000007363,
0.236222,µm,Spine,3,1,1,100000001,610000007375,
0.21876,µm,Spine,13,2,1,100000003,610000007382,
0.263596,µm,Spine,3,1,1,100000001,610000007393,
0.24691,µm,Spine,7,3,1,100000001,610000007404,
0.259488,µm,Spine,14,4,1,100000001,610000007415,
0.248194,µm,Spine,5,3,1,100000003,610000007427,
0.231388,µm,Spine,10,5,1,100000001,610000007431,
0.244617,µm,Spine,6,3,1,100000001,610000007440,
0.256297,µm,Spine,3,1,1,100000001,610000007448,
0.264559,µm,Spine,9,2,1,100000003,610000007452,
0.230008,µm,Spine,15,4,1,100000001,610000007457,
0.214715,µm,Spine,2,1,1,100000002,610000007464,
0.401432,µm,Spine,10,3,1,100000000,610000007466,
0.219567,µm,Spine,11,2,1,100000003,610000007472,
0.476253,µm,Spine,5,3,1,100000001,610000007476,
0.325,µm,Spine,9,4,1,100000000,610000007478,
0.73125,µm,Spine,11,4,1,100000003,610000007480,
0.255877,µm,Spine,3,1,1,100000001,610000007487,
0.295357,µm,Spine,5,3,1,100000003,610000007494,
0.407549,µm,Spine,2,2,1,100000002,610000007499,
0.233436,µm,Spine,7,3,1,100000001,610000007501,
0.249867,µm,Spine,14,4,1,100000001,610000007506,
0.257611,µm,Spine,11,2,1,100000003,610000007510,
0.189152,µm,Spine,7,6,1,100000002,610000007513,
0.382739,µm,Spine,9,2,1,100000003,610000007518,
0.1625,µm,Spine,6,4,1,100000001,610000007520,
0.18245,µm,Spine,11,3,1,100000001,610000007524,
0.208434,µm,Spine,14,4,1,100000001,610000007531,
0.233594,µm,Spine,12,3,1,100000003,610000007534,
0.244409,µm,Spine,13,4,1,100000000,610000007538,
0.226161,µm,Spine,5,3,1,100000003,610000007543,
0.364271,µm,Spine,3,1,1,100000003,610000007546,
0.413069,µm,Spine,2,1,1,100000001,610000007549,
0.246152,µm,Spine,14,4,1,100000001,610000007555,
0.203125,µm,Spine,3,3,1,100000002,610000007558,
0.560693,µm,Spine,8,2,1,100000000,610000007561,
0.274219,µm,Spine,14,4,1,100000001,610000007565,
0.24375,µm,Spine,3,2,1,100000000,610000007567,
0.310603,µm,Spine,2,2,1,100000002,610000007571,
0.334982,µm,Spine,3,2,1,100000001,610000007576,
0.288405,µm,Spine,13,4,1,100000001,610000007580,
0.587498,µm,Spine,0,1,1,100000003,610000007592,
0.284375,µm,Spine,6,1,1,100000003,610000007596,
0.421057,µm,Spine,9,2,1,100000003,610000007600,
0.394879,µm,Spine,7,2,1,100000001,610000007604,
0.333122,µm,Spine,16,7,1,100000000,610000007607,
0.325,µm,Spine,3,3,1,100000003,610000007609,
0.19186,µm,Spine,5,3,1,100000003,610000007611,
0.4875,µm,Spine,0,1,1,100000002,610000007614,
0,µm,Spine,5,2,1,100000000,610000007617,
0.316331,µm,Spine,5,2,1,100000000,610000007622,
0.503937,µm,Spine,11,7,1,100000001,610000007625,
0.341286,µm,Spine,9,2,1,100000001,610000007627,
0,µm,Spine,9,2,1,100000000,610000007630,
0,µm,Spine,0,1,1,100000003,610000007636,
0.47859,µm,Spine,5,2,1,100000002,610000007639,
0.2798,µm,Spine,13,5,1,100000000,610000007642,
0.247874,µm,Spine,11,2,1,100000003,610000007644,
0.24375,µm,Spine,4,2,1,100000001,610000007650,
0,µm,Spine,6,4,1,100000003,610000007652,
0.225483,µm,Spine,12,3,1,100000000,610000007654,
0.430574,µm,Spine,2,2,1,100000003,610000007658,
