
Spine Attachment Pt Position Z
 ==================== 
Spine Attachment Pt Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1388.62,µm,Spine,Spine Attachment Pt Position,13,2,1,100000003,610000007382,
1388.08,µm,Spine,Spine Attachment Pt Position,3,1,1,100000001,610000007393,
1391.12,µm,Spine,Spine Attachment Pt Position,10,5,1,100000001,610000007431,
1390.42,µm,Spine,Spine Attachment Pt Position,9,2,1,100000003,610000007452,
1388.37,µm,Spine,Spine Attachment Pt Position,15,4,1,100000001,610000007457,
1389.49,µm,Spine,Spine Attachment Pt Position,10,3,1,100000000,610000007466,
1390.7,µm,Spine,Spine Attachment Pt Position,5,3,1,100000001,610000007476,
1390.26,µm,Spine,Spine Attachment Pt Position,9,4,1,100000000,610000007478,
1391.03,µm,Spine,Spine Attachment Pt Position,11,4,1,100000003,610000007480,
1389.52,µm,Spine,Spine Attachment Pt Position,7,3,1,100000001,610000007501,
1388.38,µm,Spine,Spine Attachment Pt Position,7,6,1,100000002,610000007513,
1389.67,µm,Spine,Spine Attachment Pt Position,6,4,1,100000001,610000007520,
1389.11,µm,Spine,Spine Attachment Pt Position,12,3,1,100000003,610000007534,
1389.88,µm,Spine,Spine Attachment Pt Position,13,4,1,100000000,610000007538,
1388.19,µm,Spine,Spine Attachment Pt Position,5,3,1,100000003,610000007543,
1390.71,µm,Spine,Spine Attachment Pt Position,3,1,1,100000003,610000007546,
1391.3,µm,Spine,Spine Attachment Pt Position,2,1,1,100000001,610000007549,
1391.55,µm,Spine,Spine Attachment Pt Position,3,2,1,100000000,610000007567,
1389.4,µm,Spine,Spine Attachment Pt Position,13,4,1,100000001,610000007580,
1389.12,µm,Spine,Spine Attachment Pt Position,9,2,1,100000003,610000007600,
1389.16,µm,Spine,Spine Attachment Pt Position,16,7,1,100000000,610000007607,
1390.37,µm,Spine,Spine Attachment Pt Position,3,3,1,100000003,610000007609,
1391.1,µm,Spine,Spine Attachment Pt Position,5,3,1,100000003,610000007611,
