
Segment Center Intensity Sum Ch=2 Img=1
 ==================== 
Segment Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
188,,Segment,2,11,Image 1,5,1,100000000,510000000015,
1256,,Segment,2,10,Image 1,4,1,100000000,510000000044,
445,,Segment,2,9,Image 1,3,1,100000000,510000000048,
503,,Segment,2,8,Image 1,3,1,100000000,510000000053,
2652,,Segment,2,7,Image 1,2,1,100000000,510000000081,
748,,Segment,2,6,Image 1,2,1,100000000,510000000089,
292,,Segment,2,5,Image 1,2,1,100000000,510000000092,
1211,,Segment,2,4,Image 1,2,1,100000000,510000000110,
382,,Segment,2,3,Image 1,1,1,100000000,510000000116,
244,,Segment,2,2,Image 1,1,1,100000000,510000000120,
356,,Segment,2,1,Image 1,1,1,100000000,510000000125,
331,,Segment,2,0,Image 1,1,1,100000000,510000000151,
195,,Segment,2,11,Image 1,4,1,100000000,510000000155,
243,,Segment,2,8,Image 1,6,1,100000002,510000000161,
784,,Segment,2,7,Image 1,6,1,100000002,510000000177,
985,,Segment,2,6,Image 1,5,1,100000002,510000000194,
2940,,Segment,2,5,Image 1,5,1,100000002,510000000235,
2687,,Segment,2,4,Image 1,4,1,100000002,510000000262,
3382,,Segment,2,3,Image 1,3,1,100000002,510000000300,
2129,,Segment,2,2,Image 1,2,1,100000002,510000000320,
1191,,Segment,2,1,Image 1,1,1,100000002,510000000333,
742,,Segment,2,0,Image 1,1,1,100000002,510000000340,
147,,Segment,2,8,Image 1,7,1,100000002,510000000365,
1070,,Segment,2,7,Image 1,5,1,100000002,510000000382,
1908,,Segment,2,14,Image 1,4,1,100000001,510000000420,
517,,Segment,2,13,Image 1,3,1,100000001,510000000426,
955,,Segment,2,12,Image 1,3,1,100000001,510000000438,
1129,,Segment,2,11,Image 1,3,1,100000001,510000000453,
622,,Segment,2,10,Image 1,3,1,100000001,510000000460,
2328,,Segment,2,9,Image 1,2,1,100000001,510000000485,
3535,,Segment,2,8,Image 1,2,1,100000001,510000000529,
2420,,Segment,2,7,Image 1,2,1,100000001,510000000553,
662,,Segment,2,6,Image 1,2,1,100000001,510000000565,
258,,Segment,2,5,Image 1,1,1,100000001,510000000567,
1157,,Segment,2,3,Image 1,1,1,100000001,510000000581,
2626,,Segment,2,2,Image 1,1,1,100000001,510000000603,
799,,Segment,2,1,Image 1,1,1,100000001,510000000609,
2014,,Segment,2,0,Image 1,1,1,100000001,510000000629,
1510,,Segment,2,6,Image 1,3,1,100000001,510000000681,
414,,Segment,2,5,Image 1,2,1,100000001,510000000686,
2974,,Segment,2,4,Image 1,2,1,100000001,510000000727,
317,,Segment,2,3,Image 1,1,1,100000001,510000000729,
615,,Segment,2,2,Image 1,1,1,100000001,510000000736,
427,,Segment,2,0,Image 1,1,1,100000001,510000000741,
767,,Segment,2,9,Image 1,5,1,100000001,510000000772,
643,,Segment,2,8,Image 1,4,1,100000001,510000000777,
757,,Segment,2,7,Image 1,3,1,100000001,510000000787,
772,,Segment,2,6,Image 1,2,1,100000001,510000000797,
1045,,Segment,2,5,Image 1,2,1,100000001,510000000807,
1732,,Segment,2,4,Image 1,2,1,100000001,510000000829,
1061,,Segment,2,3,Image 1,2,1,100000001,510000000839,
807,,Segment,2,2,Image 1,1,1,100000001,510000000845,
454,,Segment,2,1,Image 1,1,1,100000001,510000000848,
245,,Segment,2,0,Image 1,1,1,100000001,510000000854,
636,,Segment,2,9,Image 1,4,1,100000001,510000000875,
152,,Segment,2,8,Image 1,3,1,100000001,510000000877,
74,,Segment,2,6,Image 1,4,1,100000002,510000000881,
3817,,Segment,2,5,Image 1,3,1,100000002,510000000937,
482,,Segment,2,4,Image 1,3,1,100000002,510000000941,
579,,Segment,2,3,Image 1,3,1,100000002,510000000949,
1283,,Segment,2,2,Image 1,3,1,100000002,510000000969,
1484,,Segment,2,1,Image 1,2,1,100000002,510000000983,
4109,,Segment,2,0,Image 1,1,1,100000002,510000001037,
77,,Segment,2,8,Image 1,2,1,100000001,510000001057,
441,,Segment,2,7,Image 1,2,1,100000001,510000001062,
1733,,Segment,2,6,Image 1,2,1,100000001,510000001080,
842,,Segment,2,7,Image 1,3,1,100000001,510000001090,
262,,Segment,2,16,Image 1,5,1,100000000,510000001099,
675,,Segment,2,15,Image 1,4,1,100000000,510000001128,
178,,Segment,2,14,Image 1,3,1,100000000,510000001132,
198,,Segment,2,13,Image 1,3,1,100000000,510000001135,
834,,Segment,2,11,Image 1,2,1,100000000,510000001148,
395,,Segment,2,10,Image 1,2,1,100000000,510000001151,
338,,Segment,2,9,Image 1,2,1,100000000,510000001154,
125,,Segment,2,8,Image 1,2,1,100000000,510000001156,
110,,Segment,2,7,Image 1,2,1,100000000,510000001159,
179,,Segment,2,6,Image 1,2,1,100000000,510000001163,
369,,Segment,2,5,Image 1,1,1,100000000,510000001169,
880,,Segment,2,18,Image 1,7,1,100000001,510000001183,
261,,Segment,2,17,Image 1,6,1,100000001,510000001186,
515,,Segment,2,16,Image 1,5,1,100000001,510000001191,
1474,,Segment,2,15,Image 1,4,1,100000001,510000001208,
422,,Segment,2,14,Image 1,3,1,100000001,510000001214,
857,,Segment,2,13,Image 1,4,1,100000003,510000001232,
597,,Segment,2,12,Image 1,3,1,100000003,510000001238,
730,,Segment,2,11,Image 1,3,1,100000003,510000001250,
799,,Segment,2,10,Image 1,3,1,100000003,510000001259,
1768,,Segment,2,9,Image 1,2,1,100000003,510000001275,
1249,,Segment,2,8,Image 1,2,1,100000003,510000001284,
2924,,Segment,2,7,Image 1,2,1,100000003,510000001311,
790,,Segment,2,6,Image 1,2,1,100000003,510000001318,
2107,,Segment,2,5,Image 1,1,1,100000003,510000001339,
646,,Segment,2,4,Image 1,1,1,100000003,510000001343,
781,,Segment,2,3,Image 1,1,1,100000003,510000001351,
330,,Segment,2,2,Image 1,1,1,100000003,510000001353,
2422,,Segment,2,1,Image 1,1,1,100000003,510000001374,
1353,,Segment,2,0,Image 1,1,1,100000003,510000001402,
1240,,Segment,2,18,Image 1,6,1,100000001,510000001423,
181,,Segment,2,5,Image 1,3,1,100000001,510000001426,
3744,,Segment,2,13,Image 1,4,1,100000000,510000001477,
1668,,Segment,2,12,Image 1,3,1,100000000,510000001497,
2853,,Segment,2,10,Image 1,3,1,100000000,510000001536,
415,,Segment,2,16,Image 1,4,1,100000001,510000001541,
192,,Segment,2,15,Image 1,3,1,100000001,510000001545,
888,,Segment,2,17,Image 1,6,1,100000003,510000001561,
412,,Segment,2,16,Image 1,5,1,100000003,510000001567,
646,,Segment,2,14,Image 1,4,1,100000003,510000001575,
275,,Segment,2,13,Image 1,3,1,100000003,510000001577,
267,,Segment,2,12,Image 1,3,1,100000003,510000001579,
1727,,Segment,2,10,Image 1,2,1,100000003,510000001600,
2827,,Segment,2,9,Image 1,2,1,100000003,510000001631,
763,,Segment,2,7,Image 1,2,1,100000003,510000001642,
3405,,Segment,2,6,Image 1,1,1,100000003,510000001676,
624,,Segment,2,17,Image 1,4,1,100000000,510000001692,
340,,Segment,2,16,Image 1,3,1,100000000,510000001698,
692,,Segment,2,15,Image 1,3,1,100000000,510000001711,
1147,,Segment,2,13,Image 1,4,1,100000001,510000001728,
465,,Segment,2,13,Image 1,3,1,100000003,510000001731,
439,,Segment,2,12,Image 1,4,1,100000003,510000001737,
1802,,Segment,2,12,Image 1,4,1,100000001,510000001761,
323,,Segment,2,11,Image 1,4,1,100000001,510000001769,
621,,Segment,2,10,Image 1,4,1,100000001,510000001778,
203,,Segment,2,9,Image 1,4,1,100000001,510000001783,
820,,Segment,2,8,Image 1,4,1,100000001,510000001800,
1480,,Segment,2,7,Image 1,3,1,100000001,510000001822,
780,,Segment,2,6,Image 1,2,1,100000001,510000001834,
875,,Segment,2,5,Image 1,2,1,100000001,510000001845,
316,,Segment,2,4,Image 1,2,1,100000001,510000001848,
