
Spine Attachment Pt Distance from Origin
 ==================== 
Spine Attachment Pt Distance from Origin,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
20859.1,µm,Spine,Spine Attachment Pt Distance from Origin,13,2,1,100000003,610000007382,
20846.6,µm,Spine,Spine Attachment Pt Distance from Origin,3,1,1,100000001,610000007393,
20858.5,µm,Spine,Spine Attachment Pt Distance from Origin,10,5,1,100000001,610000007431,
20861.2,µm,Spine,Spine Attachment Pt Distance from Origin,9,2,1,100000003,610000007452,
20860.3,µm,Spine,Spine Attachment Pt Distance from Origin,15,4,1,100000001,610000007457,
20831.8,µm,Spine,Spine Attachment Pt Distance from Origin,10,3,1,100000000,610000007466,
20854.2,µm,Spine,Spine Attachment Pt Distance from Origin,5,3,1,100000001,610000007476,
20830.9,µm,Spine,Spine Attachment Pt Distance from Origin,9,4,1,100000000,610000007478,
20863.3,µm,Spine,Spine Attachment Pt Distance from Origin,11,4,1,100000003,610000007480,
20852.9,µm,Spine,Spine Attachment Pt Distance from Origin,7,3,1,100000001,610000007501,
20867.9,µm,Spine,Spine Attachment Pt Distance from Origin,7,6,1,100000002,610000007513,
20843.5,µm,Spine,Spine Attachment Pt Distance from Origin,6,4,1,100000001,610000007520,
20858.8,µm,Spine,Spine Attachment Pt Distance from Origin,12,3,1,100000003,610000007534,
20835.8,µm,Spine,Spine Attachment Pt Distance from Origin,13,4,1,100000000,610000007538,
20849.6,µm,Spine,Spine Attachment Pt Distance from Origin,5,3,1,100000003,610000007543,
20853.5,µm,Spine,Spine Attachment Pt Distance from Origin,3,1,1,100000003,610000007546,
20847.4,µm,Spine,Spine Attachment Pt Distance from Origin,2,1,1,100000001,610000007549,
20834.2,µm,Spine,Spine Attachment Pt Distance from Origin,3,2,1,100000000,610000007567,
20858.4,µm,Spine,Spine Attachment Pt Distance from Origin,13,4,1,100000001,610000007580,
20857.1,µm,Spine,Spine Attachment Pt Distance from Origin,9,2,1,100000003,610000007600,
20833.9,µm,Spine,Spine Attachment Pt Distance from Origin,16,7,1,100000000,610000007607,
20844.2,µm,Spine,Spine Attachment Pt Distance from Origin,3,3,1,100000003,610000007609,
20845.1,µm,Spine,Spine Attachment Pt Distance from Origin,5,3,1,100000003,610000007611,
20861.3,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000002,610000007614,
20829.2,µm,Spine,Spine Attachment Pt Distance from Origin,5,2,1,100000000,610000007617,
20855.8,µm,Spine,Spine Attachment Pt Distance from Origin,11,7,1,100000001,610000007625,
20855.6,µm,Spine,Spine Attachment Pt Distance from Origin,9,2,1,100000001,610000007627,
20839.2,µm,Spine,Spine Attachment Pt Distance from Origin,13,5,1,100000000,610000007642,
20857.7,µm,Spine,Spine Attachment Pt Distance from Origin,11,2,1,100000003,610000007644,
20844.4,µm,Spine,Spine Attachment Pt Distance from Origin,4,2,1,100000001,610000007650,
20845.3,µm,Spine,Spine Attachment Pt Distance from Origin,6,4,1,100000003,610000007652,
20833.7,µm,Spine,Spine Attachment Pt Distance from Origin,12,3,1,100000000,610000007654,
20850.5,µm,Spine,Spine Attachment Pt Distance from Origin,2,2,1,100000003,610000007658,
20860.4,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000002,610000007667,
20833.7,µm,Spine,Spine Attachment Pt Distance from Origin,5,4,1,100000000,610000007670,
20849.7,µm,Spine,Spine Attachment Pt Distance from Origin,5,3,1,100000003,610000007674,
20833,µm,Spine,Spine Attachment Pt Distance from Origin,5,2,1,100000000,610000007691,
20847.4,µm,Spine,Spine Attachment Pt Distance from Origin,3,1,1,100000001,610000007698,
20841.5,µm,Spine,Spine Attachment Pt Distance from Origin,4,3,1,100000001,610000007700,
20859.2,µm,Spine,Spine Attachment Pt Distance from Origin,2,3,1,100000002,610000007702,
20862,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000002,610000007704,
20854.6,µm,Spine,Spine Attachment Pt Distance from Origin,3,1,1,100000003,610000007708,
20853,µm,Spine,Spine Attachment Pt Distance from Origin,5,2,1,100000001,610000007711,
20860.6,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000002,610000007713,
20850.7,µm,Spine,Spine Attachment Pt Distance from Origin,4,2,1,100000002,610000007715,
20838.8,µm,Spine,Spine Attachment Pt Distance from Origin,16,6,1,100000000,610000007717,
20851.6,µm,Spine,Spine Attachment Pt Distance from Origin,7,2,1,100000001,610000007719,
20829.6,µm,Spine,Spine Attachment Pt Distance from Origin,1,2,1,100000000,610000007721,
20851.1,µm,Spine,Spine Attachment Pt Distance from Origin,7,2,1,100000001,610000007725,
20850.3,µm,Spine,Spine Attachment Pt Distance from Origin,1,2,1,100000003,610000007728,
20855.1,µm,Spine,Spine Attachment Pt Distance from Origin,3,2,1,100000002,610000007732,
20858.3,µm,Spine,Spine Attachment Pt Distance from Origin,12,4,1,100000001,610000007735,
20841.1,µm,Spine,Spine Attachment Pt Distance from Origin,5,3,1,100000001,610000007737,
20853.3,µm,Spine,Spine Attachment Pt Distance from Origin,3,1,1,100000003,610000007739,
20843.4,µm,Spine,Spine Attachment Pt Distance from Origin,2,2,1,100000001,610000007741,
20845,µm,Spine,Spine Attachment Pt Distance from Origin,6,3,1,100000001,610000007744,
20851.8,µm,Spine,Spine Attachment Pt Distance from Origin,3,2,1,100000001,610000007746,
20871.7,µm,Spine,Spine Attachment Pt Distance from Origin,8,4,1,100000002,610000007748,
