
Soma Center of Image Mass Z
 ==================== 
Soma Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
1390.15,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1390.14,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1390.15,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1390.14,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1390.15,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1390.65,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1390.59,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1390.6,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1390.59,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1390.6,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1390.76,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1390.68,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1391.02,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1390.68,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1391.02,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1391.18,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000003,800000003,
1391.2,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000003,800000003,
1391.05,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000003,800000003,
1391.2,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000003,800000003,
1391.07,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000003,800000003,
