
Spine Terminal Pt Intensity Center Ch=4 Img=1
 ==================== 
Spine Terminal Pt Intensity Center,Unit,Category,Channel,Depth,Image,Time,FilamentID,ID,
45,,Spine,4,13,Image 1,1,100000003,610000007322,
78,,Spine,4,7,Image 1,1,100000001,610000007339,
101,,Spine,4,13,Image 1,1,100000003,610000007347,
52,,Spine,4,5,Image 1,1,100000003,610000007363,
49,,Spine,4,3,Image 1,1,100000001,610000007375,
90,,Spine,4,13,Image 1,1,100000003,610000007382,
55,,Spine,4,3,Image 1,1,100000001,610000007393,
121,,Spine,4,7,Image 1,1,100000001,610000007404,
96,,Spine,4,14,Image 1,1,100000001,610000007415,
136,,Spine,4,5,Image 1,1,100000003,610000007427,
91,,Spine,4,10,Image 1,1,100000001,610000007431,
101,,Spine,4,6,Image 1,1,100000001,610000007440,
58,,Spine,4,3,Image 1,1,100000001,610000007448,
67,,Spine,4,9,Image 1,1,100000003,610000007452,
53,,Spine,4,15,Image 1,1,100000001,610000007457,
57,,Spine,4,2,Image 1,1,100000002,610000007464,
36,,Spine,4,10,Image 1,1,100000000,610000007466,
65,,Spine,4,11,Image 1,1,100000003,610000007472,
41,,Spine,4,5,Image 1,1,100000001,610000007476,
59,,Spine,4,9,Image 1,1,100000000,610000007478,
0,,Spine,4,11,Image 1,1,100000003,610000007480,
73,,Spine,4,3,Image 1,1,100000001,610000007487,
67,,Spine,4,5,Image 1,1,100000003,610000007494,
36,,Spine,4,2,Image 1,1,100000002,610000007499,
58,,Spine,4,7,Image 1,1,100000001,610000007501,
74,,Spine,4,14,Image 1,1,100000001,610000007506,
98,,Spine,4,11,Image 1,1,100000003,610000007510,
119,,Spine,4,7,Image 1,1,100000002,610000007513,
51,,Spine,4,9,Image 1,1,100000003,610000007518,
78,,Spine,4,6,Image 1,1,100000001,610000007520,
68,,Spine,4,11,Image 1,1,100000001,610000007524,
47,,Spine,4,14,Image 1,1,100000001,610000007531,
55,,Spine,4,12,Image 1,1,100000003,610000007534,
53,,Spine,4,13,Image 1,1,100000000,610000007538,
133,,Spine,4,5,Image 1,1,100000003,610000007543,
33,,Spine,4,3,Image 1,1,100000003,610000007546,
61,,Spine,4,2,Image 1,1,100000001,610000007549,
66,,Spine,4,14,Image 1,1,100000001,610000007555,
108,,Spine,4,3,Image 1,1,100000002,610000007558,
46,,Spine,4,8,Image 1,1,100000000,610000007561,
94,,Spine,4,14,Image 1,1,100000001,610000007565,
37,,Spine,4,3,Image 1,1,100000000,610000007567,
58,,Spine,4,2,Image 1,1,100000002,610000007571,
59,,Spine,4,3,Image 1,1,100000001,610000007576,
45,,Spine,4,13,Image 1,1,100000001,610000007580,
183,,Spine,4,0,Image 1,1,,610000007582,
38,,Spine,4,6,Image 1,1,100000003,610000007596,
61,,Spine,4,9,Image 1,1,100000003,610000007600,
40,,Spine,4,7,Image 1,1,100000001,610000007604,
61,,Spine,4,16,Image 1,1,100000000,610000007607,
53,,Spine,4,3,Image 1,1,100000003,610000007609,
126,,Spine,4,5,Image 1,1,100000003,610000007611,
7,,Spine,4,0,Image 1,1,100000002,610000007614,
52,,Spine,4,5,Image 1,1,100000000,610000007617,
67,,Spine,4,5,Image 1,1,100000000,610000007622,
39,,Spine,4,11,Image 1,1,100000001,610000007625,
35,,Spine,4,9,Image 1,1,100000001,610000007627,
88,,Spine,4,9,Image 1,1,100000000,610000007630,
91,,Spine,4,0,Image 1,1,,610000007632,
49,,Spine,4,5,Image 1,1,100000002,610000007639,
28,,Spine,4,13,Image 1,1,100000000,610000007642,
59,,Spine,4,11,Image 1,1,100000003,610000007644,
74,,Spine,4,4,Image 1,1,100000001,610000007650,
58,,Spine,4,6,Image 1,1,100000003,610000007652,
64,,Spine,4,12,Image 1,1,100000000,610000007654,
70,,Spine,4,2,Image 1,1,100000003,610000007658,
94,,Spine,4,0,Image 1,1,,610000007660,
54,,Spine,4,0,Image 1,1,100000002,610000007667,
45,,Spine,4,5,Image 1,1,100000000,610000007670,
41,,Spine,4,5,Image 1,1,100000000,610000007672,
74,,Spine,4,5,Image 1,1,100000003,610000007674,
74,,Spine,4,3,Image 1,1,100000001,610000007679,
56,,Spine,4,17,Image 1,1,100000000,610000007681,
125,,Spine,4,0,Image 1,1,,610000007683,
59,,Spine,4,5,Image 1,1,100000000,610000007691,
55,,Spine,4,2,Image 1,1,100000002,610000007696,
0,,Spine,4,3,Image 1,1,100000001,610000007698,
49,,Spine,4,4,Image 1,1,100000001,610000007700,
91,,Spine,4,2,Image 1,1,100000002,610000007702,
40,,Spine,4,0,Image 1,1,100000002,610000007704,
60,,Spine,4,3,Image 1,1,100000003,610000007708,
36,,Spine,4,5,Image 1,1,100000001,610000007711,
