
Spine Center Intensity Sum Ch=2 Img=1
 ==================== 
Spine Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
270,,Spine,2,3,Image 1,3,1,100000002,610000007761,
260,,Spine,2,7,Image 1,3,1,100000001,610000007764,
230,,Spine,2,3,Image 1,1,1,100000001,610000007767,
172,,Spine,2,12,Image 1,3,1,100000003,610000007769,
126,,Spine,2,17,Image 1,5,1,100000000,610000007771,
156,,Spine,2,9,Image 1,2,1,100000001,610000007774,
430,,Spine,2,0,Image 1,1,1,100000003,610000007779,
291,,Spine,2,4,Image 1,3,1,100000002,610000007784,
306,,Spine,2,7,Image 1,5,1,100000002,610000007787,
213,,Spine,2,4,Image 1,2,1,100000002,610000007790,
144,,Spine,2,8,Image 1,2,1,100000001,610000007793,
241,,Spine,2,0,Image 1,1,1,100000003,610000007796,
122,,Spine,2,5,Image 1,4,1,100000001,610000007798,
279,,Spine,2,7,Image 1,3,1,100000002,610000007802,
291,,Spine,2,0,Image 1,1,1,100000002,610000007805,
138,,Spine,2,1,Image 1,2,1,100000002,610000007807,
161,,Spine,2,3,Image 1,3,1,100000002,610000007809,
264,,Spine,2,0,Image 1,1,1,100000002,610000007815,
376,,Spine,2,2,Image 1,1,1,100000002,610000007819,
313,,Spine,2,2,Image 1,2,1,100000000,610000007823,
332,,Spine,2,0,Image 1,1,1,100000003,610000007827,
281,,Spine,2,2,Image 1,2,1,100000000,610000007833,
418,,Spine,2,7,Image 1,3,1,100000001,610000007837,
207,,Spine,2,9,Image 1,5,1,100000001,610000007841,
103,,Spine,2,15,Image 1,3,1,100000000,610000007843,
183,,Spine,2,8,Image 1,2,1,100000001,610000007846,
256,,Spine,2,1,Image 1,1,1,100000002,610000007849,
156,,Spine,2,12,Image 1,3,1,100000000,610000007851,
323,,Spine,2,3,Image 1,1,1,100000001,610000007854,
379,,Spine,2,7,Image 1,2,1,100000003,610000007858,
110,,Spine,2,7,Image 1,6,1,100000002,610000007860,
209,,Spine,2,14,Image 1,4,1,100000001,610000007863,
162,,Spine,2,1,Image 1,2,1,100000001,610000007865,
144,,Spine,2,0,Image 1,1,1,100000001,610000007868,
181,,Spine,2,5,Image 1,4,1,100000003,610000007871,
221,,Spine,2,9,Image 1,5,1,100000001,610000007873,
161,,Spine,2,0,Image 1,1,1,100000002,610000007876,
270,,Spine,2,1,Image 1,1,1,100000002,610000007879,
89,,Spine,2,13,Image 1,4,1,100000000,610000007882,
