
Spine Part Volume Head
 ==================== 
Spine Part Volume Head,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.0215996,µm^3,Spine,Spine Part Volume,13,2,1,100000003,610000007322,
0.0165585,µm^3,Spine,Spine Part Volume,7,3,1,100000001,610000007339,
0.0204664,µm^3,Spine,Spine Part Volume,13,2,1,100000003,610000007347,
0.0142649,µm^3,Spine,Spine Part Volume,5,3,1,100000003,610000007363,
0.0124325,µm^3,Spine,Spine Part Volume,3,1,1,100000001,610000007375,
0.0184315,µm^3,Spine,Spine Part Volume,13,2,1,100000003,610000007382,
0.0189568,µm^3,Spine,Spine Part Volume,3,1,1,100000001,610000007393,
0.00965888,µm^3,Spine,Spine Part Volume,7,3,1,100000001,610000007404,
0.016138,µm^3,Spine,Spine Part Volume,14,4,1,100000001,610000007415,
0.0109066,µm^3,Spine,Spine Part Volume,5,3,1,100000003,610000007427,
0.00494132,µm^3,Spine,Spine Part Volume,10,5,1,100000001,610000007431,
0.0101855,µm^3,Spine,Spine Part Volume,6,3,1,100000001,610000007440,
0.0244762,µm^3,Spine,Spine Part Volume,3,1,1,100000001,610000007448,
0.00443262,µm^3,Spine,Spine Part Volume,9,2,1,100000003,610000007452,
0.00495924,µm^3,Spine,Spine Part Volume,15,4,1,100000001,610000007457,
0.00547658,µm^3,Spine,Spine Part Volume,2,1,1,100000002,610000007464,
0.0025888,µm^3,Spine,Spine Part Volume,10,3,1,100000000,610000007466,
0.00596329,µm^3,Spine,Spine Part Volume,11,2,1,100000003,610000007472,
0.00984577,µm^3,Spine,Spine Part Volume,5,3,1,100000001,610000007476,
0.00292036,µm^3,Spine,Spine Part Volume,9,4,1,100000000,610000007478,
0.02153,µm^3,Spine,Spine Part Volume,11,4,1,100000003,610000007480,
0.0116548,µm^3,Spine,Spine Part Volume,3,1,1,100000001,610000007487,
0.0116314,µm^3,Spine,Spine Part Volume,5,3,1,100000003,610000007494,
0.01041,µm^3,Spine,Spine Part Volume,2,2,1,100000002,610000007499,
0.00112339,µm^3,Spine,Spine Part Volume,7,3,1,100000001,610000007501,
0.00441221,µm^3,Spine,Spine Part Volume,14,4,1,100000001,610000007506,
0.00526764,µm^3,Spine,Spine Part Volume,11,2,1,100000003,610000007510,
0.00134746,µm^3,Spine,Spine Part Volume,7,6,1,100000002,610000007513,
0.016325,µm^3,Spine,Spine Part Volume,9,2,1,100000003,610000007518,
0.00128448,µm^3,Spine,Spine Part Volume,6,4,1,100000001,610000007520,
0.0037348,µm^3,Spine,Spine Part Volume,11,3,1,100000001,610000007524,
0.00837653,µm^3,Spine,Spine Part Volume,14,4,1,100000001,610000007531,
0.00264214,µm^3,Spine,Spine Part Volume,12,3,1,100000003,610000007534,
0.00486272,µm^3,Spine,Spine Part Volume,13,4,1,100000000,610000007538,
0.0261551,µm^3,Spine,Spine Part Volume,5,3,1,100000003,610000007543,
0.00403889,µm^3,Spine,Spine Part Volume,3,1,1,100000003,610000007546,
0.0073399,µm^3,Spine,Spine Part Volume,2,1,1,100000001,610000007549,
0.00577355,µm^3,Spine,Spine Part Volume,14,4,1,100000001,610000007555,
0.00670793,µm^3,Spine,Spine Part Volume,3,3,1,100000002,610000007558,
0.00659409,µm^3,Spine,Spine Part Volume,8,2,1,100000000,610000007561,
