
Soma Area
 ==================== 
Soma Area,Unit,Category,Time,FilamentID,ID,
228.979,µm^2,Soma,1,100000000,800000000,
114.478,µm^2,Soma,1,100000001,800000001,
112.898,µm^2,Soma,1,100000002,800000002,
