
Spine Part Volume Neck
 ==================== 
Spine Part Volume Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.356257,µm^3,Spine,Spine Part Volume,1,2,1,100000002,610000003165,
0.201191,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003178,
0.352263,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000003189,
0.204543,µm^3,Spine,Spine Part Volume,5,4,1,100000000,610000003198,
0.115053,µm^3,Spine,Spine Part Volume,5,4,1,100000000,610000003206,
0.0668361,µm^3,Spine,Spine Part Volume,3,3,1,100000000,610000003211,
0.0933907,µm^3,Spine,Spine Part Volume,2,1,1,100000000,610000003217,
0.0994231,µm^3,Spine,Spine Part Volume,4,2,1,100000002,610000003225,
0.0572926,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003230,
1.18107,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000003240,
0.819899,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000003249,
0.3609,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000003255,
0.186636,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003258,
0.0828347,µm^3,Spine,Spine Part Volume,2,2,1,100000000,610000003261,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003264,
1.30115,µm^3,Spine,Spine Part Volume,2,1,1,100000002,610000003268,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000003270,
0,µm^3,Spine,Spine Part Volume,2,2,1,100000000,610000003272,
0.446754,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000003275,
0,µm^3,Spine,Spine Part Volume,2,1,1,100000002,610000003278,
0.160639,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000003282,
0,µm^3,Spine,Spine Part Volume,2,1,1,100000002,610000003285,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000003290,
0,µm^3,Spine,Spine Part Volume,3,3,1,100000000,610000003292,
0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003297,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000003299,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000003302,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000003306,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000003309,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000003312,
0,µm^3,Spine,Spine Part Volume,3,3,1,100000000,610000003327,
0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003328,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000003332,
0,µm^3,Spine,Spine Part Volume,3,2,1,100000000,610000003333,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000003334,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000003335,
0,µm^3,Spine,Spine Part Volume,2,1,1,100000000,610000003337,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003339,
0,µm^3,Spine,Spine Part Volume,2,1,1,100000002,610000003341,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000003342,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000003343,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000003344,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000003345,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000003346,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000003347,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000003348,
0,µm^3,Spine,Spine Part Volume,1,2,1,100000002,610000003349,
0,µm^3,Spine,Spine Part Volume,1,2,1,100000002,610000003350,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000003351,
