
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,All touching neurons,ID,
28165.2,µm,Surface,Distance from Origin,1,Class A,0,
28210.6,µm,Surface,Distance from Origin,1,Class A,1,
28243.6,µm,Surface,Distance from Origin,1,Class A,10,
