
Spine Part Min Diameter Head
 ==================== 
Spine Part Min Diameter Head,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.416667,µm,Spine,Spine Part Min Diameter,1,2,1,100000002,610000003165,
0.416667,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000003178,
0.416667,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003189,
0.472467,µm,Spine,Spine Part Min Diameter,5,4,1,100000000,610000003198,
0.418592,µm,Spine,Spine Part Min Diameter,5,4,1,100000000,610000003206,
0.431315,µm,Spine,Spine Part Min Diameter,3,3,1,100000000,610000003211,
0.416667,µm,Spine,Spine Part Min Diameter,2,1,1,100000000,610000003217,
0.416667,µm,Spine,Spine Part Min Diameter,4,2,1,100000002,610000003225,
0.416667,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003230,
0.861335,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000003240,
0.861335,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000003249,
0.917776,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000003255,
0.833333,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000003258,
0.572917,µm,Spine,Spine Part Min Diameter,2,2,1,100000000,610000003261,
0.749765,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003264,
2.35262,µm,Spine,Spine Part Min Diameter,2,1,1,100000002,610000003268,
1.00282,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003270,
0.416667,µm,Spine,Spine Part Min Diameter,2,2,1,100000000,610000003272,
0.867513,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003275,
1.36534,µm,Spine,Spine Part Min Diameter,2,1,1,100000002,610000003278,
0.62244,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003282,
1.85428,µm,Spine,Spine Part Min Diameter,2,1,1,100000002,610000003285,
0.62244,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003290,
0.700806,µm,Spine,Spine Part Min Diameter,3,3,1,100000000,610000003292,
0.625,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000003297,
0.416667,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003299,
2.05417,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003302,
0.735886,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003306,
1.43968,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003309,
0.846471,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003312,
0.900166,µm,Spine,Spine Part Min Diameter,3,3,1,100000000,610000003327,
0.625,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000003328,
0.480686,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003332,
0.712117,µm,Spine,Spine Part Min Diameter,3,2,1,100000000,610000003333,
1.40544,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000003334,
1.6276,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000003335,
0.756876,µm,Spine,Spine Part Min Diameter,2,1,1,100000000,610000003337,
0.863212,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003339,
1.04167,µm,Spine,Spine Part Min Diameter,2,1,1,100000002,610000003341,
1.14371,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003342,
0.879996,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003343,
0.588981,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003344,
0.886383,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003345,
0.549243,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003346,
1.99776,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003347,
1.28969,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003348,
1.25184,µm,Spine,Spine Part Min Diameter,1,2,1,100000002,610000003349,
0.756716,µm,Spine,Spine Part Min Diameter,1,2,1,100000002,610000003350,
1.13197,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003351,
