
Spine Center Intensity Min Ch=1 Img=1
 ==================== 
Spine Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Spine,1,1,Image 1,2,1,100000002,610000003165,
0,,Spine,1,1,Image 1,2,1,100000000,610000003178,
2,,Spine,1,0,Image 1,1,1,100000000,610000003189,
0,,Spine,1,5,Image 1,4,1,100000000,610000003198,
0,,Spine,1,5,Image 1,4,1,100000000,610000003206,
0,,Spine,1,3,Image 1,3,1,100000000,610000003211,
1,,Spine,1,2,Image 1,1,1,100000000,610000003217,
25,,Spine,1,4,Image 1,2,1,100000002,610000003225,
12,,Spine,1,0,Image 1,1,1,100000001,610000003230,
1,,Spine,1,1,Image 1,1,1,100000000,610000003240,
1,,Spine,1,1,Image 1,1,1,100000000,610000003249,
4,,Spine,1,1,Image 1,1,1,100000000,610000003255,
3,,Spine,1,1,Image 1,2,1,100000000,610000003258,
18,,Spine,1,2,Image 1,2,1,100000000,610000003261,
36,,Spine,1,0,Image 1,1,1,100000001,610000003264,
17,,Spine,1,2,Image 1,1,1,100000002,610000003268,
43,,Spine,1,0,Image 1,1,1,100000000,610000003270,
13,,Spine,1,2,Image 1,2,1,100000000,610000003272,
32,,Spine,1,0,Image 1,1,1,100000000,610000003275,
57,,Spine,1,2,Image 1,1,1,100000002,610000003278,
50,,Spine,1,0,Image 1,1,1,100000000,610000003282,
48,,Spine,1,2,Image 1,1,1,100000002,610000003285,
70,,Spine,1,0,Image 1,1,1,100000000,610000003290,
31,,Spine,1,3,Image 1,3,1,100000000,610000003292,
54,,Spine,1,1,Image 1,2,1,100000000,610000003297,
34,,Spine,1,0,Image 1,1,1,100000000,610000003299,
43,,Spine,1,0,Image 1,1,1,100000000,610000003302,
76,,Spine,1,0,Image 1,1,1,100000000,610000003306,
38,,Spine,1,0,Image 1,1,1,100000000,610000003309,
35,,Spine,1,0,Image 1,1,1,100000002,610000003312,
54,,Spine,1,3,Image 1,3,1,100000000,610000003327,
84,,Spine,1,1,Image 1,2,1,100000000,610000003328,
10,,Spine,1,0,Image 1,1,1,100000000,610000003332,
77,,Spine,1,3,Image 1,2,1,100000000,610000003333,
66,,Spine,1,1,Image 1,1,1,100000000,610000003334,
107,,Spine,1,1,Image 1,1,1,100000000,610000003335,
55,,Spine,1,2,Image 1,1,1,100000000,610000003337,
41,,Spine,1,0,Image 1,1,1,100000001,610000003339,
74,,Spine,1,2,Image 1,1,1,100000002,610000003341,
53,,Spine,1,0,Image 1,1,1,100000002,610000003342,
41,,Spine,1,0,Image 1,1,1,100000002,610000003343,
90,,Spine,1,0,Image 1,1,1,100000002,610000003344,
33,,Spine,1,0,Image 1,1,1,100000002,610000003345,
63,,Spine,1,0,Image 1,1,1,100000002,610000003346,
105,,Spine,1,0,Image 1,1,1,100000002,610000003347,
68,,Spine,1,0,Image 1,1,1,100000002,610000003348,
17,,Spine,1,1,Image 1,2,1,100000002,610000003349,
68,,Spine,1,1,Image 1,2,1,100000002,610000003350,
102,,Spine,1,0,Image 1,1,1,100000002,610000003351,
