
Spine Terminal Pt Time
 ==================== 
Spine Terminal Pt Time,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,s,Spine,1,2,1,100000002,610000003165,
0,s,Spine,1,2,1,100000000,610000003178,
0,s,Spine,0,1,1,100000000,610000003189,
0,s,Spine,5,4,1,100000000,610000003198,
0,s,Spine,5,4,1,100000000,610000003206,
0,s,Spine,3,3,1,100000000,610000003211,
0,s,Spine,2,1,1,100000000,610000003217,
0,s,Spine,4,2,1,100000002,610000003225,
0,s,Spine,0,1,1,100000001,610000003230,
0,s,Spine,1,1,1,100000000,610000003240,
0,s,Spine,1,1,1,100000000,610000003249,
0,s,Spine,1,1,1,100000000,610000003255,
0,s,Spine,1,2,1,100000000,610000003258,
0,s,Spine,2,2,1,100000000,610000003261,
0,s,Spine,,,1,,610000003263,
0,s,Spine,,,1,,610000003266,
0,s,Spine,0,1,1,100000000,610000003270,
0,s,Spine,2,2,1,100000000,610000003272,
0,s,Spine,0,1,1,100000000,610000003275,
0,s,Spine,,,1,,610000003284,
0,s,Spine,3,3,1,100000000,610000003292,
0,s,Spine,1,2,1,100000000,610000003297,
0,s,Spine,0,1,1,100000002,610000003312,
0,s,Spine,0,1,1,,610000003352,
0,s,Spine,1,1,1,,610000003352,
0,s,Spine,1,2,1,,610000003353,
0,s,Spine,1,1,1,,610000003353,
0,s,Spine,3,2,1,,610000003354,
0,s,Spine,1,2,1,,610000003354,
0,s,Spine,1,2,1,,610000003355,
0,s,Spine,0,1,1,,610000003355,
0,s,Spine,0,1,1,,610000003356,
0,s,Spine,3,3,1,,610000003356,
0,s,Spine,0,1,1,,610000003357,
0,s,Spine,2,1,1,,610000003357,
0,s,Spine,0,1,1,,610000003358,
0,s,Spine,0,1,1,,610000003359,
0,s,Spine,0,1,1,,610000003360,
0,s,Spine,,,1,,610000003361,
0,s,Spine,0,1,1,,610000003361,
0,s,Spine,,,1,,610000003362,
0,s,Spine,2,1,1,,610000003362,
