
Intensity Sum Ch=4 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,All touching neurons,ID,
17057,,Surface,4,Image 1,1,Class A,0,
32676,,Surface,4,Image 1,1,Class A,1,
22997,,Surface,4,Image 1,1,Class A,10,
