
Soma BoundingBoxOO Length B
 ==================== 
Soma BoundingBoxOO Length B,Unit,Category,Collection,Time,FilamentID,ID,
7.54492,µm,Soma,Soma BoundingBoxOO Length,1,100000000,800000000,
6.07617,µm,Soma,Soma BoundingBoxOO Length,1,100000001,800000001,
6.04297,µm,Soma,Soma BoundingBoxOO Length,1,100000002,800000002,
