
Intensity Sum of Square Ch=2 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,All touching neurons,ID,
1.56941e+06,,Surface,2,Image 1,1,Class A,0,
3.0384e+06,,Surface,2,Image 1,1,Class A,1,
4.46537e+06,,Surface,2,Image 1,1,Class A,10,
