
Intensity StdDev Ch=5 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,All touching neurons,ID,
37.3468,,Surface,5,Image 1,1,Class A,0,
44.363,,Surface,5,Image 1,1,Class A,1,
102.37,,Surface,5,Image 1,1,Class A,10,
