
Spine Center Intensity Mean Ch=1 Img=1
 ==================== 
Spine Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0.166667,,Spine,1,9,Image 1,3,1,100000000,610000007348,
0.857143,,Spine,1,0,Image 1,1,1,100000004,610000007355,
2,,Spine,1,2,Image 1,3,1,100000001,610000007357,
0.833333,,Spine,1,9,Image 1,3,1,100000000,610000007362,
0.666667,,Spine,1,0,Image 1,1,1,100000004,610000007364,
1,,Spine,1,11,Image 1,5,1,100000000,610000007366,
0.4,,Spine,1,9,Image 1,3,1,100000000,610000007370,
1.66667,,Spine,1,0,Image 1,1,1,100000004,610000007372,
2.75,,Spine,1,10,Image 1,3,1,100000003,610000007375,
2.54545,,Spine,1,0,Image 1,1,1,100000003,610000007385,
0.25,,Spine,1,9,Image 1,3,1,100000000,610000007388,
2.8,,Spine,1,0,Image 1,1,1,100000004,610000007392,
1.25,,Spine,1,0,Image 1,1,1,100000004,610000007395,
0.333333,,Spine,1,19,Image 1,9,1,100000001,610000007397,
5.33333,,Spine,1,9,Image 1,3,1,100000003,610000007399,
1.83333,,Spine,1,1,Image 1,2,1,100000000,610000007404,
1.57143,,Spine,1,7,Image 1,4,1,100000001,610000007410,
2.5,,Spine,1,0,Image 1,1,1,100000004,610000007413,
1,,Spine,1,5,Image 1,2,1,100000001,610000007417,
2,,Spine,1,11,Image 1,3,1,100000001,610000007422,
2.75,,Spine,1,12,Image 1,6,1,100000001,610000007425,
1.25,,Spine,1,9,Image 1,5,1,100000000,610000007432,
1,,Spine,1,7,Image 1,1,1,100000000,610000007436,
0.333333,,Spine,1,10,Image 1,4,1,100000000,610000007439,
1,,Spine,1,6,Image 1,3,1,100000003,610000007443,
1,,Spine,1,0,Image 1,1,1,100000003,610000007445,
2.33333,,Spine,1,7,Image 1,1,1,100000000,610000007450,
0.333333,,Spine,1,7,Image 1,3,1,100000003,610000007452,
0.5,,Spine,1,1,Image 1,2,1,100000000,610000007455,
0.75,,Spine,1,22,Image 1,8,1,100000001,610000007458,
0.333333,,Spine,1,11,Image 1,3,1,100000003,610000007460,
1.5,,Spine,1,12,Image 1,5,1,100000001,610000007463,
0.75,,Spine,1,5,Image 1,3,1,100000000,610000007466,
1,,Spine,1,5,Image 1,3,1,100000000,610000007469,
1.5,,Spine,1,8,Image 1,3,1,100000000,610000007472,
0.333333,,Spine,1,3,Image 1,2,1,100000003,610000007474,
1,,Spine,1,3,Image 1,3,1,100000003,610000007476,
4,,Spine,1,5,Image 1,2,1,100000003,610000007479,
0.333333,,Spine,1,4,Image 1,3,1,100000000,610000007481,
1,,Spine,1,0,Image 1,1,1,100000001,610000007485,
1.14286,,Spine,1,2,Image 1,3,1,100000003,610000007491,
1.25,,Spine,1,10,Image 1,2,1,100000003,610000007494,
1,,Spine,1,5,Image 1,2,1,100000003,610000007498,
1.8,,Spine,1,5,Image 1,2,1,100000003,610000007502,
1.75,,Spine,1,0,Image 1,1,1,100000003,610000007507,
0.666667,,Spine,1,0,Image 1,1,1,100000004,610000007509,
0.8,,Spine,1,9,Image 1,3,1,100000000,610000007513,
0.75,,Spine,1,18,Image 1,7,1,100000000,610000007516,
1.85714,,Spine,1,23,Image 1,8,1,100000001,610000007522,
1.375,,Spine,1,0,Image 1,1,1,100000003,610000007529,
1.5,,Spine,1,5,Image 1,4,1,100000003,610000007532,
3.66667,,Spine,1,0,Image 1,1,1,100000004,610000007534,
1.66667,,Spine,1,0,Image 1,1,1,100000004,610000007536,
2,,Spine,1,7,Image 1,4,1,100000001,610000007538,
2,,Spine,1,0,Image 1,1,1,100000003,610000007542,
0.333333,,Spine,1,18,Image 1,9,1,100000001,610000007544,
0.333333,,Spine,1,5,Image 1,2,1,100000003,610000007546,
1.33333,,Spine,1,2,Image 1,1,1,100000001,610000007548,
1,,Spine,1,20,Image 1,8,1,100000001,610000007550,
1.66667,,Spine,1,9,Image 1,3,1,100000003,610000007553,
1.25,,Spine,1,10,Image 1,3,1,100000003,610000007557,
0.666667,,Spine,1,6,Image 1,4,1,100000001,610000007560,
0.666667,,Spine,1,12,Image 1,6,1,100000001,610000007563,
0.8,,Spine,1,17,Image 1,5,1,100000000,610000007567,
0.5,,Spine,1,18,Image 1,7,1,100000000,610000007570,
2,,Spine,1,0,Image 1,1,1,100000004,610000007574,
2,,Spine,1,3,Image 1,2,1,100000000,610000007576,
0.5,,Spine,1,13,Image 1,6,1,100000001,610000007579,
18.3333,,Spine,1,2,Image 1,1,1,100000003,610000007581,
1,,Spine,1,0,Image 1,1,1,100000004,610000007583,
1.8,,Spine,1,2,Image 1,2,1,100000003,610000007587,
0.333333,,Spine,1,6,Image 1,3,1,100000001,610000007589,
0.333333,,Spine,1,0,Image 1,1,1,100000004,610000007591,
2,,Spine,1,4,Image 1,3,1,100000003,610000007593,
1.8,,Spine,1,0,Image 1,1,1,100000004,610000007597,
2.66667,,Spine,1,8,Image 1,3,1,100000003,610000007601,
1,,Spine,1,10,Image 1,4,1,100000000,610000007605,
2,,Spine,1,13,Image 1,4,1,100000000,610000007607,
0.4,,Spine,1,2,Image 1,3,1,100000003,610000007611,
0.25,,Spine,1,3,Image 1,3,1,100000000,610000007614,
0.666667,,Spine,1,2,Image 1,3,1,100000001,610000007616,
1.25,,Spine,1,0,Image 1,1,1,100000004,610000007620,
1,,Spine,1,9,Image 1,6,1,100000001,610000007622,
3.75,,Spine,1,9,Image 1,3,1,100000001,610000007626,
0.75,,Spine,1,1,Image 1,2,1,100000001,610000007629,
1,,Spine,1,0,Image 1,1,1,100000001,610000007632,
0.5,,Spine,1,4,Image 1,2,1,100000000,610000007635,
36,,Spine,1,3,Image 1,2,1,100000003,610000007638,
2.33333,,Spine,1,6,Image 1,3,1,100000003,610000007642,
1.25,,Spine,1,0,Image 1,1,1,100000000,610000007647,
0.25,,Spine,1,5,Image 1,2,1,100000003,610000007650,
0.8,,Spine,1,18,Image 1,7,1,100000000,610000007656,
1.5,,Spine,1,0,Image 1,1,1,100000004,610000007659,
1,,Spine,1,6,Image 1,3,1,100000001,610000007661,
1,,Spine,1,6,Image 1,4,1,100000001,610000007663,
1.66667,,Spine,1,5,Image 1,4,1,100000001,610000007665,
1.33333,,Spine,1,13,Image 1,6,1,100000001,610000007668,
0.571429,,Spine,1,21,Image 1,8,1,100000001,610000007674,
1,,Spine,1,4,Image 1,2,1,100000000,610000007676,
2.16667,,Spine,1,12,Image 1,6,1,100000001,610000007681,
0.666667,,Spine,1,0,Image 1,1,1,100000004,610000007683,
1,,Spine,1,8,Image 1,2,1,100000001,610000007686,
2.33333,,Spine,1,2,Image 1,3,1,100000001,610000007688,
1,,Spine,1,5,Image 1,4,1,100000001,610000007690,
1.66667,,Spine,1,0,Image 1,1,1,100000004,610000007692,
1,,Spine,1,9,Image 1,5,1,100000000,610000007696,
1,,Spine,1,5,Image 1,3,1,100000000,610000007699,
0.333333,,Spine,1,5,Image 1,3,1,100000001,610000007701,
0.666667,,Spine,1,4,Image 1,2,1,100000001,610000007703,
107.667,,Spine,1,4,Image 1,3,1,100000003,610000007705,
1.75,,Spine,1,5,Image 1,2,1,100000003,610000007708,
0.333333,,Spine,1,11,Image 1,3,1,100000003,610000007710,
1.33333,,Spine,1,3,Image 1,1,1,100000001,610000007712,
0.6,,Spine,1,4,Image 1,2,1,100000000,610000007716,
0,,Spine,1,0,Image 1,1,1,100000004,610000007718,
1.33333,,Spine,1,9,Image 1,3,1,100000000,610000007720,
1,,Spine,1,0,Image 1,1,1,100000004,610000007723,
1,,Spine,1,0,Image 1,1,1,100000005,610000007725,
0.333333,,Spine,1,22,Image 1,8,1,100000001,610000007728,
1.33333,,Spine,1,9,Image 1,3,1,100000003,610000007730,
1,,Spine,1,0,Image 1,1,1,100000000,610000007734,
1,,Spine,1,12,Image 1,4,1,100000003,610000007736,
