
Soma Center of Image Mass Z
 ==================== 
Soma Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
1432.23,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1432.22,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1432.22,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1432.24,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1432.24,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1434.95,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1434.91,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1434.91,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1434.95,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1434.95,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1431.83,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000003,800002115,
1431.99,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000003,800002115,
1431.99,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000003,800002115,
1431.58,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000003,800002115,
1431.57,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000003,800002115,
