
Filament Distance from Origin
 ==================== 
Filament Distance from Origin,Unit,Category,Collection,Time,ID,
21195.8,µm,Filament,Filament Distance from Origin,1,100000000,
21168.9,µm,Filament,Filament Distance from Origin,1,100000001,
21183.3,µm,Filament,Filament Distance from Origin,1,100000003,
21171.3,µm,Filament,Filament Distance from Origin,1,100000004,
21181.2,µm,Filament,Filament Distance from Origin,1,100000005,
21180.2,µm,Filament,Filament Distance from Origin,1,100000006,
21177.9,µm,Filament,Filament Distance from Origin,1,100000007,
21181.1,µm,Filament,Filament Distance from Origin,1,100000008,
21180.3,µm,Filament,Filament Distance from Origin,1,100000009,
21177.3,µm,Filament,Filament Distance from Origin,1,100000010,
