
Spine Neck Mean Diameter
 ==================== 
Spine Neck Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.205991,µm,Spine,9,3,1,100000000,610000007348,
0.277387,µm,Spine,,,1,100000004,610000007355,
0.1625,µm,Spine,2,3,1,100000001,610000007357,
0.238609,µm,Spine,9,3,1,100000000,610000007362,
0.1625,µm,Spine,,,1,100000004,610000007364,
0.262581,µm,Spine,11,5,1,100000000,610000007366,
0.187536,µm,Spine,9,3,1,100000000,610000007370,
0.360359,µm,Spine,,,1,100000004,610000007372,
0.172034,µm,Spine,10,3,1,100000003,610000007375,
0.333816,µm,Spine,0,1,1,100000003,610000007385,
0.187536,µm,Spine,9,3,1,100000000,610000007388,
0.177736,µm,Spine,,,1,100000004,610000007392,
0.1625,µm,Spine,,,1,100000004,610000007395,
0.419422,µm,Spine,19,9,1,100000001,610000007397,
0.187005,µm,Spine,9,3,1,100000003,610000007399,
0.248455,µm,Spine,1,2,1,100000000,610000007404,
0.331111,µm,Spine,7,4,1,100000001,610000007410,
0.212285,µm,Spine,,,1,100000004,610000007413,
0.16595,µm,Spine,5,2,1,100000001,610000007417,
0.36972,µm,Spine,11,3,1,100000001,610000007422,
0.176085,µm,Spine,12,6,1,100000001,610000007425,
0.307008,µm,Spine,9,5,1,100000000,610000007432,
0.210539,µm,Spine,7,1,1,100000000,610000007436,
0.208138,µm,Spine,10,4,1,100000000,610000007439,
0.1625,µm,Spine,6,3,1,100000003,610000007443,
0.1625,µm,Spine,0,1,1,100000003,610000007445,
0.211712,µm,Spine,7,1,1,100000000,610000007450,
0.269118,µm,Spine,7,3,1,100000003,610000007452,
0.164837,µm,Spine,1,2,1,100000000,610000007455,
0.366738,µm,Spine,22,8,1,100000001,610000007458,
0.2228,µm,Spine,11,3,1,100000003,610000007460,
0.168503,µm,Spine,12,5,1,100000001,610000007463,
0.254633,µm,Spine,5,3,1,100000000,610000007466,
0.277692,µm,Spine,5,3,1,100000000,610000007469,
0.180259,µm,Spine,8,3,1,100000000,610000007472,
0.237026,µm,Spine,3,2,1,100000003,610000007474,
0.166249,µm,Spine,3,3,1,100000003,610000007476,
0.206236,µm,Spine,5,2,1,100000003,610000007479,
0.1625,µm,Spine,4,3,1,100000000,610000007481,
0.1625,µm,Spine,0,1,1,100000001,610000007485,
0.336842,µm,Spine,2,3,1,100000003,610000007491,
0.337314,µm,Spine,10,2,1,100000003,610000007494,
0.266759,µm,Spine,5,2,1,100000003,610000007498,
0.282849,µm,Spine,5,2,1,100000003,610000007502,
0.168584,µm,Spine,0,1,1,100000003,610000007507,
0.1625,µm,Spine,,,1,100000004,610000007509,
0.202369,µm,Spine,9,3,1,100000000,610000007513,
0.431648,µm,Spine,18,7,1,100000000,610000007516,
0.247429,µm,Spine,23,8,1,100000001,610000007522,
0.367329,µm,Spine,0,1,1,100000003,610000007529,
0.233954,µm,Spine,5,4,1,100000003,610000007532,
0.335916,µm,Spine,,,1,100000004,610000007534,
0.325,µm,Spine,,,1,100000004,610000007536,
0.280105,µm,Spine,7,4,1,100000001,610000007538,
0.208324,µm,Spine,0,1,1,100000003,610000007542,
0.287274,µm,Spine,18,9,1,100000001,610000007544,
0.270865,µm,Spine,5,2,1,100000003,610000007546,
0.32539,µm,Spine,2,1,1,100000001,610000007548,
0.1625,µm,Spine,20,8,1,100000001,610000007550,
0.167578,µm,Spine,9,3,1,100000003,610000007553,
0.297442,µm,Spine,10,3,1,100000003,610000007557,
0.40625,µm,Spine,6,4,1,100000001,610000007560,
0.18128,µm,Spine,12,6,1,100000001,610000007563,
0.290676,µm,Spine,17,5,1,100000000,610000007567,
0.242749,µm,Spine,18,7,1,100000000,610000007570,
0.204438,µm,Spine,,,1,100000004,610000007574,
0.192288,µm,Spine,3,2,1,100000000,610000007576,
0.440792,µm,Spine,13,6,1,100000001,610000007579,
0.455903,µm,Spine,2,1,1,100000003,610000007581,
0.289536,µm,Spine,,,1,100000004,610000007583,
0.245767,µm,Spine,2,2,1,100000003,610000007587,
0.188872,µm,Spine,6,3,1,100000001,610000007589,
0.16377,µm,Spine,,,1,100000004,610000007591,
0.185485,µm,Spine,4,3,1,100000003,610000007593,
0.27662,µm,Spine,,,1,100000004,610000007597,
0.163981,µm,Spine,8,3,1,100000003,610000007601,
0.274567,µm,Spine,10,4,1,100000000,610000007605,
0.1625,µm,Spine,13,4,1,100000000,610000007607,
0.216853,µm,Spine,2,3,1,100000003,610000007611,
0.207918,µm,Spine,3,3,1,100000000,610000007614,
0.194053,µm,Spine,2,3,1,100000001,610000007616,
0.299037,µm,Spine,,,1,100000004,610000007620,
0.19018,µm,Spine,9,6,1,100000001,610000007622,
0.19962,µm,Spine,9,3,1,100000001,610000007626,
0.229464,µm,Spine,1,2,1,100000001,610000007629,
0.1625,µm,Spine,0,1,1,100000001,610000007632,
0.497811,µm,Spine,4,2,1,100000000,610000007635,
0.178658,µm,Spine,3,2,1,100000003,610000007638,
0.194566,µm,Spine,6,3,1,100000003,610000007642,
0.485287,µm,Spine,0,1,1,100000000,610000007647,
0.397724,µm,Spine,5,2,1,100000003,610000007650,
0.296358,µm,Spine,18,7,1,100000000,610000007656,
0.215895,µm,Spine,,,1,100000004,610000007659,
0.184343,µm,Spine,6,3,1,100000001,610000007661,
0.1625,µm,Spine,6,4,1,100000001,610000007663,
0.40625,µm,Spine,5,4,1,100000001,610000007665,
0.276758,µm,Spine,13,6,1,100000001,610000007668,
0.254671,µm,Spine,21,8,1,100000001,610000007674,
0.369862,µm,Spine,4,2,1,100000000,610000007676,
0.31424,µm,Spine,12,6,1,100000001,610000007681,
0.365067,µm,Spine,,,1,100000004,610000007683,
0.296136,µm,Spine,8,2,1,100000001,610000007686,
0.29298,µm,Spine,2,3,1,100000001,610000007688,
0.212943,µm,Spine,5,4,1,100000001,610000007690,
0,µm,Spine,,,1,100000004,610000007692,
0.395625,µm,Spine,9,5,1,100000000,610000007696,
0.29099,µm,Spine,5,3,1,100000000,610000007699,
0.199536,µm,Spine,5,3,1,100000001,610000007701,
0.475555,µm,Spine,4,2,1,100000001,610000007703,
0.222706,µm,Spine,4,3,1,100000003,610000007705,
0.273085,µm,Spine,5,2,1,100000003,610000007708,
0.186744,µm,Spine,11,3,1,100000003,610000007710,
0.548438,µm,Spine,3,1,1,100000001,610000007712,
0.209141,µm,Spine,4,2,1,100000000,610000007716,
0.394485,µm,Spine,,,1,100000004,610000007718,
0.246115,µm,Spine,9,3,1,100000000,610000007720,
0.176027,µm,Spine,,,1,100000004,610000007723,
0,µm,Spine,,,1,100000005,610000007725,
0.411085,µm,Spine,22,8,1,100000001,610000007728,
0.176747,µm,Spine,9,3,1,100000003,610000007730,
0.424728,µm,Spine,0,1,1,100000000,610000007734,
0.227079,µm,Spine,12,4,1,100000003,610000007736,
0.27514,µm,Spine,,,1,100000004,610000007740,
0.215852,µm,Spine,2,1,1,100000001,610000007744,
0.240421,µm,Spine,8,4,1,100000001,610000007748,
0.298973,µm,Spine,3,2,1,100000003,610000007751,
0,µm,Spine,,,1,100000006,610000007755,
0.246593,µm,Spine,9,2,1,100000000,610000007759,
0.366258,µm,Spine,,,1,100000004,610000007763,
0.290342,µm,Spine,6,3,1,100000001,610000007765,
0.239181,µm,Spine,17,7,1,100000000,610000007768,
0.31779,µm,Spine,5,1,1,100000003,610000007771,
0.250521,µm,Spine,,,1,100000004,610000007774,
0.446875,µm,Spine,18,7,1,100000001,610000007777,
0.191747,µm,Spine,0,1,1,100000003,610000007780,
0.1625,µm,Spine,9,6,1,100000001,610000007783,
0.200478,µm,Spine,,,1,100000004,610000007788,
