
Spine Attachment Pt Position Z
 ==================== 
Spine Attachment Pt Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1432.14,µm,Spine,Spine Attachment Pt Position,,,1,100000004,610000007355,
1432.88,µm,Spine,Spine Attachment Pt Position,2,3,1,100000001,610000007357,
1431.49,µm,Spine,Spine Attachment Pt Position,,,1,100000004,610000007364,
1431.36,µm,Spine,Spine Attachment Pt Position,11,5,1,100000000,610000007366,
1433.84,µm,Spine,Spine Attachment Pt Position,,,1,100000004,610000007372,
1431.18,µm,Spine,Spine Attachment Pt Position,10,3,1,100000003,610000007375,
1432.89,µm,Spine,Spine Attachment Pt Position,0,1,1,100000003,610000007385,
1434.47,µm,Spine,Spine Attachment Pt Position,9,3,1,100000000,610000007388,
1431.93,µm,Spine,Spine Attachment Pt Position,,,1,100000004,610000007392,
1434.42,µm,Spine,Spine Attachment Pt Position,9,3,1,100000003,610000007399,
1433.32,µm,Spine,Spine Attachment Pt Position,1,2,1,100000000,610000007404,
1433.19,µm,Spine,Spine Attachment Pt Position,,,1,100000004,610000007413,
1431.49,µm,Spine,Spine Attachment Pt Position,11,3,1,100000001,610000007422,
1433.2,µm,Spine,Spine Attachment Pt Position,12,6,1,100000001,610000007425,
1434.03,µm,Spine,Spine Attachment Pt Position,7,1,1,100000000,610000007436,
1431.32,µm,Spine,Spine Attachment Pt Position,10,4,1,100000000,610000007439,
1433.66,µm,Spine,Spine Attachment Pt Position,6,3,1,100000003,610000007443,
1432.44,µm,Spine,Spine Attachment Pt Position,0,1,1,100000003,610000007445,
1433.58,µm,Spine,Spine Attachment Pt Position,7,3,1,100000003,610000007452,
1433.3,µm,Spine,Spine Attachment Pt Position,1,2,1,100000000,610000007455,
1433.87,µm,Spine,Spine Attachment Pt Position,22,8,1,100000001,610000007458,
1433.54,µm,Spine,Spine Attachment Pt Position,11,3,1,100000003,610000007460,
1434.73,µm,Spine,Spine Attachment Pt Position,5,3,1,100000000,610000007466,
1434.78,µm,Spine,Spine Attachment Pt Position,5,3,1,100000000,610000007469,
1432.13,µm,Spine,Spine Attachment Pt Position,8,3,1,100000000,610000007472,
1432.04,µm,Spine,Spine Attachment Pt Position,3,3,1,100000003,610000007476,
1433.39,µm,Spine,Spine Attachment Pt Position,5,2,1,100000003,610000007479,
1434.55,µm,Spine,Spine Attachment Pt Position,4,3,1,100000000,610000007481,
1434.04,µm,Spine,Spine Attachment Pt Position,2,3,1,100000003,610000007491,
1433.58,µm,Spine,Spine Attachment Pt Position,10,2,1,100000003,610000007494,
1434.03,µm,Spine,Spine Attachment Pt Position,5,2,1,100000003,610000007502,
1431.46,µm,Spine,Spine Attachment Pt Position,,,1,100000004,610000007509,
1434.41,µm,Spine,Spine Attachment Pt Position,18,7,1,100000000,610000007516,
1431.29,µm,Spine,Spine Attachment Pt Position,5,4,1,100000003,610000007532,
1432.91,µm,Spine,Spine Attachment Pt Position,,,1,100000004,610000007534,
1431.23,µm,Spine,Spine Attachment Pt Position,,,1,100000004,610000007536,
1432.98,µm,Spine,Spine Attachment Pt Position,7,4,1,100000001,610000007538,
1431.19,µm,Spine,Spine Attachment Pt Position,18,9,1,100000001,610000007544,
1433.04,µm,Spine,Spine Attachment Pt Position,20,8,1,100000001,610000007550,
1431.15,µm,Spine,Spine Attachment Pt Position,9,3,1,100000003,610000007553,
1433.15,µm,Spine,Spine Attachment Pt Position,10,3,1,100000003,610000007557,
1433.12,µm,Spine,Spine Attachment Pt Position,12,6,1,100000001,610000007563,
1432.47,µm,Spine,Spine Attachment Pt Position,17,5,1,100000000,610000007567,
1432.04,µm,Spine,Spine Attachment Pt Position,18,7,1,100000000,610000007570,
1432.87,µm,Spine,Spine Attachment Pt Position,,,1,100000004,610000007574,
1432.67,µm,Spine,Spine Attachment Pt Position,3,2,1,100000000,610000007576,
1433.08,µm,Spine,Spine Attachment Pt Position,13,6,1,100000001,610000007579,
1431.48,µm,Spine,Spine Attachment Pt Position,2,1,1,100000003,610000007581,
1432.91,µm,Spine,Spine Attachment Pt Position,,,1,100000004,610000007583,
1431.99,µm,Spine,Spine Attachment Pt Position,2,2,1,100000003,610000007587,
1432.74,µm,Spine,Spine Attachment Pt Position,6,3,1,100000001,610000007589,
1432.67,µm,Spine,Spine Attachment Pt Position,4,3,1,100000003,610000007593,
1432.89,µm,Spine,Spine Attachment Pt Position,,,1,100000004,610000007597,
1432.26,µm,Spine,Spine Attachment Pt Position,10,4,1,100000000,610000007605,
1432.27,µm,Spine,Spine Attachment Pt Position,13,4,1,100000000,610000007607,
1433.94,µm,Spine,Spine Attachment Pt Position,2,3,1,100000003,610000007611,
1431.46,µm,Spine,Spine Attachment Pt Position,3,3,1,100000000,610000007614,
1430.85,µm,Spine,Spine Attachment Pt Position,2,3,1,100000001,610000007616,
1430.99,µm,Spine,Spine Attachment Pt Position,,,1,100000004,610000007620,
1434.32,µm,Spine,Spine Attachment Pt Position,1,2,1,100000001,610000007629,
1433.28,µm,Spine,Spine Attachment Pt Position,6,3,1,100000003,610000007642,
1433.18,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000007647,
1433.95,µm,Spine,Spine Attachment Pt Position,5,2,1,100000003,610000007650,
1434.42,µm,Spine,Spine Attachment Pt Position,18,7,1,100000000,610000007656,
1431.8,µm,Spine,Spine Attachment Pt Position,,,1,100000004,610000007659,
1434.59,µm,Spine,Spine Attachment Pt Position,5,4,1,100000001,610000007665,
1432.85,µm,Spine,Spine Attachment Pt Position,4,2,1,100000000,610000007676,
1432.69,µm,Spine,Spine Attachment Pt Position,2,3,1,100000001,610000007688,
1434.91,µm,Spine,Spine Attachment Pt Position,5,4,1,100000001,610000007690,
1432.97,µm,Spine,Spine Attachment Pt Position,,,1,100000004,610000007692,
