
Spine Max Diameter
 ==================== 
Spine Max Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.25372,µm,Spine,11,3,1,100000003,610000007710,
0.548438,µm,Spine,3,1,1,100000001,610000007712,
0.428564,µm,Spine,4,2,1,100000000,610000007716,
0.394485,µm,Spine,,,1,100000004,610000007718,
0.31953,µm,Spine,9,3,1,100000000,610000007720,
0.24375,µm,Spine,,,1,100000004,610000007723,
0.272887,µm,Spine,,,1,100000005,610000007725,
0.411085,µm,Spine,22,8,1,100000001,610000007728,
0.325,µm,Spine,9,3,1,100000003,610000007730,
0.587855,µm,Spine,0,1,1,100000000,610000007734,
0.346887,µm,Spine,12,4,1,100000003,610000007736,
0.346363,µm,Spine,,,1,100000004,610000007740,
0.453168,µm,Spine,2,1,1,100000001,610000007744,
0.324379,µm,Spine,8,4,1,100000001,610000007748,
0.335297,µm,Spine,3,2,1,100000003,610000007751,
0.337096,µm,Spine,,,1,100000006,610000007755,
0.343495,µm,Spine,9,2,1,100000000,610000007759,
0.445592,µm,Spine,,,1,100000004,610000007763,
0.330843,µm,Spine,6,3,1,100000001,610000007765,
0.288286,µm,Spine,17,7,1,100000000,610000007768,
0.431647,µm,Spine,5,1,1,100000003,610000007771,
0.338542,µm,Spine,,,1,100000004,610000007774,
0.470239,µm,Spine,18,7,1,100000001,610000007777,
0.32038,µm,Spine,0,1,1,100000003,610000007780,
0.253581,µm,Spine,9,6,1,100000001,610000007783,
0.267383,µm,Spine,,,1,100000004,610000007788,
0.314844,µm,Spine,3,3,1,100000000,610000007790,
0.440484,µm,Spine,0,1,1,100000003,610000007793,
0.303418,µm,Spine,4,2,1,100000003,610000007798,
0.475555,µm,Spine,4,2,1,100000001,610000007800,
0.333659,µm,Spine,5,2,1,100000003,610000007805,
0.398376,µm,Spine,2,1,1,100000000,610000007808,
0.44508,µm,Spine,4,2,1,100000001,610000007811,
0.264919,µm,Spine,,,1,100000004,610000007813,
0.311706,µm,Spine,9,4,1,100000001,610000007815,
0.44592,µm,Spine,1,1,1,100000000,610000007818,
0.390995,µm,Spine,2,2,1,100000003,610000007821,
0.310437,µm,Spine,10,2,1,100000003,610000007824,
0.423935,µm,Spine,4,2,1,100000000,610000007826,
0.270693,µm,Spine,6,3,1,100000001,610000007829,
0.421484,µm,Spine,2,2,1,100000001,610000007835,
0.446039,µm,Spine,,,1,100000004,610000007838,
0.456257,µm,Spine,13,4,1,100000001,610000007842,
0.431647,µm,Spine,5,1,1,100000003,610000007848,
0.279287,µm,Spine,5,3,1,100000000,610000007850,
0.40625,µm,Spine,5,1,1,100000000,610000007852,
0.370125,µm,Spine,7,1,1,100000000,610000007855,
0.348514,µm,Spine,18,7,1,100000000,610000007857,
0.272485,µm,Spine,11,2,1,100000001,610000007859,
0.266725,µm,Spine,4,3,1,100000003,610000007862,
0.335124,µm,Spine,5,4,1,100000003,610000007865,
0.416265,µm,Spine,9,5,1,100000000,610000007868,
0.340943,µm,Spine,,,1,100000004,610000007870,
0.36004,µm,Spine,3,2,1,100000001,610000007875,
0.343479,µm,Spine,0,1,1,100000003,610000007879,
0.714999,µm,Spine,0,1,1,100000000,610000007886,
0.302184,µm,Spine,1,2,1,100000001,610000007888,
0.488544,µm,Spine,0,1,1,100000000,610000007896,
0.607722,µm,Spine,0,1,1,100000000,610000007899,
0.253068,µm,Spine,0,1,1,100000001,610000007903,
0.485262,µm,Spine,14,6,1,100000001,610000007905,
0.426111,µm,Spine,,,1,100000004,610000007907,
0.323606,µm,Spine,21,9,1,100000001,610000007911,
0.291441,µm,Spine,,,1,100000004,610000007913,
0.424354,µm,Spine,3,1,1,100000001,610000007916,
0.394738,µm,Spine,6,3,1,100000003,610000007918,
0.421484,µm,Spine,2,2,1,100000001,610000007926,
0.419658,µm,Spine,7,2,1,100000000,610000007929,
0.470751,µm,Spine,1,1,1,100000001,610000007935,
0.457757,µm,Spine,0,1,1,100000003,610000007940,
0.340316,µm,Spine,13,6,1,100000001,610000007944,
0.341631,µm,Spine,12,4,1,100000003,610000007946,
0.42583,µm,Spine,0,1,1,100000000,610000007948,
0.289049,µm,Spine,10,5,1,100000001,610000007950,
0.489606,µm,Spine,5,3,1,100000003,610000007954,
0.270493,µm,Spine,,,1,100000004,610000007958,
0.589178,µm,Spine,2,1,1,100000000,610000007960,
0.29567,µm,Spine,6,2,1,100000003,610000007962,
0.385695,µm,Spine,7,3,1,100000000,610000007965,
0.447915,µm,Spine,13,3,1,100000001,610000007968,
0.295161,µm,Spine,6,3,1,100000001,610000007972,
0.382307,µm,Spine,8,4,1,100000000,610000007975,
0.314717,µm,Spine,,,1,100000004,610000007977,
0.456257,µm,Spine,13,4,1,100000001,610000007980,
0.290909,µm,Spine,11,6,1,100000000,610000007982,
0.410901,µm,Spine,21,8,1,100000001,610000007985,
0.398075,µm,Spine,5,2,1,100000000,610000007991,
0.405529,µm,Spine,5,1,1,100000001,610000007994,
0.325,µm,Spine,,,1,100000004,610000007997,
0.27476,µm,Spine,10,4,1,100000000,610000007999,
0.65,µm,Spine,2,1,1,100000000,610000008001,
0.365272,µm,Spine,4,2,1,100000000,610000008004,
0.369561,µm,Spine,3,1,1,100000001,610000008006,
0.418924,µm,Spine,2,1,1,100000000,610000008009,
0.418092,µm,Spine,8,3,1,100000000,610000008011,
0.548437,µm,Spine,4,1,1,100000000,610000008015,
0.375883,µm,Spine,7,1,1,100000000,610000008018,
0.258506,µm,Spine,,,1,100000004,610000008020,
0.271828,µm,Spine,9,7,1,100000001,610000008023,
0.45613,µm,Spine,1,2,1,100000003,610000008025,
0.345618,µm,Spine,18,7,1,100000001,610000008027,
0.336197,µm,Spine,21,8,1,100000001,610000008031,
0.381487,µm,Spine,9,3,1,100000000,610000008034,
0.435834,µm,Spine,23,8,1,100000001,610000008036,
0.323815,µm,Spine,4,3,1,100000001,610000008038,
0.324705,µm,Spine,9,2,1,100000001,610000008042,
0.356259,µm,Spine,,,1,100000004,610000008045,
0.572792,µm,Spine,1,2,1,100000000,610000008047,
0.354339,µm,Spine,4,2,1,100000000,610000008049,
0.323599,µm,Spine,4,3,1,100000003,610000008053,
0.452933,µm,Spine,4,3,1,100000003,610000008056,
0.449945,µm,Spine,14,6,1,100000001,610000008058,
0.474608,µm,Spine,15,7,1,100000001,610000008060,
0.328416,µm,Spine,18,7,1,100000000,610000008063,
0.480906,µm,Spine,,,1,100000004,610000008066,
0.400264,µm,Spine,,,1,100000004,610000008069,
0.335259,µm,Spine,12,4,1,100000003,610000008071,
0.246982,µm,Spine,11,4,1,100000003,610000008074,
0.335149,µm,Spine,4,2,1,100000001,610000008076,
0.33581,µm,Spine,12,3,1,100000001,610000008079,
0.343962,µm,Spine,18,7,1,100000001,610000008081,
0.356939,µm,Spine,3,2,1,100000003,610000008083,
0.385241,µm,Spine,28,11,1,100000001,610000008085,
0.441485,µm,Spine,1,1,1,100000001,610000008088,
0.332175,µm,Spine,18,8,1,100000001,610000008091,
0.364107,µm,Spine,0,1,1,100000003,610000008094,
0.43885,µm,Spine,2,1,1,100000001,610000008097,
0.46702,µm,Spine,1,1,1,100000001,610000008099,
0.357746,µm,Spine,7,3,1,100000000,610000008103,
0.531488,µm,Spine,16,6,1,100000001,610000008105,
0.367358,µm,Spine,5,4,1,100000001,610000008107,
0.390165,µm,Spine,,,1,100000004,610000008110,
0.735088,µm,Spine,0,1,1,100000000,610000008116,
0.431019,µm,Spine,1,2,1,100000003,610000008118,
0.462934,µm,Spine,4,2,1,100000001,610000008121,
0.296438,µm,Spine,6,4,1,100000001,610000008123,
0.359816,µm,Spine,9,3,1,100000000,610000008125,
0.768746,µm,Spine,,,1,100000004,610000008129,
0.441837,µm,Spine,4,2,1,100000000,610000008131,
0.350275,µm,Spine,3,2,1,100000000,610000008133,
0.491316,µm,Spine,,,1,100000004,610000008135,
