
Segment Mean Diameter
 ==================== 
Segment Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.279958,µm,Segment,7,5,1,100000000,510000000032,
0.397016,µm,Segment,5,4,1,100000000,510000000037,
0.266382,µm,Segment,4,4,1,100000000,510000000089,
0.317422,µm,Segment,3,3,1,100000000,510000000100,
0.324946,µm,Segment,2,2,1,100000000,510000000128,
0.410619,µm,Segment,1,1,1,100000000,510000000137,
0.399085,µm,Segment,0,1,1,100000000,510000000152,
0.347927,µm,Segment,6,5,1,100000000,510000000159,
0.375083,µm,Segment,7,4,1,100000000,510000000161,
0.263601,µm,Segment,6,6,1,100000000,510000000164,
0.346782,µm,Segment,5,5,1,100000000,510000000170,
0.326828,µm,Segment,7,3,1,100000000,510000000194,
0.239018,µm,Segment,6,3,1,100000000,510000000207,
0.264566,µm,Segment,5,3,1,100000000,510000000245,
0.292286,µm,Segment,4,3,1,100000000,510000000254,
0.276852,µm,Segment,3,2,1,100000000,510000000258,
0.282464,µm,Segment,2,2,1,100000000,510000000277,
0.208382,µm,Segment,1,2,1,100000000,510000000321,
0.334496,µm,Segment,0,1,1,100000000,510000000379,
0.255447,µm,Segment,7,4,1,100000000,510000000393,
0.182062,µm,Segment,6,4,1,100000000,510000000399,
0.264194,µm,Segment,5,4,1,100000000,510000000401,
0.38045,µm,Segment,4,2,1,100000000,510000000407,
0.258741,µm,Segment,3,3,1,100000000,510000000412,
0.251012,µm,Segment,2,3,1,100000000,510000000419,
0.274459,µm,Segment,3,2,1,100000000,510000000429,
0.358031,µm,Segment,2,2,1,100000000,510000000479,
0.267952,µm,Segment,1,1,1,100000000,510000000523,
0.321072,µm,Segment,0,1,1,100000000,510000000552,
0.263229,µm,Segment,3,3,1,100000000,510000000584,
0.407746,µm,Segment,2,1,1,100000000,510000000588,
0.306366,µm,Segment,1,2,1,100000001,510000000654,
0.303932,µm,Segment,0,1,1,100000001,510000000723,
0.2208,µm,Segment,5,1,1,100000001,510000000739,
0.320368,µm,Segment,4,1,1,100000001,510000000744,
0.366625,µm,Segment,3,1,1,100000001,510000000760,
0.37697,µm,Segment,2,1,1,100000001,510000000766,
0.180275,µm,Segment,5,2,1,100000001,510000000770,
0.289981,µm,Segment,4,2,1,100000001,510000000775,
0.301921,µm,Segment,3,2,1,100000001,510000000782,
0.369733,µm,Segment,2,2,1,100000001,510000000785,
0.233501,µm,Segment,9,5,1,100000000,510000000794,
0.247873,µm,Segment,8,4,1,100000000,510000000804,
0.376736,µm,Segment,7,3,1,100000000,510000000807,
0.356005,µm,Segment,6,3,1,100000000,510000000810,
0.286452,µm,Segment,5,2,1,100000000,510000000825,
0.339492,µm,Segment,4,2,1,100000000,510000000835,
0.316503,µm,Segment,3,2,1,100000000,510000000839,
0.436212,µm,Segment,2,1,1,100000000,510000000841,
0.443853,µm,Segment,1,1,1,100000000,510000000843,
0.406258,µm,Segment,0,1,1,100000000,510000000895,
0.357541,µm,Segment,7,2,1,100000000,510000000914,
0.371685,µm,Segment,6,2,1,100000000,510000000922,
0.291199,µm,Segment,9,4,1,100000000,510000000926,
0.282466,µm,Segment,7,4,1,100000000,510000000946,
0.289833,µm,Segment,7,3,1,100000000,510000000950,
0.278532,µm,Segment,8,3,1,100000000,510000000953,
0.296373,µm,Segment,4,3,1,100000000,510000000960,
0.341093,µm,Segment,3,2,1,100000000,510000000964,
0.225488,µm,Segment,2,2,1,100000002,510000000979,
0.322498,µm,Segment,1,1,1,100000002,510000000994,
0.302192,µm,Segment,0,1,1,100000002,510000001045,
0.249846,µm,Segment,3,2,1,100000002,510000001070,
0.253652,µm,Segment,2,1,1,100000002,510000001081,
0.29912,µm,Segment,3,1,1,100000002,510000001088,
0.280933,µm,Segment,1,2,1,100000002,510000001094,
0.36867,µm,Segment,5,4,1,100000000,510000001099,
0.322778,µm,Segment,4,3,1,100000000,510000001137,
0.427849,µm,Segment,5,3,1,100000000,510000001139,
0.198628,µm,Segment,3,2,1,100000002,510000001148,
0.280579,µm,Segment,2,1,1,100000002,510000001161,
0.400358,µm,Segment,1,1,1,100000002,510000001177,
0.290232,µm,Segment,0,1,1,100000002,510000001201,
0.319904,µm,Segment,3,2,1,100000000,510000001205,
0.316366,µm,Segment,2,1,1,100000000,510000001225,
0.348613,µm,Segment,1,1,1,100000000,510000001234,
0.303781,µm,Segment,4,1,1,100000000,510000001282,
0.335821,µm,Segment,3,1,1,100000000,510000001310,
0.27047,µm,Segment,3,3,1,100000000,510000001365,
0.385012,µm,Segment,2,2,1,100000000,510000001369,
0.41298,µm,Segment,1,2,1,100000000,510000001373,
0.431939,µm,Segment,0,1,1,100000000,510000001400,
0.296458,µm,Segment,3,1,1,100000001,510000001440,
0.406711,µm,Segment,2,1,1,100000001,510000001464,
0.395708,µm,Segment,1,1,1,100000001,510000001472,
0.498766,µm,Segment,0,1,1,100000001,510000001518,
0.325939,µm,Segment,3,1,1,100000000,510000001520,
0.299657,µm,Segment,3,1,1,100000002,510000001523,
0.269557,µm,Segment,2,2,1,100000002,510000001540,
0.256962,µm,Segment,2,2,1,100000000,510000001548,
0.315413,µm,Segment,4,3,1,100000000,510000001553,
0.373597,µm,Segment,3,3,1,100000000,510000001569,
0.332996,µm,Segment,2,3,1,100000000,510000001588,
0.400011,µm,Segment,1,2,1,100000000,510000001600,
0.263962,µm,Segment,4,2,1,100000000,510000001603,
0.304342,µm,Segment,4,4,1,100000000,510000001609,
0.28618,µm,Segment,3,2,1,100000001,510000001626,
0.373413,µm,Segment,2,2,1,100000001,510000001643,
0.242214,µm,Segment,5,3,1,100000000,510000001645,
0.286714,µm,Segment,1,2,1,100000002,510000001647,
0.418563,µm,Segment,0,1,1,100000002,510000001669,
0.352054,µm,Segment,1,2,1,100000001,510000001687,
0.362853,µm,Segment,3,4,1,100000000,510000001690,
0.300489,µm,Segment,3,3,1,100000000,510000001700,
0.435125,µm,Segment,2,2,1,100000000,510000001714,
0.358077,µm,Segment,1,2,1,100000000,510000001722,
0.28219,µm,Segment,2,3,1,100000000,510000001729,
0.309852,µm,Segment,2,2,1,100000000,510000001732,
0.313563,µm,Segment,3,2,1,100000000,510000001734,
0.348415,µm,Segment,3,2,1,100000000,510000001738,
0.508581,µm,Segment,1,1,1,100000000,510000001744,
0.560172,µm,Segment,3,1,1,100000000,510000001747,
0.285509,µm,Segment,3,2,1,100000000,510000001751,
0.264763,µm,Segment,1,2,1,100000000,510000001754,
0.345112,µm,Segment,2,2,1,100000000,510000001758,
0.454977,µm,Segment,2,2,1,100000000,510000001760,
0.328139,µm,Segment,2,1,1,100000000,510000001762,
0.298288,µm,Segment,0,1,1,100000002,510000001786,
0.27193,µm,Segment,0,1,1,100000000,510000001789,
0.389672,µm,Segment,6,4,1,100000000,510000001873,
0.289349,µm,Segment,6,5,1,100000000,510000001874,
0.553492,µm,Segment,2,1,1,100000000,510000001876,
0.469279,µm,Segment,1,1,1,100000001,510000001878,
