
Spine Part Mean Diameter Neck
 ==================== 
Spine Part Mean Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.1625,µm,Spine,Spine Part Mean Diameter,3,2,1,100000000,610000002044,
0,µm,Spine,Spine Part Mean Diameter,4,4,1,100000000,610000002048,
0.1625,µm,Spine,Spine Part Mean Diameter,1,1,1,100000000,610000002051,
0,µm,Spine,Spine Part Mean Diameter,2,1,1,100000000,610000002053,
0,µm,Spine,Spine Part Mean Diameter,6,4,1,100000000,610000002055,
0.403052,µm,Spine,Spine Part Mean Diameter,3,3,1,100000000,610000002066,
0.231117,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002069,
0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000000,610000002071,
0,µm,Spine,Spine Part Mean Diameter,1,1,1,100000000,610000002073,
0,µm,Spine,Spine Part Mean Diameter,7,3,1,100000000,610000002075,
0,µm,Spine,Spine Part Mean Diameter,3,1,1,100000001,610000002077,
0.437288,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002080,
0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002084,
0,µm,Spine,Spine Part Mean Diameter,2,1,1,100000000,610000002086,
0,µm,Spine,Spine Part Mean Diameter,2,2,1,100000000,610000002088,
0,µm,Spine,Spine Part Mean Diameter,7,3,1,100000000,610000002091,
0.203669,µm,Spine,Spine Part Mean Diameter,1,1,1,100000001,610000002094,
0.403949,µm,Spine,Spine Part Mean Diameter,3,3,1,100000000,610000002103,
0.21709,µm,Spine,Spine Part Mean Diameter,2,1,1,100000002,610000002106,
0,µm,Spine,Spine Part Mean Diameter,2,1,1,100000001,610000002108,
0.433775,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002111,
0,µm,Spine,Spine Part Mean Diameter,2,1,1,100000000,610000002113,
0.384668,µm,Spine,Spine Part Mean Diameter,3,3,1,100000000,610000002119,
0.224151,µm,Spine,Spine Part Mean Diameter,2,2,1,100000000,610000002125,
0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000000,610000002127,
0,µm,Spine,Spine Part Mean Diameter,2,3,1,100000000,610000002129,
0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002132,
0.354924,µm,Spine,Spine Part Mean Diameter,3,3,1,100000000,610000002136,
0,µm,Spine,Spine Part Mean Diameter,6,2,1,100000000,610000002141,
