
Intensity Sum Ch=5 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
125828,,Surface,5,Image 1,1,0,
0,,Surface,5,Image 1,1,1,
0,,Surface,5,Image 1,1,2,
