
Segment Center Intensity StdDev Ch=1 Img=1
 ==================== 
Segment Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
1.11803,,Segment,1,4,Image 1,2,1,100000000,510000001603,
1.80702,,Segment,1,4,Image 1,4,1,100000000,510000001609,
3.5987,,Segment,1,3,Image 1,2,1,100000001,510000001626,
3.91578,,Segment,1,2,Image 1,2,1,100000001,510000001643,
7.54247,,Segment,1,5,Image 1,3,1,100000000,510000001645,
1.24722,,Segment,1,1,Image 1,2,1,100000002,510000001647,
3.40343,,Segment,1,0,Image 1,1,1,100000002,510000001669,
1.78482,,Segment,1,1,Image 1,2,1,100000001,510000001687,
0.866025,,Segment,1,3,Image 1,4,1,100000000,510000001690,
1.3727,,Segment,1,3,Image 1,3,1,100000000,510000001700,
1.02415,,Segment,1,2,Image 1,2,1,100000000,510000001714,
1.94999,,Segment,1,1,Image 1,2,1,100000000,510000001722,
13.6193,,Segment,1,2,Image 1,3,1,100000000,510000001729,
16.2942,,Segment,1,2,Image 1,2,1,100000000,510000001732,
0.471405,,Segment,1,3,Image 1,2,1,100000000,510000001734,
1.09545,,Segment,1,3,Image 1,2,1,100000000,510000001738,
2.94392,,Segment,1,1,Image 1,1,1,100000000,510000001744,
0.707107,,Segment,1,3,Image 1,1,1,100000000,510000001747,
21.001,,Segment,1,3,Image 1,2,1,100000000,510000001751,
1.78536,,Segment,1,1,Image 1,2,1,100000000,510000001754,
1.16619,,Segment,1,2,Image 1,2,1,100000000,510000001758,
6.59966,,Segment,1,2,Image 1,2,1,100000000,510000001760,
0.471405,,Segment,1,2,Image 1,1,1,100000000,510000001762,
0,,Segment,1,0,Image 1,1,1,100000002,510000001786,
0.816497,,Segment,1,0,Image 1,1,1,100000000,510000001789,
0.5,,Segment,1,6,Image 1,4,1,100000000,510000001873,
1,,Segment,1,6,Image 1,5,1,100000000,510000001874,
0,,Segment,1,2,Image 1,1,1,100000000,510000001876,
0.5,,Segment,1,1,Image 1,1,1,100000001,510000001878,
