
Intensity Median Ch=2 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
3.0625,,Surface,2,Image 1,1,0,
80,,Surface,2,Image 1,1,1,
25,,Surface,2,Image 1,1,2,
