
Cumulative Volume Outside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Outside,Unit,Collection,Image,Time,ID,
0.068,73.581,µm^3,Cumulative Volume Outside,Image 1,1,,
0.204,138.81,µm^3,Cumulative Volume Outside,Image 1,1,,
0.34,201.532,µm^3,Cumulative Volume Outside,Image 1,1,,
0.476,258.454,µm^3,Cumulative Volume Outside,Image 1,1,,
0.612,313.764,µm^3,Cumulative Volume Outside,Image 1,1,,
0.748,369.954,µm^3,Cumulative Volume Outside,Image 1,1,,
0.884,424.06,µm^3,Cumulative Volume Outside,Image 1,1,,
1.02,478.031,µm^3,Cumulative Volume Outside,Image 1,1,,
1.156,532.238,µm^3,Cumulative Volume Outside,Image 1,1,,
1.292,586.234,µm^3,Cumulative Volume Outside,Image 1,1,,
1.428,640.565,µm^3,Cumulative Volume Outside,Image 1,1,,
1.564,695.393,µm^3,Cumulative Volume Outside,Image 1,1,,
1.7,750.803,µm^3,Cumulative Volume Outside,Image 1,1,,
1.836,806.721,µm^3,Cumulative Volume Outside,Image 1,1,,
1.972,863.372,µm^3,Cumulative Volume Outside,Image 1,1,,
2.108,921.006,µm^3,Cumulative Volume Outside,Image 1,1,,
2.244,979.43,µm^3,Cumulative Volume Outside,Image 1,1,,
2.38,1039.09,µm^3,Cumulative Volume Outside,Image 1,1,,
2.516,1099.71,µm^3,Cumulative Volume Outside,Image 1,1,,
2.652,1161.36,µm^3,Cumulative Volume Outside,Image 1,1,,
2.788,1224.6,µm^3,Cumulative Volume Outside,Image 1,1,,
2.924,1289.1,µm^3,Cumulative Volume Outside,Image 1,1,,
3.06,1355.08,µm^3,Cumulative Volume Outside,Image 1,1,,
3.196,1422.37,µm^3,Cumulative Volume Outside,Image 1,1,,
3.332,1490.92,µm^3,Cumulative Volume Outside,Image 1,1,,
3.468,1560.9,µm^3,Cumulative Volume Outside,Image 1,1,,
3.604,1632.33,µm^3,Cumulative Volume Outside,Image 1,1,,
3.74,1705.06,µm^3,Cumulative Volume Outside,Image 1,1,,
3.876,1779.37,µm^3,Cumulative Volume Outside,Image 1,1,,
4.012,1855.09,µm^3,Cumulative Volume Outside,Image 1,1,,
4.148,1932.08,µm^3,Cumulative Volume Outside,Image 1,1,,
4.284,2010.02,µm^3,Cumulative Volume Outside,Image 1,1,,
4.42,2088.38,µm^3,Cumulative Volume Outside,Image 1,1,,
4.556,2167.98,µm^3,Cumulative Volume Outside,Image 1,1,,
4.692,2248.55,µm^3,Cumulative Volume Outside,Image 1,1,,
4.828,2329.95,µm^3,Cumulative Volume Outside,Image 1,1,,
4.964,2412.03,µm^3,Cumulative Volume Outside,Image 1,1,,
5.1,2494.6,µm^3,Cumulative Volume Outside,Image 1,1,,
5.236,2577.46,µm^3,Cumulative Volume Outside,Image 1,1,,
5.372,2661.74,µm^3,Cumulative Volume Outside,Image 1,1,,
5.508,2747.3,µm^3,Cumulative Volume Outside,Image 1,1,,
5.644,2833.62,µm^3,Cumulative Volume Outside,Image 1,1,,
5.78,2920.54,µm^3,Cumulative Volume Outside,Image 1,1,,
5.916,3007.88,µm^3,Cumulative Volume Outside,Image 1,1,,
6.052,3096.85,µm^3,Cumulative Volume Outside,Image 1,1,,
6.188,3187.06,µm^3,Cumulative Volume Outside,Image 1,1,,
6.324,3278.15,µm^3,Cumulative Volume Outside,Image 1,1,,
6.46,3369.79,µm^3,Cumulative Volume Outside,Image 1,1,,
6.596,3461.9,µm^3,Cumulative Volume Outside,Image 1,1,,
6.732,3555.46,µm^3,Cumulative Volume Outside,Image 1,1,,
6.868,3650.29,µm^3,Cumulative Volume Outside,Image 1,1,,
7.004,3746.27,µm^3,Cumulative Volume Outside,Image 1,1,,
7.14,3843.19,µm^3,Cumulative Volume Outside,Image 1,1,,
7.276,3940.32,µm^3,Cumulative Volume Outside,Image 1,1,,
7.412,4037.14,µm^3,Cumulative Volume Outside,Image 1,1,,
7.548,4134.12,µm^3,Cumulative Volume Outside,Image 1,1,,
7.684,4230.71,µm^3,Cumulative Volume Outside,Image 1,1,,
7.82,4326.5,µm^3,Cumulative Volume Outside,Image 1,1,,
7.956,4421.36,µm^3,Cumulative Volume Outside,Image 1,1,,
8.092,4514.6,µm^3,Cumulative Volume Outside,Image 1,1,,
8.228,4607.52,µm^3,Cumulative Volume Outside,Image 1,1,,
8.364,4701.51,µm^3,Cumulative Volume Outside,Image 1,1,,
8.5,4795.1,µm^3,Cumulative Volume Outside,Image 1,1,,
8.636,4888.59,µm^3,Cumulative Volume Outside,Image 1,1,,
8.772,4979.74,µm^3,Cumulative Volume Outside,Image 1,1,,
8.908,5068.79,µm^3,Cumulative Volume Outside,Image 1,1,,
9.044,5156.44,µm^3,Cumulative Volume Outside,Image 1,1,,
9.18,5241.05,µm^3,Cumulative Volume Outside,Image 1,1,,
9.316,5323.72,µm^3,Cumulative Volume Outside,Image 1,1,,
9.452,5403.25,µm^3,Cumulative Volume Outside,Image 1,1,,
9.588,5480.7,µm^3,Cumulative Volume Outside,Image 1,1,,
9.724,5557.36,µm^3,Cumulative Volume Outside,Image 1,1,,
9.86,5632.23,µm^3,Cumulative Volume Outside,Image 1,1,,
9.996,5706.48,µm^3,Cumulative Volume Outside,Image 1,1,,
10.132,5779.33,µm^3,Cumulative Volume Outside,Image 1,1,,
10.268,5851.64,µm^3,Cumulative Volume Outside,Image 1,1,,
10.404,5922.42,µm^3,Cumulative Volume Outside,Image 1,1,,
10.54,5992.61,µm^3,Cumulative Volume Outside,Image 1,1,,
10.676,6063.13,µm^3,Cumulative Volume Outside,Image 1,1,,
10.812,6132.72,µm^3,Cumulative Volume Outside,Image 1,1,,
10.948,6202.03,µm^3,Cumulative Volume Outside,Image 1,1,,
11.084,6269.94,µm^3,Cumulative Volume Outside,Image 1,1,,
11.22,6337.35,µm^3,Cumulative Volume Outside,Image 1,1,,
11.356,6405.26,µm^3,Cumulative Volume Outside,Image 1,1,,
11.492,6472.38,µm^3,Cumulative Volume Outside,Image 1,1,,
11.628,6539.01,µm^3,Cumulative Volume Outside,Image 1,1,,
11.764,6603.76,µm^3,Cumulative Volume Outside,Image 1,1,,
11.9,6667.26,µm^3,Cumulative Volume Outside,Image 1,1,,
12.036,6730.31,µm^3,Cumulative Volume Outside,Image 1,1,,
12.172,6791.8,µm^3,Cumulative Volume Outside,Image 1,1,,
12.308,6852.49,µm^3,Cumulative Volume Outside,Image 1,1,,
12.444,6911.53,µm^3,Cumulative Volume Outside,Image 1,1,,
12.58,6969.88,µm^3,Cumulative Volume Outside,Image 1,1,,
12.716,7028,µm^3,Cumulative Volume Outside,Image 1,1,,
12.852,7084.99,µm^3,Cumulative Volume Outside,Image 1,1,,
12.988,7141.43,µm^3,Cumulative Volume Outside,Image 1,1,,
13.124,7196.52,µm^3,Cumulative Volume Outside,Image 1,1,,
13.26,7250.95,µm^3,Cumulative Volume Outside,Image 1,1,,
13.396,7305.33,µm^3,Cumulative Volume Outside,Image 1,1,,
13.532,7358.82,µm^3,Cumulative Volume Outside,Image 1,1,,
13.668,7412.05,µm^3,Cumulative Volume Outside,Image 1,1,,
13.804,7464.34,µm^3,Cumulative Volume Outside,Image 1,1,,
13.94,7516.18,µm^3,Cumulative Volume Outside,Image 1,1,,
14.076,7566.82,µm^3,Cumulative Volume Outside,Image 1,1,,
14.212,7616.85,µm^3,Cumulative Volume Outside,Image 1,1,,
14.348,7666.91,µm^3,Cumulative Volume Outside,Image 1,1,,
14.484,7716.14,µm^3,Cumulative Volume Outside,Image 1,1,,
14.62,7764.94,µm^3,Cumulative Volume Outside,Image 1,1,,
14.756,7812.56,µm^3,Cumulative Volume Outside,Image 1,1,,
14.892,7859.65,µm^3,Cumulative Volume Outside,Image 1,1,,
15.028,7906.72,µm^3,Cumulative Volume Outside,Image 1,1,,
15.164,7953.08,µm^3,Cumulative Volume Outside,Image 1,1,,
15.3,7999.07,µm^3,Cumulative Volume Outside,Image 1,1,,
15.436,8043.86,µm^3,Cumulative Volume Outside,Image 1,1,,
15.572,8088.07,µm^3,Cumulative Volume Outside,Image 1,1,,
15.708,8132.33,µm^3,Cumulative Volume Outside,Image 1,1,,
15.844,8175.88,µm^3,Cumulative Volume Outside,Image 1,1,,
15.98,8218.82,µm^3,Cumulative Volume Outside,Image 1,1,,
16.116,8259.56,µm^3,Cumulative Volume Outside,Image 1,1,,
16.252,8299.52,µm^3,Cumulative Volume Outside,Image 1,1,,
16.388,8337.92,µm^3,Cumulative Volume Outside,Image 1,1,,
16.524,8374.02,µm^3,Cumulative Volume Outside,Image 1,1,,
16.66,8409.46,µm^3,Cumulative Volume Outside,Image 1,1,,
16.796,8443.69,µm^3,Cumulative Volume Outside,Image 1,1,,
16.932,8476.13,µm^3,Cumulative Volume Outside,Image 1,1,,
17.068,8508.27,µm^3,Cumulative Volume Outside,Image 1,1,,
17.204,8539.72,µm^3,Cumulative Volume Outside,Image 1,1,,
17.34,8569.87,µm^3,Cumulative Volume Outside,Image 1,1,,
17.476,8598.29,µm^3,Cumulative Volume Outside,Image 1,1,,
17.612,8626.23,µm^3,Cumulative Volume Outside,Image 1,1,,
17.748,8653.23,µm^3,Cumulative Volume Outside,Image 1,1,,
17.884,8678.92,µm^3,Cumulative Volume Outside,Image 1,1,,
18.02,8704.48,µm^3,Cumulative Volume Outside,Image 1,1,,
18.156,8729.71,µm^3,Cumulative Volume Outside,Image 1,1,,
18.292,8754.14,µm^3,Cumulative Volume Outside,Image 1,1,,
18.428,8777.53,µm^3,Cumulative Volume Outside,Image 1,1,,
18.564,8800.98,µm^3,Cumulative Volume Outside,Image 1,1,,
18.7,8824.12,µm^3,Cumulative Volume Outside,Image 1,1,,
18.836,8846.46,µm^3,Cumulative Volume Outside,Image 1,1,,
18.972,8868.99,µm^3,Cumulative Volume Outside,Image 1,1,,
19.108,8891.3,µm^3,Cumulative Volume Outside,Image 1,1,,
19.244,8912.98,µm^3,Cumulative Volume Outside,Image 1,1,,
19.38,8935.03,µm^3,Cumulative Volume Outside,Image 1,1,,
19.516,8957.18,µm^3,Cumulative Volume Outside,Image 1,1,,
19.652,8978.93,µm^3,Cumulative Volume Outside,Image 1,1,,
19.788,9000.04,µm^3,Cumulative Volume Outside,Image 1,1,,
19.924,9021.4,µm^3,Cumulative Volume Outside,Image 1,1,,
20.06,9042.59,µm^3,Cumulative Volume Outside,Image 1,1,,
20.196,9063.13,µm^3,Cumulative Volume Outside,Image 1,1,,
20.332,9083.82,µm^3,Cumulative Volume Outside,Image 1,1,,
20.468,9104.32,µm^3,Cumulative Volume Outside,Image 1,1,,
20.604,9124.2,µm^3,Cumulative Volume Outside,Image 1,1,,
20.74,9143.2,µm^3,Cumulative Volume Outside,Image 1,1,,
20.876,9162.12,µm^3,Cumulative Volume Outside,Image 1,1,,
21.012,9180.62,µm^3,Cumulative Volume Outside,Image 1,1,,
21.148,9198.35,µm^3,Cumulative Volume Outside,Image 1,1,,
21.284,9216.04,µm^3,Cumulative Volume Outside,Image 1,1,,
21.42,9233.32,µm^3,Cumulative Volume Outside,Image 1,1,,
21.556,9249.87,µm^3,Cumulative Volume Outside,Image 1,1,,
21.692,9266.46,µm^3,Cumulative Volume Outside,Image 1,1,,
21.828,9282.81,µm^3,Cumulative Volume Outside,Image 1,1,,
21.964,9298.56,µm^3,Cumulative Volume Outside,Image 1,1,,
22.1,9313.5,µm^3,Cumulative Volume Outside,Image 1,1,,
22.236,9328.35,µm^3,Cumulative Volume Outside,Image 1,1,,
22.372,9342.79,µm^3,Cumulative Volume Outside,Image 1,1,,
22.508,9356.54,µm^3,Cumulative Volume Outside,Image 1,1,,
22.644,9370.18,µm^3,Cumulative Volume Outside,Image 1,1,,
22.78,9383.45,µm^3,Cumulative Volume Outside,Image 1,1,,
22.916,9396.15,µm^3,Cumulative Volume Outside,Image 1,1,,
23.052,9408.85,µm^3,Cumulative Volume Outside,Image 1,1,,
23.188,9421.38,µm^3,Cumulative Volume Outside,Image 1,1,,
23.324,9433.48,µm^3,Cumulative Volume Outside,Image 1,1,,
23.46,9445.01,µm^3,Cumulative Volume Outside,Image 1,1,,
23.596,9456.49,µm^3,Cumulative Volume Outside,Image 1,1,,
23.732,9467.72,µm^3,Cumulative Volume Outside,Image 1,1,,
23.868,9478.5,µm^3,Cumulative Volume Outside,Image 1,1,,
24.004,9489.3,µm^3,Cumulative Volume Outside,Image 1,1,,
24.14,9499.97,µm^3,Cumulative Volume Outside,Image 1,1,,
24.276,9510.3,µm^3,Cumulative Volume Outside,Image 1,1,,
24.412,9520.17,µm^3,Cumulative Volume Outside,Image 1,1,,
24.548,9530.02,µm^3,Cumulative Volume Outside,Image 1,1,,
24.684,9539.66,µm^3,Cumulative Volume Outside,Image 1,1,,
24.82,9548.89,µm^3,Cumulative Volume Outside,Image 1,1,,
24.956,9558.12,µm^3,Cumulative Volume Outside,Image 1,1,,
25.092,9567.17,µm^3,Cumulative Volume Outside,Image 1,1,,
25.228,9575.84,µm^3,Cumulative Volume Outside,Image 1,1,,
25.364,9584.53,µm^3,Cumulative Volume Outside,Image 1,1,,
25.5,9593.15,µm^3,Cumulative Volume Outside,Image 1,1,,
25.636,9601.49,µm^3,Cumulative Volume Outside,Image 1,1,,
25.772,9609.43,µm^3,Cumulative Volume Outside,Image 1,1,,
25.908,9617.32,µm^3,Cumulative Volume Outside,Image 1,1,,
26.044,9625.04,µm^3,Cumulative Volume Outside,Image 1,1,,
26.18,9632.44,µm^3,Cumulative Volume Outside,Image 1,1,,
26.316,9639.81,µm^3,Cumulative Volume Outside,Image 1,1,,
26.452,9647.01,µm^3,Cumulative Volume Outside,Image 1,1,,
26.588,9653.89,µm^3,Cumulative Volume Outside,Image 1,1,,
26.724,9660.74,µm^3,Cumulative Volume Outside,Image 1,1,,
26.86,9667.49,µm^3,Cumulative Volume Outside,Image 1,1,,
26.996,9673.96,µm^3,Cumulative Volume Outside,Image 1,1,,
