
Segment Center Intensity Mean Ch=2 Img=1
 ==================== 
Segment Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
27.4444,,Segment,2,2,Image 1,2,1,100000001,510000001643,
46.6667,,Segment,2,5,Image 1,3,1,100000000,510000001645,
29,,Segment,2,1,Image 1,2,1,100000002,510000001647,
35.3333,,Segment,2,0,Image 1,1,1,100000002,510000001669,
28.2632,,Segment,2,1,Image 1,2,1,100000001,510000001687,
43.75,,Segment,2,3,Image 1,4,1,100000000,510000001690,
40.6364,,Segment,2,3,Image 1,3,1,100000000,510000001700,
81.8,,Segment,2,2,Image 1,2,1,100000000,510000001714,
44.4444,,Segment,2,1,Image 1,2,1,100000000,510000001722,
34.75,,Segment,2,2,Image 1,3,1,100000000,510000001729,
27.25,,Segment,2,2,Image 1,2,1,100000000,510000001732,
55.3333,,Segment,2,3,Image 1,2,1,100000000,510000001734,
38.8,,Segment,2,3,Image 1,2,1,100000000,510000001738,
49.1667,,Segment,2,1,Image 1,1,1,100000000,510000001744,
27.5,,Segment,2,3,Image 1,1,1,100000000,510000001747,
39.2,,Segment,2,3,Image 1,2,1,100000000,510000001751,
20,,Segment,2,1,Image 1,2,1,100000000,510000001754,
37.2,,Segment,2,2,Image 1,2,1,100000000,510000001758,
51.3333,,Segment,2,2,Image 1,2,1,100000000,510000001760,
27,,Segment,2,2,Image 1,1,1,100000000,510000001762,
26,,Segment,2,0,Image 1,1,1,100000002,510000001786,
60.3333,,Segment,2,0,Image 1,1,1,100000000,510000001789,
27,,Segment,2,6,Image 1,4,1,100000000,510000001873,
24,,Segment,2,6,Image 1,5,1,100000000,510000001874,
59,,Segment,2,2,Image 1,1,1,100000000,510000001876,
60.5,,Segment,2,1,Image 1,1,1,100000001,510000001878,
