
Spine Terminal Pt Position Y
 ==================== 
Spine Terminal Pt Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
19556.8,µm,Spine,Spine Terminal Pt Position,3,2,1,100000000,610000002044,
19565.3,µm,Spine,Spine Terminal Pt Position,4,4,1,100000000,610000002048,
19560,µm,Spine,Spine Terminal Pt Position,1,1,1,100000000,610000002051,
19551.6,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000002053,
19553.7,µm,Spine,Spine Terminal Pt Position,6,4,1,100000000,610000002055,
19557.7,µm,Spine,Spine Terminal Pt Position,,,1,,610000002057,
19560.5,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000002069,
19560.9,µm,Spine,Spine Terminal Pt Position,4,3,1,100000000,610000002071,
19554,µm,Spine,Spine Terminal Pt Position,1,1,1,100000000,610000002073,
19555.4,µm,Spine,Spine Terminal Pt Position,7,3,1,100000000,610000002075,
19539.7,µm,Spine,Spine Terminal Pt Position,3,1,1,100000001,610000002077,
19559.6,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000002080,
19535.4,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000002084,
19553,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000002086,
19560.4,µm,Spine,Spine Terminal Pt Position,2,2,1,100000000,610000002088,
19553.9,µm,Spine,Spine Terminal Pt Position,7,3,1,100000000,610000002091,
19537.7,µm,Spine,Spine Terminal Pt Position,1,1,1,100000001,610000002094,
19557.9,µm,Spine,Spine Terminal Pt Position,,,1,,610000002096,
19562.2,µm,Spine,Spine Terminal Pt Position,2,1,1,100000002,610000002106,
19538.4,µm,Spine,Spine Terminal Pt Position,2,1,1,100000001,610000002108,
19558.8,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000002111,
19552.8,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000002113,
19559.8,µm,Spine,Spine Terminal Pt Position,,,1,,610000002117,
19559.6,µm,Spine,Spine Terminal Pt Position,2,2,1,100000000,610000002125,
19561.1,µm,Spine,Spine Terminal Pt Position,4,3,1,100000000,610000002127,
19561.8,µm,Spine,Spine Terminal Pt Position,2,3,1,100000000,610000002129,
19558.6,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000002132,
19560.5,µm,Spine,Spine Terminal Pt Position,,,1,,610000002134,
19562.8,µm,Spine,Spine Terminal Pt Position,6,2,1,100000000,610000002141,
19563.7,µm,Spine,Spine Terminal Pt Position,3,3,1,100000000,610000002144,
19553.9,µm,Spine,Spine Terminal Pt Position,1,1,1,100000000,610000002146,
19558.2,µm,Spine,Spine Terminal Pt Position,2,2,1,100000000,610000002148,
19540.7,µm,Spine,Spine Terminal Pt Position,3,1,1,100000001,610000002150,
19540.6,µm,Spine,Spine Terminal Pt Position,3,1,1,100000001,610000002155,
19562.7,µm,Spine,Spine Terminal Pt Position,2,2,1,100000000,610000002166,
19561.8,µm,Spine,Spine Terminal Pt Position,7,2,1,100000000,610000002171,
19559.6,µm,Spine,Spine Terminal Pt Position,2,2,1,100000000,610000002179,
19560.5,µm,Spine,Spine Terminal Pt Position,,,1,,610000002187,
19558.5,µm,Spine,Spine Terminal Pt Position,4,1,1,100000000,610000002217,
19532.2,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000002269,
19563.4,µm,Spine,Spine Terminal Pt Position,3,3,1,,610000002269,
19561.2,µm,Spine,Spine Terminal Pt Position,1,2,1,,610000002270,
19532.4,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000002270,
19535,µm,Spine,Spine Terminal Pt Position,1,2,1,,610000002271,
19562.9,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000002271,
19566.6,µm,Spine,Spine Terminal Pt Position,4,4,1,,610000002271,
19552.9,µm,Spine,Spine Terminal Pt Position,2,1,1,,610000002272,
19566.9,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000002272,
19538.8,µm,Spine,Spine Terminal Pt Position,3,1,1,,610000002272,
19531.8,µm,Spine,Spine Terminal Pt Position,,,1,,610000002273,
19553.8,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000002273,
19554.6,µm,Spine,Spine Terminal Pt Position,2,3,1,,610000002274,
19554.8,µm,Spine,Spine Terminal Pt Position,3,3,1,,610000002275,
19560.4,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000002277,
19560.2,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000002278,
19560.2,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000002279,
19560.3,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000002280,
19559.9,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000002281,
19559.6,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000002282,
19559.7,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000002283,
19559.7,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000002284,
19559.3,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000002285,
19559.5,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000002286,
19561.2,µm,Spine,Spine Terminal Pt Position,2,1,1,,610000002287,
19559.1,µm,Spine,Spine Terminal Pt Position,4,1,1,,610000002288,
19559.5,µm,Spine,Spine Terminal Pt Position,4,1,1,,610000002289,
19560.5,µm,Spine,Spine Terminal Pt Position,5,3,1,,610000002290,
19560.1,µm,Spine,Spine Terminal Pt Position,4,3,1,,610000002291,
19561,µm,Spine,Spine Terminal Pt Position,4,3,1,,610000002292,
19561.6,µm,Spine,Spine Terminal Pt Position,7,2,1,,610000002293,
19558.4,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000002294,
19558.1,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000002295,
19553.3,µm,Spine,Spine Terminal Pt Position,3,3,1,,610000002296,
19559.6,µm,Spine,Spine Terminal Pt Position,,,1,,610000002297,
19560.2,µm,Spine,Spine Terminal Pt Position,,,1,,610000002300,
