
Intensity Max Ch=6 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,All touching neurons,ID,
165,,Surface,6,Image 1,1,Class A,0,
208,,Surface,6,Image 1,1,Class A,4,
150,,Surface,6,Image 1,1,Class A,119,
241,,Surface,6,Image 1,1,Class A,131,
20,,Surface,6,Image 1,1,Class A,178,
