
Spine Part Mean Diameter Ground
 ==================== 
Spine Part Mean Diameter Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.764268,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000008716,
0.709455,µm,Spine,Spine Part Mean Diameter,5,4,1,100000003,610000008719,
1.03481,µm,Spine,Spine Part Mean Diameter,3,2,1,100000001,610000008721,
1.29332,µm,Spine,Spine Part Mean Diameter,7,3,1,100000002,610000008726,
1.35651,µm,Spine,Spine Part Mean Diameter,1,1,1,100000002,610000008730,
0.746673,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000008734,
0.654227,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000008737,
0.926736,µm,Spine,Spine Part Mean Diameter,1,2,1,100000001,610000008740,
1.02258,µm,Spine,Spine Part Mean Diameter,9,3,1,100000000,610000008743,
1.57955,µm,Spine,Spine Part Mean Diameter,6,3,1,100000001,610000008746,
0.577903,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000008750,
0.958562,µm,Spine,Spine Part Mean Diameter,1,1,1,100000001,610000008752,
1.35124,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000008754,
0.776533,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000008756,
1.23374,µm,Spine,Spine Part Mean Diameter,2,1,1,100000001,610000008759,
0.555256,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000008763,
1.36817,µm,Spine,Spine Part Mean Diameter,13,5,1,100000001,610000008766,
1.15329,µm,Spine,Spine Part Mean Diameter,12,6,1,100000001,610000008768,
1.33811,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000008770,
1.08424,µm,Spine,Spine Part Mean Diameter,2,2,1,100000002,610000008774,
1.66346,µm,Spine,Spine Part Mean Diameter,1,1,1,100000003,610000008777,
1.09905,µm,Spine,Spine Part Mean Diameter,7,4,1,100000001,610000008782,
0.8952,µm,Spine,Spine Part Mean Diameter,4,3,1,100000001,610000008787,
1.11386,µm,Spine,Spine Part Mean Diameter,7,3,1,100000002,610000008794,
1.27243,µm,Spine,Spine Part Mean Diameter,6,1,1,100000002,610000008796,
1.05012,µm,Spine,Spine Part Mean Diameter,14,5,1,100000001,610000008798,
1.56564,µm,Spine,Spine Part Mean Diameter,15,4,1,100000001,610000008808,
1.06196,µm,Spine,Spine Part Mean Diameter,3,2,1,100000002,610000008810,
