
Spine Center Intensity Max Ch=6 Img=1
 ==================== 
Spine Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Spine,6,0,Image 1,1,1,100000003,610000008812,
3,,Spine,6,14,Image 1,5,1,100000001,610000008814,
4,,Spine,6,14,Image 1,7,1,100000001,610000008817,
8,,Spine,6,12,Image 1,7,1,100000001,610000008824,
4,,Spine,6,2,Image 1,2,1,100000001,610000008829,
3,,Spine,6,3,Image 1,3,1,100000003,610000008834,
1,,Spine,6,0,Image 1,1,1,100000001,610000008841,
1,,Spine,6,0,Image 1,1,1,100000001,610000008843,
2,,Spine,6,2,Image 1,2,1,100000003,610000008846,
4,,Spine,6,0,Image 1,1,1,100000003,610000008849,
1,,Spine,6,0,Image 1,1,1,100000003,610000008852,
1,,Spine,6,4,Image 1,1,1,100000002,610000008859,
5,,Spine,6,0,Image 1,1,1,100000003,610000008865,
3,,Spine,6,5,Image 1,2,1,100000001,610000008867,
0,,Spine,6,1,Image 1,1,1,100000002,610000008869,
1,,Spine,6,0,Image 1,1,1,100000002,610000008872,
2,,Spine,6,4,Image 1,1,1,100000001,610000008877,
4,,Spine,6,14,Image 1,6,1,100000001,610000008884,
4,,Spine,6,4,Image 1,2,1,100000002,610000008895,
3,,Spine,6,0,Image 1,1,1,100000003,610000008907,
1,,Spine,6,2,Image 1,1,1,100000001,610000008918,
0,,Spine,6,0,Image 1,1,1,100000001,610000008921,
2,,Spine,6,4,Image 1,3,1,100000003,610000008938,
1,,Spine,6,7,Image 1,6,1,100000000,610000008993,
1,,Spine,6,7,Image 1,5,1,100000000,610000008994,
1,,Spine,6,6,Image 1,5,1,100000000,610000008995,
0,,Spine,6,6,Image 1,4,1,100000000,610000008996,
0,,Spine,6,5,Image 1,4,1,100000000,610000008997,
2,,Spine,6,10,Image 1,2,1,100000000,610000008998,
2,,Spine,6,10,Image 1,2,1,100000000,610000008999,
1,,Spine,6,10,Image 1,2,1,100000000,610000009000,
2,,Spine,6,12,Image 1,4,1,100000000,610000009001,
200,,Spine,6,11,Image 1,3,1,100000000,610000009002,
1,,Spine,6,11,Image 1,5,1,100000000,610000009003,
1,,Spine,6,7,Image 1,2,1,100000000,610000009004,
2,,Spine,6,7,Image 1,2,1,100000000,610000009005,
10,,Spine,6,5,Image 1,2,1,100000000,610000009006,
1,,Spine,6,4,Image 1,3,1,100000000,610000009007,
0,,Spine,6,4,Image 1,3,1,100000000,610000009008,
1,,Spine,6,3,Image 1,2,1,100000000,610000009009,
2,,Spine,6,15,Image 1,6,1,100000001,610000009010,
0,,Spine,6,15,Image 1,5,1,100000001,610000009011,
3,,Spine,6,15,Image 1,5,1,100000001,610000009012,
6,,Spine,6,15,Image 1,5,1,100000001,610000009013,
4,,Spine,6,16,Image 1,7,1,100000001,610000009014,
2,,Spine,6,11,Image 1,5,1,100000001,610000009015,
4,,Spine,6,10,Image 1,6,1,100000001,610000009016,
4,,Spine,6,15,Image 1,6,1,100000001,610000009017,
29,,Spine,6,15,Image 1,6,1,100000001,610000009018,
5,,Spine,6,14,Image 1,7,1,100000001,610000009019,
3,,Spine,6,14,Image 1,8,1,100000001,610000009020,
4,,Spine,6,8,Image 1,4,1,100000001,610000009021,
1,,Spine,6,9,Image 1,5,1,100000001,610000009022,
2,,Spine,6,6,Image 1,4,1,100000001,610000009023,
1,,Spine,6,4,Image 1,3,1,100000001,610000009024,
2,,Spine,6,4,Image 1,4,1,100000001,610000009025,
1,,Spine,6,5,Image 1,2,1,100000001,610000009026,
0,,Spine,6,2,Image 1,2,1,100000001,610000009027,
2,,Spine,6,2,Image 1,3,1,100000001,610000009028,
0,,Spine,6,6,Image 1,3,1,100000001,610000009029,
1,,Spine,6,7,Image 1,3,1,100000001,610000009030,
3,,Spine,6,6,Image 1,2,1,100000001,610000009031,
1,,Spine,6,2,Image 1,3,1,100000001,610000009032,
2,,Spine,6,2,Image 1,3,1,100000001,610000009033,
30,,Spine,6,11,Image 1,1,1,100000001,610000009037,
17,,Spine,6,10,Image 1,1,1,100000001,610000009038,
1,,Spine,6,10,Image 1,2,1,100000001,610000009039,
2,,Spine,6,7,Image 1,2,1,100000001,610000009040,
0,,Spine,6,3,Image 1,2,1,100000001,610000009041,
1,,Spine,6,1,Image 1,2,1,100000001,610000009042,
6,,Spine,6,1,Image 1,2,1,100000001,610000009043,
