
Soma BoundingBoxAA Length Y
 ==================== 
Soma BoundingBoxAA Length Y,Unit,Category,Collection,Time,FilamentID,ID,
3.66602,µm,Soma,Soma BoundingBoxAA Length,1,100000000,800000000,
14,µm,Soma,Soma BoundingBoxAA Length,1,100000001,800000001,
6.83203,µm,Soma,Soma BoundingBoxAA Length,1,100000002,800000002,
8.33203,µm,Soma,Soma BoundingBoxAA Length,1,100000003,800000003,
