
Intensity Sum of Square Ch=5 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,All touching neurons,ID,
7.15449e+06,,Surface,5,Image 1,1,Class A,0,
1.264e+07,,Surface,5,Image 1,1,Class A,4,
9.199e+06,,Surface,5,Image 1,1,Class A,119,
9.78036e+06,,Surface,5,Image 1,1,Class A,131,
5644,,Surface,5,Image 1,1,Class A,178,
